sector_name,New_Establishments_2022,New_Employment_2022,Avg_Initial_Wage,Pct_of_Initiative
All Other,2871,2457.3333333333335,93114.66901790559,63.377483443708606
Logistics,1321,2436.75,60393.65302144249,29.161147902869754
Manufacturing,338,1524.8333333333333,54201.8614056181,7.4613686534216335
