sector_name,New_Establishments_2022,New_Employment_2022,Avg_Initial_Wage,Pct_of_Initiative
Logistics,559,1541.1666666666667,47548.30972207202,62.31884057971014
Manufacturing,338,1524.8333333333333,54201.8614056181,37.68115942028986
