display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,postings
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,31891.0
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,44193.0
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,74095.0
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,16899.0
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,86712.0
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,422788.0
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2021,000000,,0,0,29348.0
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,0,0,71875.0
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,151246.0
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,228862.0
0,0,Total - All Industries,,,18,000,00000,Indiana,2019,000000,,0,0,1656982.0
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,169296.0
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,28763.0
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,610283.0
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,14239.0
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,2021,000000,,0,0,103750.0
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,20683.0
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,526668.0
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,620719.0
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,53632.0
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,2681618.0
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,1015809.0
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,71310.0
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,1055545.0
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,853979.0
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,66998.0
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,2020,000000,,0,0,23523.0
0,0,Total - All Industries,,,0,000,00000,United States,2023,000000,,0,0,86083775.0
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,2846008.0
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2019,000000,,0,0,14793.0
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2023,000000,,0,0,24243.0
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2022,000000,,0,0,135247.0
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,110909.0
0,0,Total - All Industries,,,0,000,00000,United States,2019,000000,,0,0,86547182.0
0,0,Total - All Industries,,,0,000,00000,United States,2020,000000,,0,0,87758625.0
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,3686889.0
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2021,000000,,0,0,30131.0
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,34547.0
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,47770.0
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,3691201.0
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2020,000000,,0,0,21216.0
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,2020,000000,,0,0,65662.0
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,893572.0
0,0,Total - All Industries,,,18,000,00000,Indiana,2021,000000,,0,0,2529492.0
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,31021.0
0,0,Total - All Industries,,,0,000,00000,United States,2021,000000,,0,0,112951816.0
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,51089.0
0,0,Total - All Industries,,,18,000,00000,Indiana,2023,000000,,0,0,1948685.0
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,16923.0
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,63127.0
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,25855.0
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2022,000000,,0,0,24931.0
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2021,000000,,0,0,118972.0
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,36112.0
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,2915255.0
