sector,statefips,countyfips,metro,geo_area,year,own,disc,naics,repunits,empl,wages
Total - All Industries,18,000,29020,Kokomo,2022,0,0,00,1788.0,34545.33,1901813029.0
Total - All Industries,18,000,29020,Kokomo,2023,0,0,00,1843.0,35014.58,2057521326.0
Total - All Industries,18,000,29020,Kokomo,2024,0,0,00,1921.0,35752.83,2231490043.0
Total - All Industries,18,000,29200,Lafayette-West Lafayette,2019,0,0,00,4287.0,96080.24,4668850473.0
Total - All Industries,18,000,29200,Lafayette-West Lafayette,2020,0,0,00,4511.0,90744.23,4629946377.0
Total - All Industries,18,000,29200,Lafayette-West Lafayette,2021,0,0,00,4615.0,94211.49,4845552044.0
Total - All Industries,18,000,29200,Lafayette-West Lafayette,2022,0,0,00,4889.0,99181.15,5373793957.0
Total - All Industries,18,000,29200,Lafayette-West Lafayette,2023,0,0,00,4967.0,102239.24,5856054587.0
Total - All Industries,18,000,29200,Lafayette-West Lafayette,2024,0,0,00,5094.0,102411.49,6162067458.0
Total - All Industries,18,000,31140,Louisville/Jefferson County,2019,0,0,00,5573.0,101359.65,4240273388.0
Total - All Industries,18,000,31140,Louisville/Jefferson County,2020,0,0,00,5806.0,97308.23,4359304619.0
Total - All Industries,18,000,31140,Louisville/Jefferson County,2021,0,0,00,5852.0,100622.15,4749159473.0
Total - All Industries,18,000,31140,Louisville/Jefferson County,2022,0,0,00,6199.0,104316.66,5216373439.0
Total - All Industries,18,000,31140,Louisville/Jefferson County,2023,0,0,00,6341.0,106072.24,5436963327.0
Total - All Industries,18,000,31140,Louisville/Jefferson County,2024,0,0,00,6508.0,107541.49,5909691640.0
Total - All Industries,18,000,33140,Michigan City-La Porte,2019,0,0,00,2283.0,40362.41,1670456003.0
Total - All Industries,18,000,33140,Michigan City-La Porte,2020,0,0,00,2298.0,38068.75,1682226571.0
Total - All Industries,18,000,33140,Michigan City-La Porte,2021,0,0,00,2292.0,38700.91,1826411511.0
Total - All Industries,18,000,33140,Michigan City-La Porte,2022,0,0,00,2394.0,39742.16,1933166871.0
Total - All Industries,18,000,33140,Michigan City-La Porte,2023,0,0,00,2451.0,40888.5,2093267128.0
Total - All Industries,18,000,33140,Michigan City-La Porte,2024,0,0,00,2508.0,40621.83,2153264008.0
Total - All Industries,18,000,34620,Muncie,2019,0,0,00,2180.0,45126.33,1889704773.0
Total - All Industries,18,000,34620,Muncie,2020,0,0,00,2200.0,43158.16,1934483016.0
Total - All Industries,18,000,34620,Muncie,2021,0,0,00,2216.0,43366.08,2024554899.0
Total - All Industries,18,000,34620,Muncie,2022,0,0,00,2287.0,43989.33,2162100402.0
Total - All Industries,18,000,34620,Muncie,2023,0,0,00,2331.0,44306.75,2215912882.0
Total - All Industries,18,000,34620,Muncie,2024,0,0,00,2361.0,44736.33,2296160092.0
Total - All Industries,18,000,43780,South Bend-Mishawaka,2019,0,0,00,5759.0,124849.58,5765076143.0
Total - All Industries,18,000,43780,South Bend-Mishawaka,2020,0,0,00,5895.0,114805.33,5714186902.0
Total - All Industries,18,000,43780,South Bend-Mishawaka,2021,0,0,00,5971.0,115556.91,6191935342.0
Total - All Industries,18,000,43780,South Bend-Mishawaka,2022,0,0,00,6244.0,118141.83,6675660917.0
Total - All Industries,18,000,43780,South Bend-Mishawaka,2023,0,0,00,6435.0,120891.33,6923270085.0
Total - All Industries,18,000,43780,South Bend-Mishawaka,2024,0,0,00,6565.0,120997.91,7179038002.0
Total - All Industries,18,000,45460,Terre Haute,2019,0,0,00,3560.0,65495.9,2756683612.0
Total - All Industries,18,000,45460,Terre Haute,2020,0,0,00,3583.0,61901.07,2746722461.0
Total - All Industries,18,000,45460,Terre Haute,2021,0,0,00,3578.0,62476.16,2891362145.0
Total - All Industries,18,000,45460,Terre Haute,2022,0,0,00,3694.0,63428.91,3090196353.0
Total - All Industries,18,000,45460,Terre Haute,2023,0,0,00,3697.0,63809.33,3222393248.0
Total - All Industries,18,000,45460,Terre Haute,2024,0,0,00,3740.0,64311.32,3373163127.0
