display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,asian,black,hawaiian,hispanic,white,aian,diversity,two_or_more
0,0,Total - All Industries,,,0,000,00000,United States,2019,000000,,0,0,9706119.49667605,20246946.237696487,306800.6198700664,24993616.69820079,97821173.00552346,871532.3225903609,321.59485287900526,2689491.6121074376
0,0,Total - All Industries,,,18,000,00000,Indiana,2019,000000,,0,0,80452.30525459992,314586.40234870545,1514.3890482016507,198668.40872097763,2596079.756732198,5333.609670462407,147.886337702191,43385.03022446841
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,3168.7759824970985,4402.1038061826675,23.649542990915997,2866.5563065661413,64774.46716492189,112.40228544541999,11945.962456065557,1372.4745323907066
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,325533.71072785323,660961.2985925825,3774.805019499279,841633.3814162057,2789002.257893609,6768.369176683324,1896591.3331255808,57919.76819265583
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,30674.444289208062,134274.39918223297,744.5857827326,37921.15290906563,895988.8194871243,1657.1536515910877,221137.94571980037,15866.209904999265
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2019,000000,,0,0,2995.9012008880336,3314.663419365672,23.338825374519,3590.5048398877684,42338.909357565186,69.25500414308699,10660.794785752403,667.1314960934092
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,2246.5490740157725,8145.184604370591,76.36624205099798,18730.066740874267,105643.5986886713,273.51415472860697,31118.85773783039,1647.1769217982244
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,2019,000000,,0,0,2358.4187774964767,10273.17470871208,95.23654726790599,4243.585133897846,121921.99916380968,184.36486539344298,19005.460933081802,1850.6809003211074
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,5209.046645311119,20819.739645087524,93.505628887259,12311.18298694932,185002.16305067125,499.8775682515009,42358.62496963514,3425.2724951355176
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,34050.9752768175,145629.8638631373,671.7017353903591,60022.196069784244,815244.4538631561,1784.4949179031307,257777.96629081012,15618.734427895759
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2019,000000,,0,0,814.244809417727,3265.4604684707206,9.279537697894,1523.3517952542954,33796.39367271085,89.626580111177,6279.145177727616,577.181986774567
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,3732.744027320976,7120.726635631487,35.604384545261,7621.68242479417,86264.48546920206,143.404802831316,20220.209243892878,1566.0469687674342
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,15014.15655090131,90363.0162715885,478.969022186276,30298.37918779093,541856.2427117313,1219.9781390913577,147323.68257815213,9949.18340662879
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,693.4163780661,4153.577217505025,16.79059606803,2852.176690540855,33802.94914248638,67.72747494002199,8312.02842242156,528.3400652977085
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2019,000000,,0,0,1208.252488963762,3602.949905596661,17.835910322712,1651.4897949330807,41174.55628137981,59.047622532172994,7295.343234735631,755.7675123869268
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,3455.499614048184,15574.778044368173,76.37246258791299,9709.218932681124,114388.28580966686,411.72567403829294,31698.522848197186,2470.928120476467
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,2019,000000,,0,0,1493.7482585397852,4192.483005630222,22.898313813949002,2064.998483475734,60848.405089011045,85.27100666793102,8790.338841679404,930.9397735536231
0,0,Total - All Industries,,,0,000,00000,United States,2020,000000,,0,0,9117291.134131165,18691643.597079266,292699.69147052,23802483.686967358,91614296.99505426,794014.992040786,321.050132268059,3033198.7383648404
0,0,Total - All Industries,,,18,000,00000,Indiana,2020,000000,,0,0,75520.8709331599,296869.08837045653,1428.359888804654,197612.50706692343,2451247.709077714,5209.076387377131,150.1839577906169,46456.689997049456
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,2669.106306420601,3798.242428788166,22.553900498053,3024.736303911679,60737.924827577204,114.23220953287299,11022.3978170961,1393.526667948651
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,309555.16105586116,594589.3368263254,3596.785219388086,788998.6131352397,2570596.5500896196,7895.998977601046,1765228.7523894717,60592.85717473898
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,29412.67721442093,123806.3494147508,725.8568671950864,38325.15985148677,841359.5918482009,1475.6619203449302,212240.65496595678,18494.949697752098
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2020,000000,,0,0,2683.929890866876,3009.5533542332523,23.900968444443002,3447.9014409878355,39374.74704926354,66.759114757787,9821.746978226829,589.70220894251
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,2128.306137916731,7534.101665962505,68.64889225029499,18305.674811682748,98410.89260004257,257.9039117648109,29970.663206754994,1676.027787173333
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,2020,000000,,0,0,2282.456122980703,9735.852648105629,89.792434373258,4228.1597252977135,114513.69754959438,183.03775002666492,18496.739605594914,1977.4409248080913
