year,statefips,metrofips,geo_area,cicp_initiative,females,males
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,28803.853079376688,64633.51757498852
2021,18,00000,Indiana,BioCrossroads,86816.67535010618,107658.4727890361
2019,00,14020,Bloomington MSA,Conexus,19991.293620486493,26913.353571837815
2021,00,18020,Columbus MSA,Conexus,23894.64806676487,59244.76533334227
2019,00,31140,Louisville/Jefferson County MSA,Conexus,197802.82442875582,471088.6403101115
2023,00,34620,Muncie MSA,TechPoint,1497.4481671451695,1654.21538052072
2020,00,14020,Bloomington MSA,TechPoint,1229.8842069414147,2663.504456152116
2019,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,25675.587501528247,63966.39229221681
2023,00,21140,Elkhart-Goshen MSA,AgriNovus,4381.136577059863,6588.8328200802
2023,00,34620,Muncie MSA,AgriNovus,635.4014008299519,1713.0089529037884
2021,00,43780,South Bend-Mishawaka MSA,AgriNovus,2913.430842363481,6338.823286349724
2019,00,23060,Fort Wayne MSA,AgriNovus,5658.478212262004,14481.11302816165
2021,00,21780,Evansville MSA,AgriNovus,5769.7942303218115,14156.897865546247
2023,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,189702.08394219703,310984.80665887805
2019,00,43780,South Bend-Mishawaka MSA,AgriNovus,3263.8510771436668,6991.442245541927
2022,00,29020,Kokomo MSA,BioCrossroads,193.0495087504886,129.77755416041003
2019,00,17140,Cincinnati MSA,BioCrossroads,17519.55916595029,18564.227276535214
2023,00,23060,Fort Wayne MSA,BioCrossroads,2154.7802654234497,3755.1813423009094
2019,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2780.592193094584,2470.500689777447
2021,00,17140,Cincinnati MSA,Conexus,252320.2277263163,625318.7267591417
2023,00,43780,South Bend-Mishawaka MSA,Conexus,29045.683087748923,71651.53954290926
2023,0,00000,United States,Conexus,29917790.072917294,68335189.50535329
2023,00,29200,Lafayette-West Lafayette MSA,TechPoint,1683.625421442942,3330.520200668733
2022,00,23060,Fort Wayne MSA,TechPoint,6348.016999561027,12217.515574125728
2021,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,83581.3589316827,181210.5103958052
2020,0,00000,United States,Advanced and Traded Industries,45063063.61281183,73176799.11177427
2019,00,14020,Bloomington MSA,AgriNovus,1618.4784711680727,3328.0047738858275
2020,00,21140,Elkhart-Goshen MSA,AgriNovus,3399.4627991181796,6115.488181925228
2022,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2328.9745738944584,2479.564250119226
2021,00,23060,Fort Wayne MSA,BioCrossroads,1937.3375992419988,3449.292403553359
2019,00,21140,Elkhart-Goshen MSA,BioCrossroads,548.4420521073641,938.5213429886014
2020,00,21140,Elkhart-Goshen MSA,BioCrossroads,666.9868327931715,906.3254777929704
2019,00,18020,Columbus MSA,Conexus,26014.370195517673,64647.911135913804
2023,00,23060,Fort Wayne MSA,Conexus,69001.98762321059,168703.9191726816
2022,00,21780,Evansville MSA,TechPoint,2115.3336480875882,4392.63358800993
2023,00,18020,Columbus MSA,TechPoint,631.99487907318,1853.18478382143
2020,18,00000,Indiana,TechPoint,69636.03647224877,131213.03959681158
2019,00,29020,Kokomo MSA,Advanced and Traded Industries,12412.953778662573,30450.739317510725
2022,00,14020,Bloomington MSA,Advanced and Traded Industries,26234.022350828178,31144.33493242732
2021,0,00000,United States,Advanced and Traded Industries,46818631.59725817,75085529.73093213
2020,00,34620,Muncie MSA,Advanced and Traded Industries,9310.580152624723,18127.119961678436
2022,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,13459.692251366048,25451.260062109788
2020,00,45460,Terre Haute MSA,AgriNovus,1542.9881175316402,5736.043307612761
2021,00,31140,Louisville/Jefferson County MSA,AgriNovus,23822.368291078415,51421.908600532945
2022,0,00000,United States,BioCrossroads,3396354.841631272,4079947.0112353945
2023,00,34620,Muncie MSA,BioCrossroads,114.50123890528776,84.27830000471253
2022,00,18020,Columbus MSA,BioCrossroads,445.92250470938393,992.7005993122731
2022,18,00000,Indiana,BioCrossroads,92212.01988720373,113531.35589005821
2021,00,34620,Muncie MSA,Conexus,4700.239114715099,18333.460127949984
2023,00,29200,Lafayette-West Lafayette MSA,Conexus,29077.088890887953,80344.59343802782
2022,00,31140,Louisville/Jefferson County MSA,Conexus,219100.43700685035,494209.99836019357
2022,00,23060,Fort Wayne MSA,Conexus,66773.81008569959,167059.4293573738
