cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2022,11507.624681390555,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2026,12441.782490544501,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2028,12622.066923250351,Non-STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2020,1200.2917575143083,STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2021,7847.865075996224,Non-STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2025,8330.44339903576,Non-STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2021,3515.0285715293494,STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2021,33124.10846771119,Non-STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2025,3829.5159862736427,STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2026,31850.961339651778,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2019,12577.351837359387,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2020,3074.9364661922127,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2021,14270.042629037713,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2022,15828.449903217852,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2023,3184.035293028257,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2026,3293.5722806872604,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2020,1205757.476909523,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2021,1220400.0798684757,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2022,171136.26304883359,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2023,1271043.4819973926,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2025,172438.16128703803,STEM
