initiative,jobs,wages,grp
Advanced & Traded Industries,1110656.6114735648,94466.8232223228,209146370028.29984
Conexus,841356.8738149909,89161.87722623473,157242014013.96997
AgriNovus,104348.15717344228,72663.68731394253,21361641712.60119
TechPoint,73721.65866738805,120371.82939065844,17223276381.144596
BioCrossroads,70189.07111633412,148688.5070772028,31009168484.2207
