geo_area,total_jobs,n_initiatives
Chicago-Naperville-Elgin MSA,2589992.0168420654,5
Cincinnati MSA,677924.1357537865,5
Indianapolis-Carmel-Greenwood MSA,676482.7713846571,5
Louisville/Jefferson County MSA,479461.0718553814,5
Elkhart-Goshen MSA,161260.90447046937,5
Fort Wayne MSA,149111.82965280281,5
Evansville MSA,78727.99169478944,5
Lafayette-West Lafayette MSA,69366.4660421982,5
South Bend-Mishawaka MSA,67691.12594128563,5
Columbus MSA,49469.037137580446,5
