statefips,countyfips,metrofips,geo_area,initiative,naics_title,naics_code,n_years,avg_growth,sd_growth,cv_growth,current_jobs
0,000,00000,United States,Advanced & Traded Industries,Household Appliance Manufacturing,3352,9,0.0314257299375534,4.971604100794557,158.20170639389173,61797.753928399994
0,000,00000,United States,Advanced & Traded Industries,Iron and Steel Mills and Ferroalloy Manufacturing,3311,9,-0.027759558996726774,2.6062865491624674,93.88789459766936,85357.753681
0,000,00000,United States,Advanced & Traded Industries,Converted Paper Product Manufacturing,3222,9,-0.03866806630301589,2.5915124120225737,67.0194467888468,274572.8870655
0,000,00000,United States,Advanced & Traded Industries,Petroleum and Coal Products Manufacturing,3241,9,-0.04236509006299628,2.404289213393259,56.751660620055695,112467.88511899
0,000,00000,United States,Advanced & Traded Industries,Rubber Product Manufacturing,3262,9,-0.10138847178618156,3.5574886760361606,35.08770389141044,135203.46512187002
0,000,00000,United States,Advanced & Traded Industries,Alumina and Aluminum Production and Processing,3313,9,0.12343367901044905,3.608226931323239,29.23211039523331,61029.35534959
0,000,00000,United States,Advanced & Traded Industries,Metal and Mineral (except Petroleum) Merchant Wholesalers,4235,9,0.12652058758563112,3.4831905468037525,27.53062259093821,137676.25439984
0,000,00000,United States,Advanced & Traded Industries,Specialized Freight Trucking,4842,9,-0.08732983859534402,2.076997917123118,23.78337061570904,475725.4805075
0,000,00000,United States,Advanced & Traded Industries,Other Chemical Product and Preparation Manufacturing,3259,9,-0.11484600817587899,2.6977408147847037,23.49007037887894,83055.0609115
0,000,00000,United States,Advanced & Traded Industries,Footwear Manufacturing,3162,9,-0.37998777519747046,7.651858136276229,20.137116601447886,12073.7940536
0,000,00000,United States,AgriNovus,Confectionery Manufacturing from Purchased Chocolate,311352,9,-0.033921221185036723,5.36878190713872,158.27207039076143,32493.5525709
0,000,00000,United States,AgriNovus,Forest Nurseries and Gathering of Forest Products,113210,9,0.02028104570163484,3.199748683456516,157.7703995410151,2048.8707991
0,000,00000,United States,AgriNovus,Fresh Fruit and Vegetable Merchant Wholesalers,424480,9,-0.03496862858798977,3.6352672779478623,103.95795959800441,99663.6631162
0,000,00000,United States,AgriNovus,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,333112,9,0.11356925967285096,6.050242490127529,53.27359276230147,17866.9461428
0,000,00000,United States,AgriNovus,"Frozen Fruit, Juice, and Vegetable Manufacturing",311411,9,0.040522891377837836,1.8557199383594425,45.794361538928705,31067.6307137
0,000,00000,United States,AgriNovus,Phosphatic Fertilizer Manufacturing,325312,9,0.03084356016357,1.272196451080041,41.24674467970983,5717.57994553
0,000,00000,United States,AgriNovus,Poultry Processing,311615,9,0.0639444888305942,2.318173334235458,36.25290273845037,247548.087957
0,000,00000,United States,AgriNovus,Farm Product Warehousing and Storage,493130,9,-0.10075613435325757,2.5803681397832783,25.610035124376044,10853.5554678
0,000,00000,United States,AgriNovus,Sawmills,321113,9,0.0898870377353207,2.2176286813887143,24.67128450621204,81758.2673879
0,000,00000,United States,AgriNovus,"Sawmill, Woodworking, and Paper Machinery Manufacturing",333243,9,0.13048605265410082,3.2177754912060883,24.65991901629467,13244.9620029
0,000,00000,United States,BioCrossroads,Surgical Appliance and Supplies Manufacturing,339113,9,0.012434002418938562,1.8897233606683543,151.98029540271492,104646.691995
0,000,00000,United States,BioCrossroads,Phosphatic Fertilizer Manufacturing,325312,9,0.03084356016357,1.272196451080041,41.24674467970983,5717.57994553
0,000,00000,United States,BioCrossroads,Fertilizer (Mixing Only) Manufacturing,325314,9,-0.26617766770930595,3.6934359057959556,13.875829394634176,7746.74929374
0,000,00000,United States,BioCrossroads,Artificial and Synthetic Fibers and Filaments Manufacturing,325220,9,0.3170678353103622,3.498596064755358,11.034219416582427,25563.5064446
0,000,00000,United States,BioCrossroads,Irradiation Apparatus Manufacturing,334517,9,-0.23332049965456442,2.3628098183380355,10.12688478653278,14294.665166
0,000,00000,United States,BioCrossroads,Ethyl Alcohol Manufacturing,325193,9,0.5677778523574182,2.572827473792905,4.5313980866117,10976.5307558
0,000,00000,United States,BioCrossroads,In-Vitro Diagnostic Substance Manufacturing,325413,9,1.525504359958485,6.764976639044206,4.434583614843492,31612.3098257
0,000,00000,United States,BioCrossroads,Wet Corn Milling and Starch Manufacturing,311221,9,0.5085075973142931,1.8572145985211963,3.6522848593219908,13816.8079364
0,000,00000,United States,BioCrossroads,Dental Equipment and Supplies Manufacturing,339114,9,1.1785094598874803,3.697197524869546,3.137181033084402,17707.0894146
0,000,00000,United States,BioCrossroads,Testing Laboratories and Services,541380,9,0.44035998745234217,1.3379924316535676,3.0384060082170192,21198.089091324
0,000,00000,United States,Conexus,Household Appliance Manufacturing,3352,9,0.0314257299375534,4.971604100794557,158.20170639389173,61797.753928399994
0,000,00000,United States,Conexus,Iron and Steel Mills and Ferroalloy Manufacturing,3311,9,-0.027759558996726774,2.6062865491624674,93.88789459766936,85357.753681
0,000,00000,United States,Conexus,Converted Paper Product Manufacturing,3222,9,-0.03866806630301589,2.591512412022582,67.01944678884702,274572.8870655
0,000,00000,United States,Conexus,Rubber Product Manufacturing,3262,9,-0.10138847178618265,3.557488676036159,35.087703891410044,135203.46512187
0,000,00000,United States,Conexus,Alumina and Aluminum Production and Processing,3313,9,0.12343367901044905,3.6082269313232462,29.232110395233367,61029.35534959
0,000,00000,United States,Conexus,Metal and Mineral (except Petroleum) Merchant Wholesalers,4235,9,0.12652058758563112,3.4831905468037525,27.53062259093821,137676.25439984
