statefips,countyfips,metrofips,geo_area,year,initiative,n_industries,min_wage,q25_wage,median_wage,q75_wage,max_wage,weighted_avg_wage
0,000,00000,United States,2023,Advanced & Traded Industries,142,9078.830191037325,79465.50409058793,95501.00082550813,121868.4368427117,323112.1528544088,120385.8760140403
0,000,00000,United States,2023,AgriNovus,100,36504.8938464,70672.35817225,83508.82317115,95721.6548262,174875.889762,NA
0,000,00000,United States,2023,BioCrossroads,26,86567.1467312,120777.29841650001,139646.040995,155904.04773475,241693.043087,160705.18663871224
0,000,00000,United States,2023,Conexus,122,55609.7874393,77923.59304197632,89871.32246691696,109170.1028935209,312619.3133045281,97022.24286351287
0,000,00000,United States,2023,TechPoint,42,86935.5305581,119716.50754699999,152233.0046965,177837.606744,364602.401676,174943.21045221976
00,000,14020,Bloomington MSA,2023,Advanced & Traded Industries,142,0,0,51638.067022931966,80813.14319091082,319761.9943333652,89658.4730957301
00,000,14020,Bloomington MSA,2023,AgriNovus,100,0,0,0,33397.905369375,167147.566338,NA
00,000,14020,Bloomington MSA,2023,BioCrossroads,26,0,0,32354.5531184,99830.09364959999,319761.995482,95161.12198560676
00,000,14020,Bloomington MSA,2023,Conexus,122,0,0,36556.039073,69863.81955342258,319761.995482,89202.69627497817
00,000,14020,Bloomington MSA,2023,TechPoint,42,0,0,0,96377.063464075,175730.779695,102845.81643422105
00,000,16980,Chicago-Naperville-Elgin MSA,2023,Advanced & Traded Industries,142,7285.834466571882,86169.03831378103,100551.84372148517,123093.08527523771,389279.69818041654,129879.31212204554
00,000,16980,Chicago-Naperville-Elgin MSA,2023,AgriNovus,100,0,62016.163124325,85199.6817019,108745.02783724999,272569.808156,NA
00,000,16980,Chicago-Naperville-Elgin MSA,2023,BioCrossroads,26,0,89691.285581775,134693.5897715,182408.3179945,282010.268845,191122.48378410353
00,000,16980,Chicago-Naperville-Elgin MSA,2023,Conexus,122,34796.6205888,83664.01778413614,97120.46591751388,114744.84221260544,282010.268845,104807.94833069011
00,000,16980,Chicago-Naperville-Elgin MSA,2023,TechPoint,42,66181.1172798,106176.68222,138151.4306595,161195.99736074999,478488.220766,159476.27845330242
00,000,17140,Cincinnati MSA,2023,Advanced & Traded Industries,142,0,76055.90190341472,92373.3228871733,111883.39329051544,250284.34408004885,111207.10213968618
00,000,17140,Cincinnati MSA,2023,AgriNovus,100,0,57750.755257900004,80021.9726801,94920.79120725,221955.14794,NA
00,000,17140,Cincinnati MSA,2023,BioCrossroads,26,0,78133.15166445001,107772.037263,141262.97400425002,221955.14794,131317.6231140702
00,000,17140,Cincinnati MSA,2023,Conexus,122,0,74366.86992703323,88073.18436024341,111058.93383607469,250284.34408493064,97710.4610314606
00,000,17140,Cincinnati MSA,2023,TechPoint,42,0,78643.381692225,102292.298272,126993.5916585,166588.058042,132515.4566281611
00,000,18020,Columbus MSA,2023,Advanced & Traded Industries,142,0,0,56455.820158986644,87478.7601081118,200277.0381475217,110791.1364861546
00,000,18020,Columbus MSA,2023,AgriNovus,100,0,0,0,40783.194390824996,178129.40469,NA
00,000,18020,Columbus MSA,2023,BioCrossroads,26,0,0,0,84931.20700722499,252296.355305,77059.95377763882
00,000,18020,Columbus MSA,2023,Conexus,122,0,0,37549.26727030773,78748.50860923299,166099.9959880805,112406.0168430694
00,000,18020,Columbus MSA,2023,TechPoint,42,0,0,0,85469.009570175,227590.844074,107298.17471506582
00,000,21140,Elkhart-Goshen MSA,2023,Advanced & Traded Industries,142,0,49585.936852898216,70023.89352623466,84060.1784292957,401397.9329622335,84313.89374563021
00,000,21140,Elkhart-Goshen MSA,2023,AgriNovus,100,0,0,0,49414.46374845,116220.135232,NA
00,000,21140,Elkhart-Goshen MSA,2023,BioCrossroads,26,0,0,20866.0064946,91879.006699475,550722.502816,166166.3910448206
00,000,21140,Elkhart-Goshen MSA,2023,Conexus,122,0,42692.66040475,66736.7086293873,80454.78314139023,172838.069605,76605.06832025468
00,000,21140,Elkhart-Goshen MSA,2023,TechPoint,42,0,0,50895.3366449,84529.78707065,166508.364323,78726.64784588348
00,000,21780,Evansville MSA,2023,Advanced & Traded Industries,142,0,49578.10213312456,75528.82109527115,97109.03811950475,363251.9080052645,92691.77597354395
00,000,21780,Evansville MSA,2023,AgriNovus,100,0,0,0,77971.24404067501,205062.241093,NA
