year,initiative,naics_title,naics_code,n_geographies,total_jobs,avg_jobs_per_geo,max_geo_jobs
2024,Healthcare,Residential Intellectual and Developmental Disability Facilities,623210,17,432230.0865653657,25425.299209727396,409493.068458
2024,Healthcare,Outpatient Mental Health and Substance Abuse Centers,621420,17,341494.5631415709,20087.915478915937,313025.562571
2024,Healthcare,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,17,298752.5331013149,17573.678417724408,276545.413338
2024,Healthcare,Residential Mental Health and Substance Abuse Facilities,623220,17,279884.26410570665,16463.78024151216,265541.73655
2024,TechPoint,Computer Systems Design Services,541512,17,1215317.6312228232,71489.27242487196,1150882.46214
2024,TechPoint,Custom Computer Programming Services,541511,17,1155592.7108020945,67976.04181188792,1092558.78895
2024,TechPoint,Software Publishers,513210,17,656566.9394944856,38621.584676146216,638498.362604
2024,TechPoint,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518210,17,504414.0783044405,29671.41637084944,484245.571029
2024,TechPoint,Wired Telecommunications Carriers,517111,17,477639.3291312351,28096.43112536677,455448.871389
2024,TechPoint,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,17,245060.66801614297,14415.333412714292,227886.933305
2024,TechPoint,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",516210,17,232444.81427326082,13673.224369015343,225545.805512
2024,TechPoint,Semiconductor and Related Device Manufacturing,334413,17,204552.1980307666,12032.482237103917,204072.849895
2024,TechPoint,Web Search Portals and All Other Information Services,519290,17,157214.37223796145,9247.904249291849,153179.335269
2024,TechPoint,Other Computer Related Services,541519,17,143811.9574486505,8459.526908744148,136554.008188
