statefips,countyfips,metrofips,geo_area,initiative,naics_title,naics_code,n_years,avg_growth,sd_growth,cv_growth,current_jobs
0,000,00000,United States,Advanced & Traded Industries,Other Miscellaneous Manufacturing,3399,5,-0.02447145075446864,5.44240137491554,222.39798651584738,290109.85142137995
0,000,00000,United States,Advanced & Traded Industries,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",3252,5,-0.04418680414514986,3.109047356412766,70.36144424927886,94839.23340081
0,000,00000,United States,Advanced & Traded Industries,Medical Equipment and Supplies Manufacturing,3391,5,0.05177201219523697,2.9946684088329563,57.84338452096065,325636.7862659
0,000,00000,United States,Advanced & Traded Industries,Metal and Mineral (except Petroleum) Merchant Wholesalers,4235,5,-0.09412612612798466,4.912291220522984,52.18839256003875,135482.66324762002
0,000,00000,United States,Advanced & Traded Industries,"Advertising, Public Relations, and Related Services",5418,5,0.13721777259783954,6.907016017128297,50.33616190062719,503458.8035776001
0,000,00000,United States,Advanced & Traded Industries,"Veneer, Plywood, and Engineered Wood Product Manufacturing",3212,5,0.074141565910350593,3.552859973910229,47.91994787655583,81821.584695
0,000,00000,United States,Advanced & Traded Industries,Depository Credit Intermediation,5221,5,0.02730425337794662,1.2334219604950831,45.173253537535146,1783626.6062915002
0,000,00000,United States,Advanced & Traded Industries,Plastics Product Manufacturing,3261,5,-0.09230543854334314,3.84483550310813,41.6534016173136,589253.4493734001
0,000,00000,United States,Advanced & Traded Industries,Converted Paper Product Manufacturing,3222,5,-0.11082212395435054,3.6529392589227547,32.96218416123716,274038.4012011
0,000,00000,United States,Advanced & Traded Industries,Other Leather and Allied Product Manufacturing,3169,5,-0.24918499748345385,7.775909667316614,31.205368484645398,11179.7716242
0,000,00000,United States,AgriNovus,Fish and Seafood Merchant Wholesalers,424460,5,-0.15088590287580567,5.225869952287885,34.634580518693674,27862.342922
0,000,00000,United States,AgriNovus,Meat and Meat Product Merchant Wholesalers,424470,5,0.16643553360850216,4.745113853174144,28.510221046521433,48259.1716152
0,000,00000,United States,AgriNovus,Poultry Processing,311615,5,0.12740696146883446,3.417771639377285,26.825627108400354,247655.627628
0,000,00000,United States,AgriNovus,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,5,0.1514698174983531,3.7759273980217216,24.928579570400398,21423.1333802
0,000,00000,United States,AgriNovus,Confectionery Manufacturing from Purchased Chocolate,311352,5,-0.33845130717326655,7.568686287286322,22.362703664818802,32047.1419282
0,000,00000,United States,AgriNovus,In-Vitro Diagnostic Substance Manufacturing,325413,5,0.507621797572859,10.68387274772797,21.04691484646995,563.0966277
0,000,00000,United States,AgriNovus,Fresh Fruit and Vegetable Merchant Wholesalers,424480,5,-0.46913656031384965,5.116053890865571,10.905255150958519,97659.7345805
0,000,00000,United States,AgriNovus,Ethyl Alcohol Manufacturing,325193,5,0.37588240606029266,3.9171677472155046,10.421258574648954,10624.6857869
0,000,00000,United States,AgriNovus,Tobacco Manufacturing,312230,5,-0.19369638629790797,1.8673325486678052,9.640513095560902,10678.6086173
0,000,00000,United States,AgriNovus,Beer and Ale Merchant Wholesalers,424810,5,0.33880290475847286,2.584744181143002,7.629049647569063,115142.67255
0,000,00000,United States,BioCrossroads,In-Vitro Diagnostic Substance Manufacturing,325413,5,0.5076217975728611,10.683872747727968,21.04691484646986,28154.831385
0,000,00000,United States,BioCrossroads,Testing Laboratories and Services,541380,5,0.09516188225997091,1.7839205206003461,18.74616682892934,20460.325018332
0,000,00000,United States,BioCrossroads,Ethyl Alcohol Manufacturing,325193,5,0.37588240606029266,3.9171677472155046,10.421258574648954,10624.6857869
0,000,00000,United States,BioCrossroads,Artificial and Synthetic Fibers and Filaments Manufacturing,325220,5,-0.5361022750399846,5.413308645023503,10.09752970106265,24162.3840318
0,000,00000,United States,BioCrossroads,Dental Equipment and Supplies Manufacturing,339114,5,0.5405667588113272,5.1561053143927875,9.538332186260849,16373.00462
0,000,00000,United States,BioCrossroads,Compost Manufacturing,325315,5,1.589358677079944,8.549180770619213,5.379012864689694,1184.82161611
0,000,00000,United States,BioCrossroads,Wet Corn Milling and Starch Manufacturing,311221,5,0.5095384004119019,2.6736922817593074,5.247283187288615,13539.4670728
