statefips,countyfips,metrofips,geo_area,year,initiative,total_industries,top5_concentration,top10_concentration,herfindahl_index
0,000,00000,United States,2024,Advanced & Traded Industries,146,24.291381032178556,39.87258933050305,227.62306862930035
0,000,00000,United States,2024,AgriNovus,100,33.11738738580313,48.59959881827335,356.7563094279031
0,000,00000,United States,2024,BioCrossroads,26,62.095908511319294,87.61798628363356,1011.4187992969987
0,000,00000,United States,2024,Conexus - Logistics,36,47.17189352840214,68.28948631334346,661.6536120891699
0,000,00000,United States,2024,Conexus - Manufacturing,110,20.92930986836963,34.84044291727652,200.16267186877326
0,000,00000,United States,2024,Finance & Insurance,35,61.75659236553381,82.58183471930454,1072.4435821176917
0,000,00000,United States,2024,Healthcare,30,69.68664255466433,82.19509567307753,1362.9014761649346
0,000,00000,United States,2024,TechPoint,40,63.72078494745535,79.51476401619043,1009.3393735267409
00,000,14020,Bloomington MSA,2024,Advanced & Traded Industries,146,58.328069699988376,72.98819753185768,1239.7512622767206
00,000,14020,Bloomington MSA,2024,AgriNovus,100,58.709376915710614,84.48294872348885,952.0919818407873
00,000,14020,Bloomington MSA,2024,BioCrossroads,26,99.20614904952325,99.9616494233325,4474.793286487723
00,000,14020,Bloomington MSA,2024,Conexus - Logistics,36,66.85852154245744,89.12856543242687,1170.156787188481
00,000,14020,Bloomington MSA,2024,Conexus - Manufacturing,110,88.4608439863018,92.65969655869581,3116.920613988305
00,000,14020,Bloomington MSA,2024,Finance & Insurance,35,84.87156737079604,96.11232792631657,2258.7235669333763
00,000,14020,Bloomington MSA,2024,Healthcare,30,66.47331345377155,84.42594818626809,1511.1566184698208
00,000,14020,Bloomington MSA,2024,TechPoint,40,79.75161168059175,94.82681240496467,1647.1400488952493
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,146,23.02164505111273,38.57511492692699,221.6703784721173
00,000,16980,Chicago-Naperville-Elgin MSA,2024,AgriNovus,100,36.95554349580497,54.4024904108411,417.5035534359632
00,000,16980,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,26,72.42134067693648,91.1013399585163,1279.829684116858
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Conexus - Logistics,36,48.42743448776963,69.40151466181595,653.7385157896073
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Conexus - Manufacturing,110,26.213002890471415,42.669535491698866,267.01041435606214
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,35,60.43468226455027,78.25787335355682,1048.5095999499022
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Healthcare,30,73.74829432577762,86.1666145137395,1684.0405888174791
00,000,16980,Chicago-Naperville-Elgin MSA,2024,TechPoint,40,62.37846701438095,78.8649538477271,1060.1523607317595
00,000,17140,Cincinnati MSA,2024,Advanced & Traded Industries,146,27.680413787538036,41.661629170907716,287.8626258552069
00,000,17140,Cincinnati MSA,2024,AgriNovus,100,30.622394134423477,51.58441384913631,366.6105757347593
00,000,17140,Cincinnati MSA,2024,BioCrossroads,26,81.24352031903008,94.61531061849296,1436.5070799880543
00,000,17140,Cincinnati MSA,2024,Conexus - Logistics,36,50.22178695130295,69.54555391326458,747.3086351078053
00,000,17140,Cincinnati MSA,2024,Conexus - Manufacturing,110,32.440639234211524,49.16947622552222,347.0488392556507
00,000,17140,Cincinnati MSA,2024,Finance & Insurance,35,66.45384440560035,87.75762210794926,1153.0255189248082
00,000,17140,Cincinnati MSA,2024,Healthcare,30,75.72957149581855,87.30233405253264,1918.5566470763654
00,000,17140,Cincinnati MSA,2024,TechPoint,40,70.83355133152286,84.89671524765753,1255.5064748815269
00,000,18020,Columbus MSA,2024,Advanced & Traded Industries,146,63.8274147446661,75.81327575090256,1589.0505858512179
00,000,18020,Columbus MSA,2024,AgriNovus,100,79.482427129316,90.66063327519194,3433.072688731386
00,000,18020,Columbus MSA,2024,BioCrossroads,26,92.24234540754262,99.8415500215355,2614.7580057203472
00,000,18020,Columbus MSA,2024,Conexus - Logistics,36,72.79031910457648,87.74833924609297,1454.20002635986
00,000,18020,Columbus MSA,2024,Conexus - Manufacturing,110,80.02509352450058,91.51207057608008,2552.7447042898993
00,000,18020,Columbus MSA,2024,Finance & Insurance,35,80.06746915084928,94.22440224458026,1615.065941221534
00,000,18020,Columbus MSA,2024,Healthcare,30,75.86368948277381,92.63891680961733,1414.4696398509352
00,000,18020,Columbus MSA,2024,TechPoint,40,85.04182792161151,96.98214768398864,3321.7161952577676
00,000,21140,Elkhart-Goshen MSA,2024,Advanced & Traded Industries,146,55.0716020975193,67.46582747986143,1531.5267163103106
00,000,21140,Elkhart-Goshen MSA,2024,AgriNovus,100,58.700632380651676,76.77021800853484,954.20216535171
