initiative,jobs,wages,grp
Advanced & Traded Industries,1107499.3852317648,100367.059565535,225125672211.75287
Conexus - Manufacturing,526472.7307126923,98232.27392436416,116291019325.7004
Healthcare,386139.007796426,82916.8828428204,39117992029.1366
Conexus - Logistics,306952.871016097,87074.1138187024,51564369316.52312
Finance & Insurance,113240.32975142972,110308.75367854784,29127160585.197178
AgriNovus,105079.47664706624,74839.00868248816,22436933877.237053
TechPoint,71112.63180620449,128276.26736371612,17720819958.597935
BioCrossroads,69999.67095285065,177323.17230254455,36170049677.10174
