display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,age_14_18,age_19_21,age_22_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
0,0,Finance Total,,,0,000,00000,United States,2019,000000,,0,0,11585.71640746547,96179.7749147546,279250.29357552243,1471868.1010259606,1619323.9000139078,1492403.918789923,1159627.090236159,321683.4785381785
0,0,Finance Total,,,0,000,00000,United States,2020,000000,,0,0,10752.083452982197,82429.97899153971,270375.9617320443,1471859.4148380249,1644960.9974367677,1497957.3787223338,1181714.0109198957,334457.0262854134
0,0,Finance Total,,,0,000,00000,United States,2021,000000,,0,0,11054.912597191884,79634.39244992111,258437.1228198934,1464891.530437719,1673143.1495136973,1513245.6984196221,1198818.0045500072,350333.575355451
0,0,Finance Total,,,0,000,00000,United States,2022,000000,,0,0,11655.280292536205,87237.55863528262,263442.8330375392,1490617.233048433,1709073.8933732312,1539254.9141974547,1215976.3251026412,369909.2571441451
0,0,Finance Total,,,0,000,00000,United States,2023,000000,,0,0,12361.663488619066,86187.81840646635,259341.9178367176,1490918.138363623,1721390.8474420852,1555238.3384833413,1217726.4434006119,388490.26808570995
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,10.09343696855,61.793098308157,93.639994541952,389.55841104086795,352.19380398753003,363.16053086853196,323.326324842872,108.77145495021
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,9.39639141131,66.118300100999,128.19098264576502,434.67740142300596,387.03473734489,381.98396663568195,343.59195714409196,113.36284220467
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,4.8568376113700005,49.841983825769006,125.93574870711501,402.752750477715,358.457689181854,370.904754928204,348.635993288134,118.02998848967599
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,8.138956588472,40.309610531009994,99.104792435413,377.28205819616903,348.69098523674404,362.19770286291305,321.68859724607205,115.98810742674999
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,14.441009589287999,35.47265357245,86.98803109159701,367.962245055905,355.67340437584,349.519350053508,326.48360701245804,117.26425976213
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,329.6540687697439,3121.0729743095108,10732.085719439641,54877.05971613929,60845.53451483967,55962.58868920696,42470.69871320411,11133.7255941319
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,266.273403977515,2466.104499465552,10447.717595591526,54336.423183105464,61249.32170387836,55923.21625028,43580.99253799957,11332.68688907395
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,288.55039188605707,2390.340664638251,10105.084455984907,53028.007379394905,59680.14118227084,54786.685544609965,42772.10878478878,11871.2048901331
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,297.070184360922,2421.1481255811354,10307.227084515533,53224.79636020059,59388.7195130803,54553.65380777556,42920.05326160538,12281.102947587298
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,289.39103830309097,2537.5538545390805,10253.799211709551,53668.31637305029,59053.128188586976,54518.4820463338,42492.06111397675,13090.840957517907
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,90.634856302059,903.4472660945279,2435.5337937493227,12888.510961349573,14204.991851830013,13420.196880819245,10499.145091567783,2533.348579906204
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,64.683604512176,757.9329389348641,2372.64056576312,12666.822263014968,14280.89341155476,13332.457533042778,10609.648325239834,2621.296177681668
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,63.118953346451,671.211213011724,2268.528792915964,12274.405173659905,14357.147922844968,13154.666014698603,10665.216014089594,2617.614523658424
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,58.24237751900899,667.431327916605,2040.6019351900663,11803.27490689689,13789.031180492615,12753.344704506057,10190.856087087806,2672.7836985438385
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,50.20242993389701,657.0029983083249,1954.766848064312,11305.485874986529,13522.622629388474,12449.34503355621,9921.156956093164,2706.6714667452197
0,0,Finance Total,,,00,000,18020,Columbus MSA,2019,000000,,0,0,1.817954375461,25.750908626888997,47.356018196544,211.40968135684,213.68738767619595,239.88511022109003,212.76026798025998,58.821488634649995
0,0,Finance Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,4.431239822772,21.436720232796,54.86166316525001,221.28802535805906,212.98776875789903,253.87975556929604,216.773471176188,58.908791027984996
0,0,Finance Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,2.84920729148,21.930214007809997,45.921707373948,234.10633182823003,207.129335415486,253.1074575370666,219.27913096628,69.82945890182098
0,0,Finance Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,1.474211509228,24.059981220947,41.879268607909,243.7044494463,211.33780566273202,255.765652895805,213.53352625166096,75.91112145852101
0,0,Finance Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,0.692705614304,22.562739091688996,46.53252081965,237.198659439328,223.344205975178,249.181503067811,204.937494811997,78.885695989908
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,11.078788247786001,60.671396598826,118.448136822183,411.7363609618851,379.647686223688,421.08232069693094,401.68872114344396,108.10313519510902
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,5.16016053369,51.580096702557,111.294732455696,405.6318919170401,377.55549772997,423.724729545619,393.66262455543404,102.33989561595399
