display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
2,2,    522 - Credit Intermediation,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,522292,Real Estate Credit,2,2,226.0
2,2,    522 - Credit Intermediation,,,00,000,45460,Terre Haute MSA,2017,522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",2,2,0.0
2,4,    524 - Insurance,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,524126,Direct Property and Casualty Insurance Carriers,2,2,6036.0
2,3,    523 - Securities and Investments,,,00,000,43780,South Bend-Mishawaka MSA,2024,523940,Portfolio Management and Investment Advice,2,2,162.0
2,4,    524 - Insurance,,,0,000,00000,United States,2018,524126,Direct Property and Casualty Insurance Carriers,2,2,216734.0
2,4,    524 - Insurance,,,00,000,45460,Terre Haute MSA,2014,524113,Direct Life Insurance Carriers,2,2,34.0
2,3,    523 - Securities and Investments,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2013,523910,Miscellaneous Intermediation,2,2,20.0
2,3,    523 - Securities and Investments,,,00,000,21780,Evansville MSA,2023,523160,Commodity Contracts Intermediation,2,2,0.0
2,2,    522 - Credit Intermediation,,,00,000,29200,Lafayette-West Lafayette MSA,2019,522130,Credit Unions,2,2,48.0
2,5,    525 - Funds and Trusts,,,00,000,29200,Lafayette-West Lafayette MSA,2022,525990,Other Financial Vehicles,2,2,0.0
2,4,    524 - Insurance,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,524127,Direct Title Insurance Carriers,2,2,98.0
2,3,    523 - Securities and Investments,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,523940,Portfolio Management and Investment Advice,2,2,1910.0
2,5,    525 - Funds and Trusts,,,00,000,34620,Muncie MSA,2017,525190,Other Insurance Funds,2,2,0.0
2,5,    525 - Funds and Trusts,,,00,000,16980,Chicago-Naperville-Elgin MSA,2018,525120,Health and Welfare Funds,2,2,30.0
2,2,    522 - Credit Intermediation,,,00,000,45460,Terre Haute MSA,2023,522130,Credit Unions,2,2,0.0
2,4,    524 - Insurance,,,00,000,29200,Lafayette-West Lafayette MSA,2011,524114,Direct Health and Medical Insurance Carriers,2,2,4.0
2,2,    522 - Credit Intermediation,,,00,000,33140,Michigan City-La Porte MSA,2018,522220,Sales Financing,2,2,10.0
2,3,    523 - Securities and Investments,,,0,000,00000,United States,2017,523999,Miscellaneous Financial Investment Activities,2,2,20000.0
2,2,    522 - Credit Intermediation,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2014,522292,Real Estate Credit,2,2,286.0
2,3,    523 - Securities and Investments,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,523991,"Trust, Fiduciary, and Custody Activities",2,2,2.0
2,5,    525 - Funds and Trusts,,,00,000,14020,Bloomington MSA,2022,525910,Open-End Investment Funds,2,2,4.0
2,5,    525 - Funds and Trusts,,,00,000,31140,Louisville/Jefferson County MSA,2020,525190,Other Insurance Funds,2,2,16.0
2,2,    522 - Credit Intermediation,,,0,000,00000,United States,2010,522210,Credit Card Issuing,2,2,9430.0
2,3,    523 - Securities and Investments,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,523160,Commodity Contracts Intermediation,2,2,140.0
2,2,    522 - Credit Intermediation,,,18,000,00000,Indiana,2021,522292,Real Estate Credit,2,2,1134.0
2,2,    522 - Credit Intermediation,,,00,000,23060,Fort Wayne MSA,2010,522291,Consumer Lending,2,2,14.0
2,4,    524 - Insurance,,,00,000,29200,Lafayette-West Lafayette MSA,2020,524113,Direct Life Insurance Carriers,2,2,16.0
2,2,    522 - Credit Intermediation,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2014,522291,Consumer Lending,2,2,844.0
2,3,    523 - Securities and Investments,,,00,000,21780,Evansville MSA,2024,523999,Miscellaneous Financial Investment Activities,2,2,0.0
2,4,    524 - Insurance,,,00,000,18020,Columbus MSA,2018,524114,Direct Health and Medical Insurance Carriers,2,2,8.0
2,3,    523 - Securities and Investments,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,523940,Portfolio Management and Investment Advice,2,2,2126.0
2,2,    522 - Credit Intermediation,,,00,000,17140,Cincinnati MSA,2025,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",2,2,997.0
2,5,    525 - Funds and Trusts,,,00,000,31140,Louisville/Jefferson County MSA,2017,525110,Pension Funds,2,2,0.0
2,3,    523 - Securities and Investments,,,18,000,00000,Indiana,2011,523999,Miscellaneous Financial Investment Activities,2,2,104.0
2,2,    522 - Credit Intermediation,,,00,000,43780,South Bend-Mishawaka MSA,2017,522220,Sales Financing,2,2,412.0
2,2,    522 - Credit Intermediation,,,00,000,23060,Fort Wayne MSA,2015,522180,Savings Institutions and Other Depository Credit Intermediation,2,2,2.0
2,4,    524 - Insurance,,,00,000,31140,Louisville/Jefferson County MSA,2021,524113,Direct Life Insurance Carriers,2,2,636.0
2,2,    522 - Credit Intermediation,,,18,000,00000,Indiana,2019,522220,Sales Financing,2,2,722.0
2,3,    523 - Securities and Investments,,,18,000,00000,Indiana,2012,523160,Commodity Contracts Intermediation,2,2,16.0
2,2,    522 - Credit Intermediation,,,00,000,29200,Lafayette-West Lafayette MSA,2015,522310,Mortgage and Nonmortgage Loan Brokers,2,2,18.0
