display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs,grp
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2008,000000,,0,0,27144.208247353905,4785372900.0164795
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2009,000000,,0,0,25896.442273690835,4838914160.972703
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2010,000000,,0,0,25487.86133428622,5148117448.221906
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2011,000000,,0,0,25743.801385442894,5170953975.001607
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2012,000000,,0,0,26173.91819891936,5363196518.005089
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2013,000000,,0,0,26598.097998904886,5665110974.719295
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2014,000000,,0,0,26851.278006914166,5564668383.815855
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2015,000000,,0,0,28017.827309171164,5974993899.520312
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2016,000000,,0,0,28180.64926594605,6044077603.527455
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2017,000000,,0,0,28149.20389546862,6218797851.437384
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2018,000000,,0,0,28689.64249435542,6269865442.016438
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,27765.516034267806,6622552934.86916
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,27868.67363434729,6779404690.852052
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,28203.267166596863,7371839550.2927475
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,28440.872249288986,7654042295.833577
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,27857.987256815824,8056537960.464718
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,27120.69458609038,8573544606.2072115
0,0,Tech Total,,,00,000,18020,Columbus MSA,2007,000000,,0,0,682.11256923261,77321962.5551953
0,0,Tech Total,,,00,000,18020,Columbus MSA,2008,000000,,0,0,741.053963334688,83918416.4405042
0,0,Tech Total,,,00,000,18020,Columbus MSA,2009,000000,,0,0,675.846500410767,78733424.67807938
0,0,Tech Total,,,00,000,18020,Columbus MSA,2010,000000,,0,0,714.469688504388,85123007.4640315
0,0,Tech Total,,,00,000,18020,Columbus MSA,2011,000000,,0,0,946.513151778651,107778445.84076668
0,0,Tech Total,,,00,000,18020,Columbus MSA,2012,000000,,0,0,945.8563635257211,116981180.8553105
0,0,Tech Total,,,00,000,18020,Columbus MSA,2013,000000,,0,0,891.1053253196674,111086444.2508901
0,0,Tech Total,,,00,000,18020,Columbus MSA,2014,000000,,0,0,907.498732769211,120661413.6596739
0,0,Tech Total,,,00,000,18020,Columbus MSA,2015,000000,,0,0,863.5498794764229,119677122.61780372
0,0,Tech Total,,,00,000,18020,Columbus MSA,2016,000000,,0,0,841.107594414316,126798659.7360926
