display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,age_14_18,age_19_21,age_22_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
0,0,Life Sciences Total,,,0,000,00000,United States,2019,000000,,0,0,4846.668367750067,29139.67899925512,83236.33604127288,475857.4487583187,533801.8674996403,535582.5730315045,422311.46045269584,104975.85266011985
0,0,Life Sciences Total,,,0,000,00000,United States,2020,000000,,0,0,4804.096724274647,27756.43561702429,84289.21419614015,491029.8892743822,546467.1308975382,540700.4638858968,431719.9498750024,110600.35812252139
0,0,Life Sciences Total,,,0,000,00000,United States,2021,000000,,0,0,6045.768810885375,31943.61926944087,91904.42466700375,524457.8777444225,571838.8529891834,560386.7023290981,447029.2490854056,121723.29759705643
0,0,Life Sciences Total,,,0,000,00000,United States,2022,000000,,0,0,6130.090109710306,36866.91425730722,100995.31878420687,564042.2120415455,602187.2199812713,584352.8761365731,463608.9908480815,133691.1654047789
0,0,Life Sciences Total,,,0,000,00000,United States,2023,000000,,0,0,6109.561136807319,36584.04371229505,100625.8939186468,577068.0264738541,613808.03572748,586722.5005492824,467271.8802619337,142391.2950843449
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,19.585089944017657,283.92069048114075,541.9132432467629,1899.9130629983404,1586.219436825624,1518.067592982729,1337.1914427573417,288.2958137525772
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,12.24960466984,237.07924707436604,504.91494934663547,1994.866133009176,1644.9518747797013,1556.5608014944064,1398.1219330694582,298.0375630666356
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,37.16157865838,311.89008645628996,618.523145029604,2468.4776270127963,1897.7031768647648,1789.8741831818288,1552.7714739854616,344.49046265424926
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,26.930885732860002,451.0174267481363,756.2900488634072,2923.7855956780727,2201.4310105577983,2048.0269519390126,1705.8766383839077,403.7666544157078
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,9.43515489483,267.9769359118636,589.7680584398365,2653.981353827099,2038.0360871418504,1923.3598310214984,1694.2514194236821,415.4684656956372
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,91.90381561217549,697.2977180260242,2275.3157404249378,14473.698892286347,17927.186374921268,19383.558811678566,14900.915077178855,3593.9411574929
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,84.31060846446202,627.3193139648325,2313.4077119287244,14797.643602604065,18065.116533545613,19234.945466324716,15127.24738271318,3773.399253523138
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,128.55146825772437,720.8769359825642,2424.373557938564,15443.322185819468,18284.90327996531,19420.48614215301,15310.097405057722,3989.541710939144
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,121.51875178228453,782.2322818491265,2559.278308754522,15949.7138824808,18199.68885730234,19409.497947765827,15105.878772099804,4159.821555129485
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,122.37376589300473,797.0173831436967,2499.1999209691803,16113.302990820699,18057.643616779966,19009.62017813256,14897.41127252654,4397.581224770537
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,23.336137051734177,175.27996542143063,563.7255429743857,2781.9600223609186,2835.378898988221,2893.637447934149,2258.759028409686,528.7109217216596
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,18.516899588217058,154.28600744468517,595.1836961986321,2951.7657096691123,2930.5320692465184,2917.789863439855,2317.6371886738193,546.2255927693795
