initiative,jobs,wages,grp
Advanced & Traded Industries,1107499.3852317648,NA,225125672211.75287
Conexus,833425.6017287893,NA,167855388642.22348
Healthcare,365654.293729006,NA,37981735428.4746
Finance & Insurance,113240.32975142972,NA,29127160585.197178
AgriNovus,105079.47664706624,NA,22436933877.237053
TechPoint,73414.76494582249,NA,17886631331.16764
BioCrossroads,69999.67095285065,NA,36170049677.10174
