initiative,sector_name,job_change,growth_rate
Advanced & Traded Industries,Manufacturing,256955.1052101993,NA
Advanced & Traded Industries,Logistics,-219519.85969659506,NA
Advanced & Traded Industries,Advanced and Traded Services,-32879.08751312079,NA
AgriNovus,Animal Health and Nutrition,-62268.6503523991,NA
AgriNovus,Value-Added Food and Nutrition,44359.24827765401,NA
AgriNovus,"Agricultural Production, Distribution and Processing",15451.57907996737,NA
BioCrossroads,Pharma,19346.576165377395,NA
BioCrossroads,Ag/Bio,-11796.271315287748,NA
BioCrossroads,Research/Testing,-6502.098070152137,NA
Conexus,Manufacturing,221151.28717923904,NA
Conexus,Logistics,-219519.85969659552,NA
Finance & Insurance,525 - Funds and Trusts,-58772.4921617542,NA
Finance & Insurance,524 - Insurance,47680.6209466337,NA
Finance & Insurance,522 - Credit Intermediation,42098.859669357436,NA
Healthcare,621 - Ambulatory Care,120647.01724890605,NA
Healthcare,623 - Nursing and Residential Care,-67558.27466550999,NA
Healthcare,622 - Hospitals,-50854.17057383605,NA
TechPoint,IT/Tech Services,28850.888158261598,NA
TechPoint,"Telecommunications, Internet Services and Data Hosting",-25251.86043976201,NA
TechPoint,Software,-13803.117010819999,NA
