geo_area,total_jobs,avg_growth
Chicago-Naperville-Elgin MSA,3305392.547062683,NA
Cincinnati MSA,862472.9701108512,NA
Indianapolis-Carmel-Greenwood MSA,855758.461821009,NA
Louisville/Jefferson County MSA,593408.5886846845,NA
Fort Wayne MSA,191608.54668837573,NA
Elkhart-Goshen MSA,163059.83002575254,NA
Evansville MSA,102133.59884204407,NA
South Bend-Mishawaka MSA,90421.87576355382,NA
Lafayette-West Lafayette MSA,81350.17331289583,NA
Columbus MSA,53675.874070467085,NA
Bloomington MSA,52139.10290988297,NA
Terre Haute MSA,44051.84213488926,NA
Michigan City-La Porte MSA,33741.617732720624,NA
Kokomo MSA,28931.22092674048,NA
Muncie MSA,26628.98864412758,NA
