geo_area,total_jobs,n_initiatives
Chicago-Naperville-Elgin MSA,3305392.547062683,7
Cincinnati MSA,862472.9701108512,7
Indianapolis-Carmel-Greenwood MSA,855758.461821009,7
Louisville/Jefferson County MSA,593408.5886846845,7
Fort Wayne MSA,191608.54668837573,7
Elkhart-Goshen MSA,163059.83002575254,7
Evansville MSA,102133.59884204407,7
South Bend-Mishawaka MSA,90421.87576355382,7
Lafayette-West Lafayette MSA,81350.17331289583,7
Columbus MSA,53675.874070467085,7
