year,NAICS,occ
2022,311221,51-9197
2027,311813,41-9041
2028,325312,51-3093
2024,325412,19-2011
2024,333111,49-2098
2022,311942,51-7021
2024,333111,19-3034
2028,424490,43-5052
2022,424510,19-2043
2022,424820,29-9092
2022,311111,17-2061
2025,311119,43-4171
2026,321113,27-1012
2019,424480,25-2032
2028,493120,11-9021
2024,111000,13-1028
2023,115116,11-9141
2020,311520,17-3013
2026,312130,51-4199
2022,424440,43-4081
2027,311411,51-3021
2027,311612,11-2021
2021,311612,31-9093
2021,311920,39-6011
2022,311930,13-2099
2028,325411,51-9151
2021,424820,17-3012
2025,115112,27-3043
2027,311221,19-4012
2027,311911,45-4021
2025,115112,17-3022
2027,311111,31-9011
2024,311119,47-5044
2025,311221,13-2041
2025,311351,51-9199
2021,311920,17-2161
2025,424430,41-1012
2021,424490,51-8021
2019,424810,11-3071
2026,493130,15-1211
2027,114112,25-4011
2023,114119,17-2131
2024,311119,51-2011
2025,311511,47-5081
2020,325312,53-2021
2024,325413,27-2023
2022,113310,11-9031
2026,115113,29-1125
2021,311224,33-1021
2023,311351,31-1133
2022,311612,35-1012
2020,325311,25-4012
2024,325320,43-5011
2021,114119,35-3023
2020,115310,27-4021
2021,311710,29-1021
2022,311920,33-2022
2026,424520,37-3012
2028,115112,41-3031
2025,115115,51-3091
2020,311225,19-4043
2026,311412,51-8092
2025,311511,21-1018
2020,312112,49-9064
2024,325193,13-1151
2026,424510,51-4061
2022,424820,19-4031
2026,114112,11-9031
2023,115114,37-2019
2028,115114,29-1123
2023,311224,13-1111
2020,311423,43-3021
2019,311812,11-9131
2025,311830,27-1025
2026,312111,53-6041
2023,312230,11-3131
2019,115115,27-2042
2024,311314,43-2099
2019,311520,19-4043
2024,311999,29-1051
2027,312113,47-4041
2025,312230,33-9011
2019,424510,19-3034
2022,115111,29-1249
2021,311514,53-5021
2022,311911,21-1099
2019,311919,29-1241
2019,311942,41-9041
2027,312111,11-9039
2028,325193,53-2011
2021,424410,39-9031
2024,114112,39-4021
2020,115115,25-3099
2021,311212,29-1223
2028,311221,11-1031
2022,311511,29-1243
2024,311511,25-9045
2027,493120,53-7081
2028,311911,15-1231
2019,325312,47-4071
2020,325320,11-1031
2026,325412,43-5031
2026,325414,39-7018
2019,424430,11-9051
2028,311520,53-7051
2024,311710,11-3051
2026,311812,51-5111
2022,311821,51-4022
2020,325315,47-5071
2027,115112,29-1023
2023,115113,49-9081
2028,311313,51-9198
2022,311313,11-9151
2028,311710,47-2011
2020,113110,49-3041
2026,311221,31-9092
2025,311811,43-4011
2028,311919,27-4012
2025,333112,15-1221
2023,311225,53-2022
2019,312113,51-6099
2028,322110,27-3023
2026,114210,29-2099
2023,311314,51-7011
2026,311421,33-2011
2021,311512,47-5023
2026,312111,25-2031
2022,325414,13-2082
2024,424410,47-2132
2028,424460,43-3061
2019,114111,19-2032
2020,115114,49-2022
2023,311340,17-3024
2022,311830,11-3111
2019,424420,43-5052
2023,311512,39-3011
2020,311919,47-3016
2019,424420,29-1299
2023,113310,27-3042
2021,311512,51-6099
2022,311811,17-3031
2025,311941,35-2015
2022,325412,45-2021
2022,113310,35-2011
2028,311111,51-4041
2020,311941,13-1111
2025,312140,39-2021
2027,325315,31-9096
2022,114111,49-9069
2024,311423,31-9094
2027,311710,39-9041
2020,311991,39-5091
2021,312111,15-1253
2027,325193,47-2071
2024,333112,31-9096
2027,111000,27-2031
2023,115310,11-9179
