display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2015,621111,Offices of Physicians (except Mental Health Specialists),2,2,81.0
2,2,    622 - Hospitals,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2018,622210,Psychiatric and Substance Abuse Hospitals,2,2,424.0
2,1,    621 - Ambulatory Care,,,00,000,43780,South Bend-Mishawaka MSA,2015,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,4.0
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2024,621320,Offices of Optometrists,2,2,18.0
2,1,    621 - Ambulatory Care,,,00,000,16980,Chicago-Naperville-Elgin MSA,2017,621610,Home Health Care Services,2,2,4982.0
2,2,    622 - Hospitals,,,00,000,34620,Muncie MSA,2020,622210,Psychiatric and Substance Abuse Hospitals,2,2,21.0
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2023,621512,Diagnostic Imaging Centers,2,2,0.0
2,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2021,621210,Offices of Dentists,2,2,153.0
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2013,621610,Home Health Care Services,2,2,74.0
2,3,    623 - Nursing and Residential Care,,,0,000,00000,United States,2013,623312,Assisted Living Facilities for the Elderly,2,2,50986.0
2,2,    622 - Hospitals,,,00,000,43780,South Bend-Mishawaka MSA,2012,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,2,2,0.0
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2020,621410,Family Planning Centers,2,2,1.0
2,1,    621 - Ambulatory Care,,,00,000,17140,Cincinnati MSA,2011,621999,All Other Miscellaneous Ambulatory Health Care Services,2,2,129.0
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2010,621112,"Offices of Physicians, Mental Health Specialists",2,2,0.0
2,1,    621 - Ambulatory Care,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,936.0
2,1,    621 - Ambulatory Care,,,0,000,00000,United States,2022,621492,Kidney Dialysis Centers,2,2,92937.0
2,1,    621 - Ambulatory Care,,,00,000,29020,Kokomo MSA,2016,621320,Offices of Optometrists,2,2,9.0
2,1,    621 - Ambulatory Care,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,621991,Blood and Organ Banks,2,2,140.0
2,2,    622 - Hospitals,,,00,000,45460,Terre Haute MSA,2017,622110,General Medical and Surgical Hospitals,2,2,1098.0
2,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2020,621493,Freestanding Ambulatory Surgical and Emergency Centers,2,2,22.0
