cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Health,United States,0,000,00000,2025,227079.4707038055,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2026,4796.537771391736,STEM
AgriNovus,Michigan City-La Porte MSA,00,000,33140,2021,78.08258780962804,Non-STEM
Conexus,Louisville/Jefferson County MSA,00,000,31140,2019,164344.34786219438,Non-STEM
BioCrossroads,Evansville MSA,00,000,21780,2026,1345.9956993887854,Non-STEM
Conexus,Michigan City-La Porte MSA,00,000,33140,2025,769.7314627118942,STEM
Conexus,Cincinnati MSA,00,000,17140,2020,19080.547513592086,STEM
Finance,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2020,4441.4204456116595,STEM
AgriNovus,Evansville MSA,00,000,21780,2021,554.9379874608885,Non-STEM
Conexus,Muncie MSA,00,000,34620,2028,6039.43598631276,Non-STEM
TechPoint,Louisville/Jefferson County MSA,00,000,31140,2020,6856.32411419012,STEM
AgriNovus,Indiana,18,000,00000,2023,598.8964835929916,STEM
Conexus,Cincinnati MSA,00,000,17140,2019,20194.120758155655,STEM
Advanced and Traded Industries,South Bend-Mishawaka MSA,00,000,43780,2019,3539.633583851965,STEM
Health,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2027,1945.8434682584239,STEM
Conexus,Terre Haute MSA,00,000,45460,2022,728.6890779826463,STEM
TechPoint,Terre Haute MSA,00,000,45460,2026,180.23616597934483,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2023,21923.1849064862,STEM
Finance,Muncie MSA,00,000,34620,2028,1593.8310109348147,Non-STEM
Finance,Indiana,18,000,00000,2023,104166.58179785141,Non-STEM
Health,Lafayette-West Lafayette MSA,00,000,29200,2022,10020.863118289355,Non-STEM
AgriNovus,United States,0,000,00000,2024,483678.5841160671,Non-STEM
TechPoint,Elkhart-Goshen MSA,00,000,21140,2019,344.916620920191,STEM
AgriNovus,South Bend-Mishawaka MSA,00,000,43780,2028,5.927380518988401,STEM
Finance,Elkhart-Goshen MSA,00,000,21140,2025,127.20454610204851,STEM
Finance,Muncie MSA,00,000,34620,2027,1583.3727566352347,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2019,219241.28254076338,Non-STEM
AgriNovus,Cincinnati MSA,00,000,17140,2024,1375.9164611319593,Non-STEM
TechPoint,Elkhart-Goshen MSA,00,000,21140,2028,751.5351968979046,Non-STEM
Finance,Michigan City-La Porte MSA,00,000,33140,2022,796.4172515029185,Non-STEM
AgriNovus,Columbus MSA,00,000,18020,2024,1.07364172503,STEM
AgriNovus,Columbus MSA,00,000,18020,2025,45.990054918700224,Non-STEM
Conexus,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2027,241491.23779587355,Non-STEM
Finance,South Bend-Mishawaka MSA,00,000,43780,2026,3956.398973609516,Non-STEM
Finance,Evansville MSA,00,000,21780,2023,3761.693876213332,Non-STEM
Health,Columbus MSA,00,000,18020,2027,4.760015760182903,STEM
Health,United States,0,000,00000,2023,15851558.1315252,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2022,4511.466187250452,STEM
