year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2022,00,31140,Louisville/Jefferson County MSA,AgriNovus,983.206173656072,2097.0756438486865,3667.540721673285,18423.087711433887,18976.696965650815,17652.70623455535,14618.72692703476,4245.568128969645
2022,0,00000,United States,AgriNovus,402747.8186323838,758427.2103464466,992771.0458615449,4357750.559513394,4538745.597554341,4209748.767329879,3725265.8967193635,1642339.1586210486
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2155.675077966903,4020.2958168964833,5268.651236678699,23345.47204764717,24408.899132339055,21485.37999851583,15861.189358868436,6006.221492581698
2022,00,21780,Evansville MSA,AgriNovus,322.38824972658796,426.3352668088479,800.9153224978278,4244.998687185695,4738.174824004473,3644.9601252318403,3646.566049212683,1052.176124775892
2023,00,18020,Columbus MSA,AgriNovus,36.322209354319995,65.24848270478,187.642117782164,842.637672684448,968.4620484509921,590.830288434924,518.3140808991961,270.989792377004
2023,00,29200,Lafayette-West Lafayette MSA,AgriNovus,352.795376088348,943.6478585165919,1167.6422355214286,4794.20220432489,5065.400848225286,4476.969328902344,3833.890650586515,1303.0275419251798
2021,00,34620,Muncie MSA,AgriNovus,55.92936095923601,86.57362619185598,117.47513656831224,435.03627372365116,413.60698878849513,345.31642432365203,413.588166117713,221.39871396567435
2020,00,23060,Fort Wayne MSA,AgriNovus,408.89386403233596,882.2888764413998,1056.3761584443637,4043.1956761567553,4277.406364689942,3844.2393458932906,3721.0290650297225,1230.0368629044488
2020,00,45460,Terre Haute MSA,AgriNovus,103.51628850072503,208.7557063364296,295.9264923716224,1121.1188239028322,1299.848784347576,1173.4227022725283,1209.651160389236,328.22333885836326
2023,00,21140,Elkhart-Goshen MSA,AgriNovus,506.47979004097584,520.465469979936,572.6416084694023,2083.8838245360794,2152.766521605348,2216.2124810632035,1870.9753112296755,763.3647499458344
2022,00,17140,Cincinnati MSA,AgriNovus,2782.1084824349623,4397.960911888447,5696.335896586495,26800.629408074485,28429.003292521196,24520.312960312094,20842.6136734708,6422.069958860069
2023,00,21780,Evansville MSA,AgriNovus,313.5724816668656,429.244047832776,796.3078062459317,4220.559855598294,4791.57345675843,3661.9982481878774,3432.5599890616327,1104.785904138588
2022,00,23060,Fort Wayne MSA,AgriNovus,677.9130471091681,1100.795154341248,1188.0392920892803,4315.7515173783195,4557.874566286592,3789.6706631955235,3541.455885929265,1341.0116653212037
