year,NAICS,occ
2024,334416,49-2097
2027,334413,27-1024
2023,611420,53-6032
2026,334111,51-6061
2027,334610,11-3131
2027,334516,51-7042
2028,811210,19-3092
2022,334118,43-5021
2028,513210,19-2099
2026,513110,49-3022
2022,334519,19-2032
2027,811210,13-1121
2024,513120,27-2021
2025,518210,53-5011
2021,541513,19-4099
