display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,67251.81498552825,143572.3627361445
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,73222.70908457454,151079.297700072
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,76390.99906414324,153873.69425113423
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,76670.7659576037,153253.21648872126
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2020,000000,,0,0,3104.7106496956903,9313.712649400044
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2021,000000,,0,0,2835.453194750687,8529.770813209405
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2022,000000,,0,0,2716.3361103525913,8011.025621010006
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2023,000000,,0,0,2764.5553872441187,8173.753439565334
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2024,000000,,0,0,2688.2181786510096,8091.14177341171
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,5808.4696121600955,18034.258268737187
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2021,000000,,0,0,6356.771092745196,18481.284739851137
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,6780.336810651155,19211.030583854244
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,7331.474657443081,20062.80482514999
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2024,000000,,0,0,7212.399552228149,20171.4320330924
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,48955.2334957789,115480.30076291475
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,51098.832413933495,118796.95062603614
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,54810.03139569514,123466.50707174702
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,54893.41910858455,124290.4506927785
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2024,000000,,0,0,54375.92891933208,123760.08565320646
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,0,0,3322.8104625287365,7319.764871808868
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,3398.7905239473,7481.969124841468
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,3628.5644598538047,7744.609044954836
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,3782.2986348780637,8084.567847098796
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2024,000000,,0,0,3716.653809492266,8049.795137089822
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2020,000000,,0,0,1105.597721945381,4542.56619160664
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2021,000000,,0,0,1149.0997450451348,4551.780166757417
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2022,000000,,0,0,1215.475216547739,4682.306386135267
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2023,000000,,0,0,1290.48067572152,4840.6766175816665
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2024,000000,,0,0,1313.2820300420608,4880.473033648546
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,0,0,7100.7192302296,17853.973674625853
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2021,000000,,0,0,7133.89239866041,17970.58732340089
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2022,000000,,0,0,7342.842829650642,18021.928835933428
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,7210.15730843811,17975.87517368651
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2024,000000,,0,0,7111.757145294264,17836.14516600998
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2020,000000,,0,0,2602.0286867407326,9613.118614060051
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2021,000000,,0,0,2698.708649513225,9731.279961791373
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2022,000000,,0,0,2963.515081781993,10401.132762335446
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,3055.8170684747015,10575.75816955747
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2024,000000,,0,0,3050.9388546807945,10751.826271848124
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,2020,000000,,0,0,225920.77926996525,547006.2122624371
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,2021,000000,,0,0,238490.64741012256,567255.3104058334
