year,NAICS,occ
2019,325193,51-2021
2019,325193,51-2098
2019,325193,51-3093
2019,325193,51-3099
2019,325193,51-4035
2019,325193,51-4192
2019,325193,51-9023
2019,325193,51-9195
2019,325193,53-7073
2019,325220,11-1021
2019,325220,11-9041
2019,325220,13-1051
2019,325220,13-1075
2019,325220,13-2099
2019,325220,15-1243
2019,325220,17-1011
2019,325220,17-1022
2019,325220,17-2021
2019,325220,17-2041
2019,325220,17-2161
2019,325220,21-1019
2019,325220,25-2023
2019,325220,25-3099
2019,325220,25-4031
2019,325220,27-1011
2019,325220,27-1012
2019,325220,27-2099
2019,325220,27-4015
2019,325220,27-4099
2019,325220,29-1213
2019,325220,29-1216
2019,325220,29-2053
2019,325220,29-2056
2019,325220,31-9095
2019,325220,33-1091
2019,325220,35-2019
2019,325220,37-2012
2019,325220,37-2021
2019,325220,39-1022
2019,325220,39-9031
2019,325220,41-4012
2019,325220,43-4071
2019,325220,43-4171
2019,325220,43-5061
2019,325220,43-6011
2019,325220,45-2092
2019,325220,47-2031
2019,325220,47-2053
2019,325220,47-2221
2019,325220,47-5011
2019,325220,47-5041
2019,325220,49-3091
2019,325220,49-9051
2019,325220,49-9095
2019,325220,49-9098
2019,325220,51-3011
2019,325220,51-3099
2019,325220,51-4071
2019,325220,51-4192
2019,325220,51-6021
2019,325220,51-6092
2019,325220,51-7011
2019,325220,51-9161
2019,325220,51-9193
2019,325220,53-3011
2019,325311,11-2033
2019,325311,11-3071
2019,325311,11-9072
2019,325311,11-9141
2019,325311,11-9199
2019,325311,13-1011
2019,325311,17-1021
2019,325311,17-3012
2019,325311,19-2031
2019,325311,19-3051
2019,325311,19-3092
2019,325311,19-4061
2019,325311,21-1029
2019,325311,21-1093
2019,325311,25-2022
2019,325311,27-1022
2019,325311,27-1023
2019,325311,27-1029
2019,325311,27-3043
2019,325311,29-1051
2019,325311,29-1081
2019,325311,29-1291
2019,325311,29-2036
2019,325311,29-2092
2019,325311,35-1011
2019,325311,39-1014
2019,325311,39-5092
2019,325311,43-1011
2019,325311,43-2021
2019,325311,43-9021
2019,325311,45-4011
2019,325311,47-2081
2019,325311,47-2131
2019,325311,49-2092
2019,325311,49-2095
2019,325311,49-2098
2019,325311,49-9091
2019,325311,51-2041
2019,325311,51-2061
2019,325311,51-3091
2019,325311,51-4051
2019,325311,51-4111
2019,325311,51-7099
2019,325311,51-8013
2019,325311,51-8091
2019,325311,51-8092
2019,325311,51-9021
2019,325311,51-9123
2019,325311,51-9162
2019,311221,11-1021
2019,311221,11-3012
2019,311221,11-3013
2019,311221,11-3071
2019,311221,11-9021
2019,311221,11-9041
2019,311221,11-9081
2019,311221,15-1211
2019,311221,15-1255
2019,311221,17-1012
2019,311221,17-2121
2019,311221,17-2199
2019,311221,19-2032
2019,311221,19-3091
2019,311221,19-3094
2019,311221,19-4042
2019,311221,21-1029
2019,311221,25-2022
2019,311221,27-1022
2019,311221,27-4011
2019,311221,27-4014
2019,311221,27-4032
2019,311221,29-2034
2019,311221,29-2035
2019,311221,29-2091
2019,311221,33-2011
2019,311221,33-3031
2019,311221,33-3051
2019,311221,33-9093
2019,311221,37-3019
2019,311221,39-1013
2019,311221,39-3031
2019,311221,39-3091
2019,311221,43-4061
2019,311221,43-4151
2019,311221,43-5041
2019,311221,43-9051
2019,311221,43-9071
2019,311221,45-1011
2019,311221,45-2091
2019,311221,47-2022
2019,311221,47-2071
2019,311221,47-2171
2019,311221,47-2231
2019,311221,49-3091
2019,311221,49-9064
2019,311221,51-3092
2019,311221,51-4033
2019,311221,51-4034
2019,311221,51-4072
2019,311221,51-4121
2019,311221,51-6099
2019,311221,51-9023
2019,311221,51-9162
2019,311221,51-9192
2019,311221,51-9194
2019,311221,51-9197
2019,311221,53-2012
2019,311221,53-4099
2019,311221,53-7072
2019,325193,11-3111
2019,325193,11-9121
2019,325193,13-1075
2019,325193,13-2011
2019,325193,13-2051
2019,325193,13-2099
2019,325193,15-1211
2019,325193,17-2141
2019,325193,17-2161
2019,325193,17-2171
2019,325193,17-3019
2019,325193,19-1011
2019,325193,19-2021
2019,325193,21-2011
2019,325193,25-1099
2019,325193,25-4011
2019,325193,25-4012
2019,325193,25-9044
2019,325193,27-1027
2019,325193,27-2011
2019,325193,27-2099
2019,325193,27-4031
2019,325193,27-4032
2019,325193,29-1211
2019,325193,29-1214
2019,325193,29-9091
2019,325193,31-2021
2019,325193,31-9093
2019,325193,31-9095
2019,325193,35-2021
2019,325193,35-3011
2019,325193,39-3019
2019,325193,39-5011
2019,325193,43-3031
2019,325193,43-4151
2019,325193,47-3015
2019,325193,47-4051
2019,325193,47-5012
2019,325193,49-9098
2019,325193,51-4034
2019,325193,51-4061
2019,325193,51-4062
2019,325193,51-6061
2019,325193,51-6064
2019,325193,51-9051
2019,325193,51-9194
2019,325193,51-9199
2019,325193,53-5031
2019,325193,53-7061
2019,325193,53-7064
2019,325193,53-7072
2019,325193,55-9999
2019,325220,11-3012
2019,325220,11-3013
2019,325220,11-3051
2019,325220,11-3071
2019,325220,11-9021
2019,325220,11-9081
2019,325220,13-1011
2019,325220,13-2051
2019,325220,15-1211
2019,325220,15-1255
2019,325220,17-1012
2019,325220,17-2121
2019,325220,17-2199
2019,325220,19-2032
2019,325220,19-3091
2019,325220,19-3094
2019,325220,19-4042
2019,325220,21-1029
2019,325220,25-2022
2019,325220,27-1022
2019,325220,27-4011
2019,325220,27-4014
2019,325220,27-4032
2019,325220,29-1229
2019,325220,29-2034
2019,325220,29-2035
2019,325220,29-2091
2019,325220,33-3031
2019,325220,33-3051
2019,325220,33-9093
2019,325220,37-3019
2019,325220,39-1013
2019,325220,39-3031
2019,325220,39-3091
2019,325220,43-4061
2019,325220,43-4151
2019,325220,43-5041
2019,325220,43-9051
2019,325220,43-9071
2019,325220,45-1011
2019,325220,45-2091
2019,325220,47-2022
2019,325220,47-2071
2019,325220,47-2171
2019,325220,47-2231
2019,325220,49-9064
2019,325220,51-2031
2019,325220,51-3092
2019,325220,51-4033
2019,325220,51-4034
2019,325220,51-4072
2019,325220,51-4121
2019,325220,51-6099
2019,325220,51-9023
2019,325220,51-9162
2019,325220,51-9192
2019,325220,51-9194
2019,325220,51-9197
2019,325220,53-2012
2019,325220,53-4099
2019,325311,11-2021
2019,325311,11-3021
2019,325311,11-3031
2019,325311,11-9031
2019,325311,11-9032
2019,325311,13-1031
2019,325311,13-2054
2019,325311,17-1011
2019,325311,17-2031
2019,325311,17-2112
2019,325311,17-3011
2019,325311,19-2041
2019,325311,19-2042
2019,325311,19-3033
2019,325311,19-4071
2019,325311,21-1018
2019,325311,21-1021
2019,325311,21-1022
2019,325311,21-1092
2019,325311,23-2093
2019,325311,25-2031
2019,325311,25-2059
2019,325311,25-3011
2019,325311,27-1013
2019,325311,27-3031
2019,325311,29-1021
2019,325311,29-1141
2019,325311,29-1222
2019,325311,29-1242
2019,325311,29-2051
2019,325312,11-1031
2019,325312,11-3111
2019,325312,11-9013
2019,325312,11-9111
2019,325312,13-2081
2019,325312,15-1231
2019,325312,15-1252
2019,325312,15-1254
2019,325312,15-2041
2019,325312,17-1011
2019,325312,17-3019
2019,325312,17-3022
2019,325312,17-3023
2019,325312,17-3025
2019,325312,19-1032
2019,325312,19-4013
2019,325312,19-4051
2019,325312,21-2011
2019,325312,25-2031
2019,325312,25-2059
2019,325312,25-9021
2019,325312,25-9045
2019,325312,27-3031
2019,325312,29-1122
2019,325312,37-3019
2019,325312,39-9099
2019,325312,41-2022
2019,325312,43-3021
2019,325312,43-4061
2019,325312,43-5041
2019,325312,43-5111
2019,325312,43-9051
2019,325312,47-1011
2019,325312,47-2111
2019,325312,47-2141
2019,325312,47-2181
2019,325312,47-4031
2019,325312,47-5043
2019,325312,49-3042
2019,325312,49-3053
2019,325312,49-3091
2019,325312,49-9043
2019,325312,49-9044
2019,325312,49-9064
2019,325312,51-2028
2019,325312,51-4021
2019,325312,51-4041
2019,325312,51-9011
2019,325312,51-9082
2019,325312,51-9141
2019,325312,53-4013
2019,325312,53-6041
2019,325312,53-6051
2019,325312,53-7011
2019,325312,53-7061
2019,325312,53-7064
2019,325312,99-9999
2019,325314,11-3051
2019,325314,13-2051
2019,325314,15-1232
2019,325314,15-2011
2019,325314,17-2031
2019,325314,17-2141
2019,325314,19-1021
2019,325314,19-2099
2019,325314,19-3034
2019,325314,19-4012
2019,325314,19-4031
2019,325314,25-2052
2019,325314,25-9099
2019,325314,29-1126
2019,325314,29-1181
2019,325314,29-1229
2019,325314,29-1241
2019,325314,29-1243
2019,325314,29-2032
2019,325314,29-2035
2019,325314,29-9021
2019,325314,31-2011
2019,325314,31-2012
2019,325314,33-1012
2019,325314,33-1091
2019,325314,37-3013
2019,325314,39-2021
2019,325314,41-3021
2019,325314,43-3041
2019,325314,43-4081
2019,325314,45-4021
2019,325314,47-2041
2019,325314,49-9069
2019,325314,51-3021
2019,325314,51-4122
2019,325314,51-6051
2019,325314,51-7031
2019,325314,51-9022
2019,325314,53-3031
2019,325314,53-3052
2019,325314,53-3054
2019,325314,53-6011
2019,325314,53-6099
2019,325314,53-7065
2019,325314,53-7199
2019,325315,11-2021
2019,325315,11-3031
2019,325315,13-1041
2019,325315,13-2011
