sector_id,sector_name,statefips,countyfips,metrofips,description,year,own,disc,naics,repunits,empl,wages
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,0,621910,6085.0,182469.5,8394268678.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621210,132057.0,886065.25,48314883050.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621310,39046.0,134159.41,4998928588.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621330,23846.0,125191.41,5505256993.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621340,41969.0,385537.08,18222441879.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621399,25568.0,109795.66,5592505001.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621491,2787.0,205650.75,23802923709.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621492,7870.0,132924.16,8691292360.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621511,16886.0,207233.33,14376592095.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621512,6402.0,74092.0,5355551852.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621991,2098.0,76683.33,4125857933.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2020,0,1,621999,7922.0,64787.58,4479004170.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621111,211061.0,2725365.16,276585299922.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621112,12332.0,63818.83,4535381350.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621320,20870.0,144591.66,6981388643.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621391,6849.0,33471.58,1791515846.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621399,27825.0,127770.16,7222303098.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621410,2337.0,25699.0,1501450970.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621420,13910.0,287467.16,14261307092.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621493,8307.0,177198.41,12007085382.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621498,9959.0,235693.83,16861488011.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,0,621610,43779.0,1508664.41,55238697551.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621210,132589.0,987644.75,57539430169.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621310,39139.0,142394.75,5532722380.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621330,27827.0,149859.41,6782116080.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621340,44118.0,412077.08,20009630966.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621491,2819.0,201247.83,24154454702.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621492,8013.0,129920.83,8407436769.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621511,18362.0,226356.91,18539878269.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621512,6650.0,80464.33,6101667173.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621910,6181.0,179009.75,8894410046.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621991,2172.0,76963.41,4264682336.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2021,0,1,621999,9115.0,72538.91,5570377024.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621210,134279.0,1010127.75,60874742359.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621320,21287.0,149133.08,7429215811.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621391,6787.0,33356.0,1846226069.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621399,31270.0,142376.0,8286013260.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621410,2655.0,27302.0,1738127135.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621420,15286.0,301288.0,16067823431.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621491,2913.0,202061.25,25402644286.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621512,7166.0,82827.25,6488842011.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621610,47231.0,1536612.5,59468704760.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621910,6327.0,179360.33,9707443490.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,0,621999,10511.0,81922.41,6322057302.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621111,215715.0,2781651.5,290591698540.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621112,13377.0,71917.91,5321033308.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621310,39360.0,144700.83,5822536892.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621330,32833.0,175389.33,8398281384.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621340,46592.0,442593.16,21812572580.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621492,8094.0,130675.5,8961467820.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621493,8686.0,178022.91,12577981662.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621498,10745.0,238803.0,18100993662.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621511,21359.0,237500.33,18395223589.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2022,0,1,621991,2278.0,84313.08,4877635212.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2023,0,0,621210,135246.0,1026652.5,64618303016.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2023,0,0,621320,21306.0,150983.5,7837372490.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2023,0,0,621391,6735.0,33521.08,1946386887.0
1,621 - Ambulatory Care,0 ,000,00000,United States,2023,0,0,621399,35135.0,150932.41,9093674015.0
