year,statefips,metrofips,geo_area,cicp_initiative,females,males
2022,00,17140,Cincinnati MSA,BioCrossroads,21874.564713908552,22092.589871770448
2024,00,43780,South Bend-Mishawaka MSA,Conexus,28447.02858117706,71344.58066403994
2022,00,23060,Fort Wayne MSA,TechPoint,6078.44928038565,11982.516615453073
2023,00,43780,South Bend-Mishawaka MSA,TechPoint,3640.308260952391,4913.545014242567
2024,00,23060,Fort Wayne MSA,TechPoint,5993.856539268761,11024.248248126449
2024,00,29200,Lafayette-West Lafayette MSA,TechPoint,1243.3317010961937,2654.405897563539
2022,00,31140,Louisville/Jefferson County MSA,Finance,73605.49265117467,44787.4861529879
2020,00,21780,Evansville MSA,Finance,6983.124728319604,3498.894682542885
2022,00,29200,Lafayette-West Lafayette MSA,Finance,4060.2473774025007,2053.855846168392
2020,00,45460,Terre Haute MSA,Healthcare,22230.80816538383,4691.480437907688
2024,00,43780,South Bend-Mishawaka MSA,Healthcare,44428.54404704282,10634.91422599068
2023,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,14488.671389556637,26115.15313455096
2022,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,1662788.943076796,2561042.894716211
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,368580.4775969743,581519.0059337388
2022,00,31140,Louisville/Jefferson County MSA,BioCrossroads,10984.760970333446,10076.29746361327
2021,18,00000,Indiana,BioCrossroads,87103.98696954575,107413.20213529187
2023,00,43780,South Bend-Mishawaka MSA,AgriNovus,3370.013437240135,6933.003128488204
2021,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1018304.1419392042,2150020.8092547143
2022,18,00000,Indiana,Conexus,1014499.0627566087,2357277.668026625
2022,00,21140,Elkhart-Goshen MSA,Conexus,107099.43873935455,236164.8705864777
2024,0,00000,United States,TechPoint,6301422.80502141,11690982.934765501
2020,0,00000,United States,TechPoint,5664731.283115651,11104737.12656505
2022,00,29020,Kokomo MSA,Finance,1889.9244310189767,812.3994096689848
2024,18,00000,Indiana,Healthcare,891931.6695208679,205031.21166753292
2021,00,18020,Columbus MSA,Advanced and Traded Industries,22766.47186092766,49045.52343728901
