statefips,countyfips,place,year,age,attainment_rate
22,000,Louisiana,2018,25-34,34.345600
45,000,South Carolina,2021,25-34,43.156400
31,000,Nebraska,2017,25-34,48.852600
48,000,Texas,2022,25-34,43.319700
54,000,West Virginia,2010,25-34,29.863000
45,000,South Carolina,2013,25-34,36.878700
38,000,North Dakota,2014,25-34,47.935500
34,000,New Jersey,2010,25-34,47.941600
31,000,Nebraska,2014,25-34,48.307700
25,000,Massachusetts,2024,25-34,62.230900
08,000,Colorado,2017,25-34,50.195300
44,000,Rhode Island,2010,25-34,43.630000
17,000,Illinois,2011,25-34,45.713300
37,000,North Carolina,2015,25-34,41.383800
12,000,Florida,2019,25-34,42.674600
12,000,Florida,2014,25-34,39.589700
55,000,Wisconsin,2014,25-34,44.919700
05,000,Arkansas,2018,25-34,34.776500
02,000,Alaska,2017,25-34,34.280400
31,000,Nebraska,2010,25-34,44.427600
48,000,Texas,2014,25-34,36.011000
72,000,Puerto Rico,2021,25-34,52.236400
34,000,New Jersey,2021,25-34,58.090300
02,000,Alaska,2019,25-34,34.646200
04,000,Arizona,2011,25-34,34.535600
54,000,West Virginia,2021,25-34,37.901100
54,000,West Virginia,2019,25-34,32.869300
31,000,Nebraska,2013,25-34,47.093300
55,000,Wisconsin,2018,25-34,47.001400
12,000,Florida,2010,25-34,35.810200
41,000,Oregon,2014,25-34,40.384600
17,000,Illinois,2013,25-34,46.951300
04,000,Arizona,2013,25-34,35.410300
0,000,United States,2013,25-34,41.610100
56,000,Wyoming,2012,25-34,34.196200
01,000,Alabama,2013,25-34,33.570100
33,000,New Hampshire,2012,25-34,47.784900
40,000,Oklahoma,2016,25-34,35.358500
09,000,Connecticut,2014,25-34,47.891400
06,000,California,2022,25-34,48.937200
21,000,Kentucky,2013,25-34,36.211000
04,000,Arizona,2016,25-34,36.433900
53,000,Washington,2013,25-34,42.767100
22,000,Louisiana,2013,25-34,31.666400
19,000,Iowa,2023,25-34,50.295700
26,000,Michigan,2016,25-34,41.312900
33,000,New Hampshire,2023,25-34,53.904200
36,000,New York,2014,25-34,52.328900
10,000,Delaware,2018,25-34,39.950000
42,000,Pennsylvania,2017,25-34,48.452200
13,000,Georgia,2011,25-34,36.249300
47,000,Tennessee,2022,25-34,43.380600
26,000,Michigan,2023,25-34,46.050000
16,000,Idaho,2019,25-34,37.737600
08,000,Colorado,2018,25-34,51.403600
28,000,Mississippi,2012,25-34,32.972600
36,000,New York,2013,25-34,51.799500
13,000,Georgia,2016,25-34,39.290400
20,000,Kansas,2023,25-34,47.515000
18,000,Indiana,2010,25-34,35.707200
21,000,Kentucky,2014,25-34,36.652800
32,000,Nevada,2018,25-34,31.460700
28,000,Mississippi,2011,25-34,31.463500
49,000,Utah,2018,25-34,46.168500
09,000,Connecticut,2019,25-34,51.167600
06,000,California,2013,25-34,39.982900
04,000,Arizona,2015,25-34,35.460100
12,000,Florida,2024,25-34,47.937900
22,000,Louisiana,2014,25-34,33.249100
32,000,Nevada,2015,25-34,29.670800
08,000,Colorado,2012,25-34,45.798900
02,000,Alaska,2023,25-34,34.966400
40,000,Oklahoma,2014,25-34,33.939800
37,000,North Carolina,2011,25-34,38.563900
0,000,United States,2014,25-34,42.293900
28,000,Mississippi,2018,25-34,36.517700
16,000,Idaho,2014,25-34,33.775000
06,000,California,2024,25-34,50.192300
54,000,West Virginia,2013,25-34,33.410800
26,000,Michigan,2013,25-34,40.507800
08,000,Colorado,2021,25-34,55.236900
36,000,New York,2010,25-34,49.924400
32,000,Nevada,2023,25-34,37.410600
41,000,Oregon,2010,25-34,37.664800
17,000,Illinois,2014,25-34,48.565000
72,000,Puerto Rico,2018,25-34,47.046800
19,000,Iowa,2012,25-34,48.366000
45,000,South Carolina,2022,25-34,43.927300
05,000,Arkansas,2014,25-34,31.841900
28,000,Mississippi,2014,25-34,34.595000
19,000,Iowa,2010,25-34,45.729700
56,000,Wyoming,2022,25-34,43.710100
13,000,Georgia,2013,25-34,37.164900
24,000,Maryland,2013,25-34,46.360900
47,000,Tennessee,2019,25-34,41.615100
32,000,Nevada,2011,25-34,28.320800
72,000,Puerto Rico,2016,25-34,43.098800
0,000,United States,2015,25-34,42.883600
44,000,Rhode Island,2013,25-34,45.678200
23,000,Maine,2023,25-34,51.732600
29,000,Missouri,2017,25-34,43.240200
12,000,Florida,2015,25-34,40.659100
42,000,Pennsylvania,2013,25-34,45.972700
29,000,Missouri,2019,25-34,44.855700
15,000,Hawaii,2011,25-34,39.658900
12,000,Florida,2012,25-34,37.940300
08,000,Colorado,2016,25-34,49.179800
40,000,Oklahoma,2013,25-34,33.535700
17,000,Illinois,2018,25-34,50.776200
39,000,Ohio,2012,25-34,40.123400
0,000,United States,2010,25-34,39.320800
08,000,Colorado,2024,25-34,57.725400
51,000,Virginia,2011,25-34,46.586700
38,000,North Dakota,2016,25-34,51.257100
38,000,North Dakota,2017,25-34,52.274400
26,000,Michigan,2011,25-34,37.841200
51,000,Virginia,2016,25-34,49.665200
38,000,North Dakota,2015,25-34,50.224300
44,000,Rhode Island,2015,25-34,43.802900
32,000,Nevada,2014,25-34,30.778500
10,000,Delaware,2012,25-34,41.038000
33,000,New Hampshire,2024,25-34,52.169600
39,000,Ohio,2021,25-34,44.376900
30,000,Montana,2024,25-34,45.129500
26,000,Michigan,2010,25-34,36.967900
39,000,Ohio,2019,25-34,42.852000
05,000,Arkansas,2021,25-34,36.170600
45,000,South Carolina,2024,25-34,44.447000
35,000,New Mexico,2010,25-34,27.648300
50,000,Vermont,2015,25-34,45.752300
13,000,Georgia,2014,25-34,37.576700
0,000,United States,2023,25-34,48.955700
06,000,California,2011,25-34,38.006400
01,000,Alabama,2019,25-34,36.866100
08,000,Colorado,2014,25-34,46.416200
10,000,Delaware,2014,25-34,42.177100
08,000,Colorado,2019,25-34,52.128700
53,000,Washington,2010,25-34,40.744200
09,000,Connecticut,2022,25-34,53.757900
04,000,Arizona,2014,25-34,35.008300
54,000,West Virginia,2012,25-34,32.322200
28,000,Mississippi,2021,25-34,39.207200
28,000,Mississippi,2017,25-34,34.220300
44,000,Rhode Island,2018,25-34,46.858500
06,000,California,2014,25-34,40.991800
09,000,Connecticut,2018,25-34,50.687700
72,000,Puerto Rico,2022,25-34,51.515800
29,000,Missouri,2024,25-34,45.637700
51,000,Virginia,2019,25-34,51.074200
11,000,District of Columbia,2012,25-34,70.393400
47,000,Tennessee,2018,25-34,38.927200
15,000,Hawaii,2015,25-34,42.179600
42,000,Pennsylvania,2022,25-34,50.812200
31,000,Nebraska,2015,25-34,47.209600
34,000,New Jersey,2016,25-34,51.612000
35,000,New Mexico,2013,25-34,32.704100
17,000,Illinois,2022,25-34,53.788300
72,000,Puerto Rico,2024,25-34,52.649700
17,000,Illinois,2010,25-34,44.414900
40,000,Oklahoma,2022,25-34,36.818600
24,000,Maryland,2015,25-34,47.034400
29,000,Missouri,2014,25-34,41.983600
41,000,Oregon,2023,25-34,47.524000
46,000,South Dakota,2024,25-34,53.417100
06,000,California,2017,25-34,44.166300
34,000,New Jersey,2012,25-34,48.607500
40,000,Oklahoma,2017,25-34,35.086800
0,000,United States,2011,25-34,40.090700
39,000,Ohio,2017,25-34,42.541100
28,000,Mississippi,2022,25-34,39.416400
02,000,Alaska,2016,25-34,35.456100
72,000,Puerto Rico,2014,25-34,43.181200
45,000,South Carolina,2014,25-34,36.688000
35,000,New Mexico,2017,25-34,33.781600
39,000,Ohio,2013,25-34,41.339900
45,000,South Carolina,2019,25-34,41.946000
56,000,Wyoming,2019,25-34,39.097700
53,000,Washington,2018,25-34,49.697200
25,000,Massachusetts,2010,25-34,53.938400
25,000,Massachusetts,2018,25-34,59.486800
47,000,Tennessee,2011,25-34,33.294100
22,000,Louisiana,2019,25-34,35.396900
17,000,Illinois,2016,25-34,50.140500
26,000,Michigan,2017,25-34,43.130600
25,000,Massachusetts,2015,25-34,57.142000
19,000,Iowa,2015,25-34,47.803400
27,000,Minnesota,2011,25-34,50.827900
24,000,Maryland,2014,25-34,48.407800
56,000,Wyoming,2014,25-34,39.122700
33,000,New Hampshire,2021,25-34,52.840200
21,000,Kentucky,2010,25-34,33.318400
49,000,Utah,2015,25-34,42.161900
04,000,Arizona,2021,25-34,41.305800
34,000,New Jersey,2023,25-34,58.780900
09,000,Connecticut,2016,25-34,50.708800
23,000,Maine,2012,25-34,37.646100
45,000,South Carolina,2018,25-34,42.039700
46,000,South Dakota,2011,25-34,45.459300
53,000,Washington,2022,25-34,52.256000
42,000,Pennsylvania,2024,25-34,52.144100
05,000,Arkansas,2019,25-34,33.803700
37,000,North Carolina,2012,25-34,38.963600
50,000,Vermont,2023,25-34,52.711500
40,000,Oklahoma,2012,25-34,34.093800
50,000,Vermont,2024,25-34,55.372700
18,000,Indiana,2011,25-34,36.875800
09,000,Connecticut,2024,25-34,53.791200
30,000,Montana,2018,25-34,44.013100
06,000,California,2012,25-34,39.710200
38,000,North Dakota,2023,25-34,52.855000
45,000,South Carolina,2016,25-34,38.537300
31,000,Nebraska,2011,25-34,43.883700
53,000,Washington,2014,25-34,44.104700
35,000,New Mexico,2012,25-34,31.277700
54,000,West Virginia,2011,25-34,30.857900
08,000,Colorado,2023,25-34,56.745800
19,000,Iowa,2017,25-34,49.099300
55,000,Wisconsin,2012,25-34,43.300500
55,000,Wisconsin,2015,25-34,45.919500
36,000,New York,2021,25-34,58.491200
22,000,Louisiana,2024,25-34,37.509500
05,000,Arkansas,2016,25-34,32.520400
08,000,Colorado,2011,25-34,45.530300
06,000,California,2021,25-34,47.593200
34,000,New Jersey,2017,25-34,53.850700
17,000,Illinois,2017,25-34,49.507600
23,000,Maine,2013,25-34,41.736700
46,000,South Dakota,2012,25-34,42.082600
56,000,Wyoming,2018,25-34,37.274400
49,000,Utah,2019,25-34,44.907400
11,000,District of Columbia,2013,25-34,73.640000
13,000,Georgia,2021,25-34,45.412800
20,000,Kansas,2011,25-34,42.704600
16,000,Idaho,2018,25-34,37.889300
47,000,Tennessee,2017,25-34,40.043000
72,000,Puerto Rico,2010,25-34,38.712100
72,000,Puerto Rico,2019,25-34,47.587400
29,000,Missouri,2011,25-34,39.961500
22,000,Louisiana,2021,25-34,36.481600
30,000,Montana,2015,25-34,41.660300
54,000,West Virginia,2018,25-34,34.670900
16,000,Idaho,2016,25-34,37.115400
29,000,Missouri,2012,25-34,40.691600
06,000,California,2019,25-34,45.899900
35,000,New Mexico,2016,25-34,34.266100
49,000,Utah,2021,25-34,48.179400
41,000,Oregon,2024,25-34,46.561400
55,000,Wisconsin,2024,25-34,51.768000
22,000,Louisiana,2011,25-34,30.781200
13,000,Georgia,2023,25-34,45.617800
48,000,Texas,2021,25-34,43.170900
10,000,Delaware,2019,25-34,41.216500
27,000,Minnesota,2023,25-34,57.985000
50,000,Vermont,2014,25-34,45.850200
01,000,Alabama,2016,25-34,35.410600
27,000,Minnesota,2019,25-34,55.346000
30,000,Montana,2013,25-34,40.126600
41,000,Oregon,2016,25-34,43.792000
40,000,Oklahoma,2023,25-34,37.932000
23,000,Maine,2021,25-34,49.783200
31,000,Nebraska,2021,25-34,52.087100
02,000,Alaska,2024,25-34,37.326400
31,000,Nebraska,2019,25-34,51.575400
27,000,Minnesota,2022,25-34,56.931900
42,000,Pennsylvania,2012,25-34,45.370000
46,000,South Dakota,2016,25-34,47.387300
48,000,Texas,2015,25-34,36.567500
42,000,Pennsylvania,2018,25-34,48.844500
27,000,Minnesota,2024,25-34,56.558400
55,000,Wisconsin,2010,25-34,41.308300
05,000,Arkansas,2017,25-34,35.466800
36,000,New York,2017,25-34,53.846100
53,000,Washington,2024,25-34,53.313000
09,000,Connecticut,2013,25-34,48.415000
01,000,Alabama,2023,25-34,41.458400
19,000,Iowa,2021,25-34,49.207400
32,000,Nevada,2017,25-34,33.518700
09,000,Connecticut,2015,25-34,50.455700
37,000,North Carolina,2021,25-34,48.559200
44,000,Rhode Island,2012,25-34,43.156300
56,000,Wyoming,2011,25-34,36.160700
51,000,Virginia,2013,25-34,46.854200
31,000,Nebraska,2022,25-34,49.986200
0,000,United States,2012,25-34,40.904000
36,000,New York,2019,25-34,55.881900
17,000,Illinois,2015,25-34,48.494000
46,000,South Dakota,2023,25-34,49.437700
37,000,North Carolina,2022,25-34,48.874500
21,000,Kentucky,2024,25-34,40.029300
37,000,North Carolina,2017,25-34,44.516000
47,000,Tennessee,2023,25-34,44.551600
26,000,Michigan,2014,25-34,41.759300
06,000,California,2010,25-34,38.038700
10,000,Delaware,2010,25-34,37.923900
01,000,Alabama,2021,25-34,37.821700
51,000,Virginia,2018,25-34,50.381300
15,000,Hawaii,2021,25-34,44.849200
27,000,Minnesota,2010,25-34,49.880000
55,000,Wisconsin,2017,25-34,48.918100
28,000,Mississippi,2023,25-34,42.960000
28,000,Mississippi,2016,25-34,34.244200
23,000,Maine,2024,25-34,47.556100
04,000,Arizona,2024,25-34,44.079500
04,000,Arizona,2010,25-34,32.737100
13,000,Georgia,2019,25-34,42.972200
29,000,Missouri,2018,25-34,43.825900
24,000,Maryland,2016,25-34,48.123500
33,000,New Hampshire,2016,25-34,50.714200
21,000,Kentucky,2022,25-34,41.629000
25,000,Massachusetts,2012,25-34,54.795200
33,000,New Hampshire,2013,25-34,44.027200
16,000,Idaho,2010,25-34,31.178300
29,000,Missouri,2022,25-34,45.562000
39,000,Ohio,2014,25-34,42.062000
50,000,Vermont,2018,25-34,52.528700
50,000,Vermont,2022,25-34,55.127300
10,000,Delaware,2024,25-34,43.280200
36,000,New York,2018,25-34,54.876100
0,000,United States,2024,25-34,49.301700
33,000,New Hampshire,2018,25-34,47.704100
23,000,Maine,2015,25-34,42.992400
10,000,Delaware,2023,25-34,46.834600
35,000,New Mexico,2021,25-34,38.574400
02,000,Alaska,2014,25-34,31.891200
12,000,Florida,2013,25-34,38.708800
45,000,South Carolina,2023,25-34,43.431000
35,000,New Mexico,2011,25-34,30.359600
47,000,Tennessee,2013,25-34,37.026700
23,000,Maine,2011,25-34,39.541200
0,000,United States,2019,25-34,45.790500
01,000,Alabama,2017,25-34,36.391900
72,000,Puerto Rico,2015,25-34,41.920400
56,000,Wyoming,2010,25-34,37.655400
18,000,Indiana,2024,25-34,43.142300
46,000,South Dakota,2014,25-34,43.850000
05,000,Arkansas,2015,25-34,32.233700
19,000,Iowa,2016,25-34,47.699200
11,000,District of Columbia,2022,25-34,81.041300
50,000,Vermont,2010,25-34,42.244100
19,000,Iowa,2014,25-34,48.757000
54,000,West Virginia,2024,25-34,36.479200
0,000,United States,2017,25-34,44.659800
44,000,Rhode Island,2024,25-34,52.971400
33,000,New Hampshire,2011,25-34,45.347200
72,000,Puerto Rico,2017,25-34,44.915800
30,000,Montana,2010,25-34,39.309400
11,000,District of Columbia,2017,25-34,74.497000
49,000,Utah,2012,25-34,41.491800
48,000,Texas,2016,25-34,37.870300
25,000,Massachusetts,2023,25-34,62.665900
01,000,Alabama,2014,25-34,33.529400
17,000,Illinois,2021,25-34,52.663400
46,000,South Dakota,2015,25-34,45.071100
15,000,Hawaii,2024,25-34,48.040400
53,000,Washington,2023,25-34,52.978200
42,000,Pennsylvania,2015,25-34,47.180100
32,000,Nevada,2019,25-34,32.821500
04,000,Arizona,2018,25-34,38.385400
13,000,Georgia,2012,25-34,35.985800
34,000,New Jersey,2022,25-34,58.579900
10,000,Delaware,2015,25-34,39.906500
50,000,Vermont,2019,25-34,49.774900
24,000,Maryland,2012,25-34,46.557200
30,000,Montana,2019,25-34,47.436500
38,000,North Dakota,2018,25-34,51.881100
01,000,Alabama,2022,25-34,39.242800
21,000,Kentucky,2015,25-34,36.842900
47,000,Tennessee,2012,25-34,35.349700
56,000,Wyoming,2013,25-34,41.206800
40,000,Oklahoma,2011,25-34,33.171100
30,000,Montana,2014,25-34,38.745600
50,000,Vermont,2021,25-34,58.039500
02,000,Alaska,2010,25-34,33.215300
50,000,Vermont,2012,25-34,44.162100
39,000,Ohio,2022,25-34,45.070400
49,000,Utah,2017,25-34,44.339600
22,000,Louisiana,2017,25-34,32.672500
25,000,Massachusetts,2016,25-34,57.796400
36,000,New York,2022,25-34,58.787900
38,000,North Dakota,2019,25-34,48.247900
10,000,Delaware,2013,25-34,41.288900
19,000,Iowa,2019,25-34,48.981300
51,000,Virginia,2023,25-34,51.463200
34,000,New Jersey,2013,25-34,49.726800
30,000,Montana,2016,25-34,42.700800
49,000,Utah,2013,25-34,41.639700
41,000,Oregon,2015,25-34,42.600500
31,000,Nebraska,2018,25-34,50.389200
11,000,District of Columbia,2024,25-34,76.060000
24,000,Maryland,2019,25-34,50.645900
29,000,Missouri,2010,25-34,39.516200
19,000,Iowa,2013,25-34,46.885900
42,000,Pennsylvania,2021,25-34,50.943000
23,000,Maine,2017,25-34,45.720200
0,000,United States,2021,25-34,47.875100
01,000,Alabama,2015,25-34,34.192000
05,000,Arkansas,2022,25-34,36.575600
15,000,Hawaii,2013,25-34,43.626500
16,000,Idaho,2015,25-34,36.043000
56,000,Wyoming,2024,25-34,47.211100
29,000,Missouri,2016,25-34,43.539300
38,000,North Dakota,2011,25-34,50.427500
01,000,Alabama,2024,25-34,41.787400
20,000,Kansas,2024,25-34,47.745200
24,000,Maryland,2011,25-34,45.894000
24,000,Maryland,2024,25-34,54.000200
19,000,Iowa,2022,25-34,49.787300
17,000,Illinois,2012,25-34,46.405200
54,000,West Virginia,2014,25-34,32.647500
56,000,Wyoming,2015,25-34,39.579000
55,000,Wisconsin,2023,25-34,50.134500
18,000,Indiana,2013,25-34,36.699000
38,000,North Dakota,2010,25-34,50.114700
31,000,Nebraska,2012,25-34,46.314500
34,000,New Jersey,2019,25-34,54.767500
42,000,Pennsylvania,2016,25-34,48.188200
55,000,Wisconsin,2021,25-34,49.090700
09,000,Connecticut,2021,25-34,53.093700
02,000,Alaska,2012,25-34,32.159200
34,000,New Jersey,2014,25-34,49.428200
10,000,Delaware,2017,25-34,39.729900
11,000,District of Columbia,2023,25-34,79.308200
36,000,New York,2011,25-34,49.958700
51,000,Virginia,2022,25-34,52.778700
48,000,Texas,2024,25-34,45.122300
34,000,New Jersey,2011,25-34,47.002100
53,000,Washington,2016,25-34,46.892000
55,000,Wisconsin,2019,25-34,48.969100
01,000,Alabama,2011,25-34,33.396200
12,000,Florida,2011,25-34,37.215200
49,000,Utah,2016,25-34,44.237400
11,000,District of Columbia,2010,25-34,68.332500
02,000,Alaska,2013,25-34,34.601000
10,000,Delaware,2011,25-34,37.404600
20,000,Kansas,2019,25-34,48.715900
08,000,Colorado,2010,25-34,43.946600
21,000,Kentucky,2011,25-34,33.935100
01,000,Alabama,2010,25-34,31.951100
48,000,Texas,2023,25-34,45.343100
20,000,Kansas,2015,25-34,46.263300
26,000,Michigan,2024,25-34,45.949800
19,000,Iowa,2018,25-34,47.991200
19,000,Iowa,2011,25-34,48.038400
37,000,North Carolina,2019,25-34,44.738500
13,000,Georgia,2010,25-34,34.818600
72,000,Puerto Rico,2023,25-34,53.775400
41,000,Oregon,2017,25-34,45.145300
04,000,Arizona,2017,25-34,37.986500
06,000,California,2016,25-34,43.206200
39,000,Ohio,2010,25-34,38.469200
24,000,Maryland,2010,25-34,44.836200
13,000,Georgia,2022,25-34,46.446500
47,000,Tennessee,2016,25-34,38.937500
18,000,Indiana,2019,25-34,39.501900
56,000,Wyoming,2021,25-34,42.736500
55,000,Wisconsin,2022,25-34,49.249600
16,000,Idaho,2023,25-34,39.493800
47,000,Tennessee,2010,25-34,33.484700
21,000,Kentucky,2023,25-34,42.082500
12,000,Florida,2023,25-34,46.731000
27,000,Minnesota,2015,25-34,54.311200
54,000,West Virginia,2017,25-34,33.127900
18,000,Indiana,2016,25-34,39.766800
02,000,Alaska,2021,25-34,38.268300
27,000,Minnesota,2017,25-34,54.851700
44,000,Rhode Island,2011,25-34,42.852600
23,000,Maine,2010,25-34,38.441500
25,000,Massachusetts,2014,25-34,56.532900
38,000,North Dakota,2022,25-34,51.603400
01,000,Alabama,2012,25-34,34.425600
50,000,Vermont,2013,25-34,47.039500
48,000,Texas,2010,25-34,32.814200
20,000,Kansas,2021,25-34,47.042800
46,000,South Dakota,2010,25-34,42.453700
32,000,Nevada,2016,25-34,30.424300
09,000,Connecticut,2023,25-34,54.795800
17,000,Illinois,2023,25-34,54.566900
24,000,Maryland,2021,25-34,51.775500
25,000,Massachusetts,2017,25-34,58.091200
23,000,Maine,2014,25-34,42.374300
11,000,District of Columbia,2016,25-34,72.265900
25,000,Massachusetts,2013,25-34,55.675900
37,000,North Carolina,2016,25-34,42.851600
09,000,Connecticut,2012,25-34,46.827500
10,000,Delaware,2016,25-34,41.625800
02,000,Alaska,2011,25-34,31.860400
41,000,Oregon,2021,25-34,46.263800
17,000,Illinois,2024,25-34,54.950800
48,000,Texas,2018,25-34,39.104700
38,000,North Dakota,2012,25-34,49.418700
05,000,Arkansas,2012,25-34,29.817600
12,000,Florida,2018,25-34,42.483800
18,000,Indiana,2021,25-34,41.564300
09,000,Connecticut,2010,25-34,45.432800
11,000,District of Columbia,2021,25-34,77.345600
16,000,Idaho,2011,25-34,34.965300
40,000,Oklahoma,2015,25-34,33.548300
04,000,Arizona,2023,25-34,42.327100
15,000,Hawaii,2018,25-34,43.564200
47,000,Tennessee,2024,25-34,44.806300
49,000,Utah,2014,25-34,41.603600
53,000,Washington,2015,25-34,45.088600
37,000,North Carolina,2024,25-34,49.980300
22,000,Louisiana,2015,25-34,34.386900
30,000,Montana,2012,25-34,41.650600
46,000,South Dakota,2022,25-34,51.803800
11,000,District of Columbia,2014,25-34,71.637800
30,000,Montana,2017,25-34,43.508900
49,000,Utah,2023,25-34,49.304500
18,000,Indiana,2015,25-34,38.526000
15,000,Hawaii,2023,25-34,48.756100
56,000,Wyoming,2016,25-34,41.449100
39,000,Ohio,2016,25-34,42.489800
49,000,Utah,2022,25-34,48.161100
34,000,New Jersey,2015,25-34,50.520000
46,000,South Dakota,2021,25-34,48.447900
29,000,Missouri,2015,25-34,42.004000
33,000,New Hampshire,2014,25-34,45.931700
44,000,Rhode Island,2021,25-34,51.119200
41,000,Oregon,2022,25-34,46.069900
32,000,Nevada,2012,25-34,29.834200
30,000,Montana,2023,25-34,44.053600
20,000,Kansas,2016,25-34,45.420000
18,000,Indiana,2022,25-34,42.170900
04,000,Arizona,2022,25-34,41.925500
31,000,Nebraska,2024,25-34,49.075900
0,000,United States,2016,25-34,43.855600
12,000,Florida,2021,25-34,44.905600
06,000,California,2015,25-34,41.657100
08,000,Colorado,2022,25-34,57.756400
01,000,Alabama,2018,25-34,37.259200
13,000,Georgia,2015,25-34,38.725300
28,000,Mississippi,2010,25-34,31.320200
22,000,Louisiana,2010,25-34,31.323900
16,000,Idaho,2017,25-34,35.097500
49,000,Utah,2010,25-34,38.762500
51,000,Virginia,2017,25-34,50.432200
18,000,Indiana,2017,25-34,41.883600
56,000,Wyoming,2023,25-34,38.619800
53,000,Washington,2019,25-34,49.329300
47,000,Tennessee,2015,25-34,37.358100
37,000,North Carolina,2018,25-34,44.395200
36,000,New York,2023,25-34,59.534000
0,000,United States,2018,25-34,45.170500
38,000,North Dakota,2024,25-34,51.741700
54,000,West Virginia,2022,25-34,39.072000
49,000,Utah,2011,25-34,40.173500
11,000,District of Columbia,2011,25-34,71.712700
20,000,Kansas,2022,25-34,48.923000
37,000,North Carolina,2010,25-34,37.232400
37,000,North Carolina,2023,25-34,49.375200
42,000,Pennsylvania,2019,25-34,49.058200
28,000,Mississippi,2019,25-34,36.051100
22,000,Louisiana,2012,25-34,32.057100
50,000,Vermont,2016,25-34,46.667500
10,000,Delaware,2021,25-34,46.157500
47,000,Tennessee,2014,25-34,36.858100
51,000,Virginia,2014,25-34,47.716600
39,000,Ohio,2011,25-34,38.640300
27,000,Minnesota,2018,25-34,56.597800
08,000,Colorado,2013,25-34,45.920400
45,000,South Carolina,2017,25-34,38.533000
22,000,Louisiana,2022,25-34,39.472200
48,000,Texas,2013,25-34,35.257400
35,000,New Mexico,2015,25-34,32.017500
24,000,Maryland,2023,25-34,53.482600
40,000,Oklahoma,2019,25-34,34.300000
11,000,District of Columbia,2015,25-34,73.135400
21,000,Kentucky,2019,25-34,38.915000
41,000,Oregon,2013,25-34,39.397500
54,000,West Virginia,2015,25-34,34.470300
04,000,Arizona,2012,25-34,34.624400
46,000,South Dakota,2013,25-34,45.462700
12,000,Florida,2016,25-34,40.903500
51,000,Virginia,2021,25-34,52.745800
11,000,District of Columbia,2019,25-34,76.470200
20,000,Kansas,2013,25-34,43.151200
15,000,Hawaii,2019,25-34,44.865900
18,000,Indiana,2023,25-34,43.002000
20,000,Kansas,2017,25-34,47.200600
12,000,Florida,2017,25-34,42.244200
42,000,Pennsylvania,2010,25-34,43.661700
15,000,Hawaii,2016,25-34,42.231000
44,000,Rhode Island,2016,25-34,48.883600
48,000,Texas,2011,25-34,33.887700
33,000,New Hampshire,2017,25-34,50.840500
28,000,Mississippi,2015,25-34,34.570900
10,000,Delaware,2022,25-34,47.524100
35,000,New Mexico,2014,25-34,31.622400
06,000,California,2023,25-34,49.326000
23,000,Maine,2019,25-34,45.988200
45,000,South Carolina,2011,25-34,34.911400
09,000,Connecticut,2017,25-34,49.881400
27,000,Minnesota,2021,25-34,57.567500
44,000,Rhode Island,2014,25-34,41.400800
35,000,New Mexico,2018,25-34,32.393300
15,000,Hawaii,2022,25-34,46.566100
08,000,Colorado,2015,25-34,47.958100
23,000,Maine,2018,25-34,46.396800
55,000,Wisconsin,2016,25-34,47.660800
39,000,Ohio,2024,25-34,44.384700
27,000,Minnesota,2013,25-34,51.740400
02,000,Alaska,2015,25-34,37.160900
36,000,New York,2024,25-34,59.460000
38,000,North Dakota,2013,25-34,50.420000
55,000,Wisconsin,2011,25-34,42.464700
25,000,Massachusetts,2011,25-34,55.236700
51,000,Virginia,2024,25-34,54.171600
04,000,Arizona,2019,25-34,36.802000
26,000,Michigan,2012,25-34,38.498500
46,000,South Dakota,2018,25-34,49.326700
39,000,Ohio,2018,25-34,43.027000
48,000,Texas,2012,25-34,34.091600
45,000,South Carolina,2012,25-34,36.528600
40,000,Oklahoma,2024,25-34,37.451800
21,000,Kentucky,2018,25-34,38.446100
36,000,New York,2016,25-34,53.038800
15,000,Hawaii,2010,25-34,38.579100
45,000,South Carolina,2010,25-34,35.396500
30,000,Montana,2022,25-34,45.368400
09,000,Connecticut,2011,25-34,46.117300
23,000,Maine,2016,25-34,44.036200
19,000,Iowa,2024,25-34,48.971200
20,000,Kansas,2010,25-34,42.227500
36,000,New York,2012,25-34,50.452000
29,000,Missouri,2013,25-34,41.336400
50,000,Vermont,2011,25-34,47.174600
21,000,Kentucky,2017,25-34,37.331400
21,000,Kentucky,2012,25-34,34.564100
16,000,Idaho,2024,25-34,42.390700
27,000,Minnesota,2012,25-34,51.907500
30,000,Montana,2011,25-34,40.002300
11,000,District of Columbia,2018,25-34,76.015900
72,000,Puerto Rico,2011,25-34,40.154800
44,000,Rhode Island,2019,25-34,50.000000
18,000,Indiana,2012,25-34,38.336200
72,000,Puerto Rico,2013,25-34,40.987800
26,000,Michigan,2015,25-34,41.596300
47,000,Tennessee,2021,25-34,42.651400
30,000,Montana,2021,25-34,45.032800
24,000,Maryland,2018,25-34,50.819500
38,000,North Dakota,2021,25-34,50.493900
50,000,Vermont,2017,25-34,46.932100
33,000,New Hampshire,2010,25-34,46.196400
54,000,West Virginia,2016,25-34,34.774400
39,000,Ohio,2023,25-34,44.791800
25,000,Massachusetts,2021,25-34,63.654000
34,000,New Jersey,2018,25-34,54.458500
33,000,New Hampshire,2022,25-34,52.130400
41,000,Oregon,2018,25-34,44.426600
26,000,Michigan,2021,25-34,44.675900
40,000,Oklahoma,2021,25-34,36.697800
22,000,Louisiana,2016,25-34,33.327700
