statefips,metrofips,geo_area,cicp_initiative,sector,Year,jobs,wages
00,21140,Elkhart-Goshen MSA,TechPoint,Total,2020,992.0146831674051,68708.63459773196
00,18020,Columbus MSA,TechPoint,Total,2019,810.8483814181604,
00,21140,Elkhart-Goshen MSA,TechPoint,Total,2019,1086.4059904285746,
00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,Total,2020,28402.34571936696,79628.23037964803
00,29020,Kokomo MSA,Advanced and Traded Industries,Total,2021,12801.308764447405,94690.96287115235
00,14020,Bloomington MSA,Finance,Total,2020,1864.3565789105821,73256.67290353788
00,29020,Kokomo MSA,Finance,Total,2023,889.587588466292,84410.55202914777
00,43780,South Bend-Mishawaka MSA,Finance,Total,2023,4175.3016770900085,102352.49635672811
00,18020,Columbus MSA,Healthcare,Total,2020,3068.3107699850484,70357.84586984801
00,14020,Bloomington MSA,BioCrossroads,Total,2022,10517.125212330819,89718.82248437247
00,21140,Elkhart-Goshen MSA,BioCrossroads,Total,2021,558.2212204056809,84449.93649986268
00,45460,Terre Haute MSA,Conexus,Total,2021,12429.988611298617,71244.76970925365
00,43780,South Bend-Mishawaka MSA,Conexus,Total,2022,25364.771665584834,79332.11297307978
00,34620,Muncie MSA,Conexus,Total,2023,6131.157293303241,75683.88611313251
0,00000,United States,TechPoint,Total,2023,6159062.724439629,184616.6575252796
00,14020,Bloomington MSA,TechPoint,Total,2022,1046.5447843626682,103608.83563001714
00,29020,Kokomo MSA,TechPoint,Total,2019,202.554440398023,
00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,Total,2023,35669.5313942435,86663.6025535009
00,21780,Evansville MSA,Healthcare,Total,2021,19640.569216189062,77318.63770961772
00,31140,Louisville/Jefferson County MSA,Healthcare,Total,2020,70070.69378697212,79347.43274231596
00,29020,Kokomo MSA,Healthcare,Total,2021,3754.811501604493,71555.01855816685
00,23060,Fort Wayne MSA,BioCrossroads,Total,2023,1904.6704545029918,97740.62948659578
00,17140,Cincinnati MSA,BioCrossroads,Total,2021,13644.648500192106,123655.61452283249
00,21140,Elkhart-Goshen MSA,BioCrossroads,Total,2022,425.46285180331176,89664.48501417016
00,45460,Terre Haute MSA,BioCrossroads,Total,2020,617.6783501238665,99749.97734196772
18,00000,Indiana,Conexus,Total,2020,772926.991532477,78105.83000499473
00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,Total,2023,230264.69331527912,97325.34397084758
00,43780,South Bend-Mishawaka MSA,Conexus,Total,2021,25104.47972206329,76750.35279942883
00,45460,Terre Haute MSA,Advanced and Traded Industries,Total,2020,15140.853698441777,68827.89803155923
00,23060,Fort Wayne MSA,Healthcare,Total,2021,31195.007148542296,80677.56299753564
00,31140,Louisville/Jefferson County MSA,Healthcare,Total,2022,74290.3125118343,89233.81001794727
00,43780,South Bend-Mishawaka MSA,Healthcare,Total,2021,16365.482478421267,76484.74730228698
00,21780,Evansville MSA,Healthcare,Total,2022,19488.576588414708,82743.56473178446
18,00000,Indiana,Healthcare,Total,2019,338793.12741458195,
00,14020,Bloomington MSA,BioCrossroads,Total,2020,7646.782106516917,80798.82739278582
00,31140,Louisville/Jefferson County MSA,BioCrossroads,Total,2020,6230.202426299263,108060.78873742606
00,33140,Michigan City-La Porte MSA,Conexus,Total,2022,11373.173504808363,73570.53108772334
00,34620,Muncie MSA,TechPoint,Total,2020,1096.3169969308,77889.37597213146
00,14020,Bloomington MSA,TechPoint,Total,2020,1028.2365018630878,100946.01940390118
00,18020,Columbus MSA,TechPoint,Total,2020,815.219739880074,85641.25745021063
00,21780,Evansville MSA,TechPoint,Total,2023,1964.6318243069297,114063.48849839537
0,00000,United States,Finance,Total,2021,6549558.386141841,149183.77053079908
00,29200,Lafayette-West Lafayette MSA,Healthcare,Total,2020,10125.724720982951,68995.83686207069
00,29020,Kokomo MSA,Healthcare,Total,2023,3990.9981333343903,74092.95049161463
00,23060,Fort Wayne MSA,AgriNovus,Total,2021,4927.020433199293,59612.36316191913
00,21780,Evansville MSA,AgriNovus,Total,2022,4719.12866235928,81371.7750798544
00,34620,Muncie MSA,AgriNovus,Total,2022,604.621588956488,64559.46561282502
00,34620,Muncie MSA,AgriNovus,Total,2019,469.001236132309,
00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,Total,2022,76287.63035710235,185202.4124751731
00,34620,Muncie MSA,BioCrossroads,Total,2021,106.46911068538537,69265.59886417747
00,33140,Michigan City-La Porte MSA,Conexus,Total,2020,10642.575334336016,68155.63144718466
00,17140,Cincinnati MSA,Conexus,Total,2020,210097.49933559002,89945.10909946515
00,23060,Fort Wayne MSA,Finance,Total,2021,9754.792958956945,93431.3129999164
00,18020,Columbus MSA,Finance,Total,2021,1054.1528433219764,94950.16029384798
00,21140,Elkhart-Goshen MSA,Finance,Total,2019,1912.4565458892587,
00,16980,Chicago-Naperville-Elgin MSA,Healthcare,Total,2023,457139.04184883693,87868.26967811186
00,43780,South Bend-Mishawaka MSA,Healthcare,Total,2023,17885.066760683403,83446.61310394033
00,29020,Kokomo MSA,AgriNovus,Total,2021,622.7416383933239,53439.55146625537
00,18020,Columbus MSA,BioCrossroads,Total,2023,447.6739176688123,82866.64408795098
00,18020,Columbus MSA,BioCrossroads,Total,2022,434.31221117687403,83193.79426743358
00,43780,South Bend-Mishawaka MSA,BioCrossroads,Total,2020,1782.4003226466025,97736.78188465524
