cicp_initiative,sector,sector_name,Year,statefips,metrofips,geo_area,entry_level_ed,jobs
Advanced and Traded Industries,0,,2019,18,00000,Indiana,Bachelor's degree,214636.13649490694
Advanced and Traded Industries,0,,2019,18,00000,Indiana,Doctoral or professional degree,4506.4098187666295
Advanced and Traded Industries,0,,2019,18,00000,Indiana,High school diploma or equivalent,612043.4794614445
Advanced and Traded Industries,0,,2019,18,00000,Indiana,Master's degree,1230.6658653717611
Advanced and Traded Industries,0,,2019,18,00000,Indiana,No formal educational credential,123492.65393281102
Advanced and Traded Industries,0,,2019,18,00000,Indiana,Postsecondary nondegree award,55422.0955398516
Advanced and Traded Industries,0,,2019,18,00000,Indiana,"Some college, no degree",20146.73008291465
Advanced and Traded Industries,0,,2020,0,00000,United States,Associate's degree,920501.7155237918
Advanced and Traded Industries,0,,2020,0,00000,United States,Bachelor's degree,13018951.123617064
Advanced and Traded Industries,0,,2020,0,00000,United States,Doctoral or professional degree,297039.3202775583
Advanced and Traded Industries,0,,2020,0,00000,United States,High school diploma or equivalent,18401952.64633731
Advanced and Traded Industries,0,,2020,0,00000,United States,Master's degree,111137.20362790643
Advanced and Traded Industries,0,,2020,0,00000,United States,No formal educational credential,3888862.4612170877
Advanced and Traded Industries,0,,2020,0,00000,United States,Postsecondary nondegree award,1813521.217642882
Advanced and Traded Industries,0,,2020,0,00000,United States,"Some college, no degree",999306.121025783
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,Associate's degree,566.2323519025704
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,Bachelor's degree,4374.8914453252255
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,Doctoral or professional degree,171.29488777593525
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,High school diploma or equivalent,9021.862614893118
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,Master's degree,19.73098582355459
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,No formal educational credential,1045.511036623555
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,Postsecondary nondegree award,408.9916599765708
Advanced and Traded Industries,0,,2020,00,14020,Bloomington MSA,"Some college, no degree",341.885807884835
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,Associate's degree,25778.056298335836
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,Bachelor's degree,464274.2724444423
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,Doctoral or professional degree,8833.787366867873
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,High school diploma or equivalent,618198.4982603589
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,Master's degree,3118.333860053347
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,No formal educational credential,147816.97931629186
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,Postsecondary nondegree award,60764.682046473106
Advanced and Traded Industries,0,,2020,00,16980,Chicago-Naperville-Elgin MSA,"Some college, no degree",30458.720167812036
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,Associate's degree,7709.162790967647
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,Bachelor's degree,109887.86428900075
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,Doctoral or professional degree,2112.3368042561256
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,High school diploma or equivalent,172780.0948704153
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,Master's degree,832.9348228038184
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,No formal educational credential,36501.35800003722
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,Postsecondary nondegree award,14580.528226635503
Advanced and Traded Industries,0,,2020,00,17140,Cincinnati MSA,"Some college, no degree",9529.503052190152
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,Associate's degree,807.7207837635091
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,Bachelor's degree,7060.675137092286
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,Doctoral or professional degree,50.84464876444953
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,High school diploma or equivalent,13235.283889964274
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,Master's degree,22.963979108178414
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,No formal educational credential,1733.336039508711
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,Postsecondary nondegree award,902.3467916398749
Advanced and Traded Industries,0,,2020,00,18020,Columbus MSA,"Some college, no degree",332.01207062702355
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,Associate's degree,811.8194323328391
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,Bachelor's degree,8192.381066655387
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,Doctoral or professional degree,97.28935827647813
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,High school diploma or equivalent,57609.20886986841
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,Master's degree,15.31820983031805
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,No formal educational credential,6506.509458030552
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,Postsecondary nondegree award,1950.4464614366775
Advanced and Traded Industries,0,,2020,00,21140,Elkhart-Goshen MSA,"Some college, no degree",870.6882465599813
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,Associate's degree,883.3299924203538
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,Bachelor's degree,7749.052883085026
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,Doctoral or professional degree,187.79572516919364
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,High school diploma or equivalent,21484.89421781432
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,Master's degree,24.416161288863062
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,No formal educational credential,5249.304469154215
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,Postsecondary nondegree award,1894.0404765645546
Advanced and Traded Industries,0,,2020,00,21780,Evansville MSA,"Some college, no degree",765.0871604578265
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,Associate's degree,1368.3193873237099
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,Bachelor's degree,14264.955405669276
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,Doctoral or professional degree,229.55282241101975
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,High school diploma or equivalent,41210.876112854494
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,Master's degree,80.422964458747
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,No formal educational credential,7238.81500989757
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,Postsecondary nondegree award,3427.2018016687425
Advanced and Traded Industries,0,,2020,00,23060,Fort Wayne MSA,"Some college, no degree",1209.5846226122978
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Associate's degree,6439.796966787336
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Bachelor's degree,88171.08801024598
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Doctoral or professional degree,2183.568935275035
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,High school diploma or equivalent,148585.73102484667
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Master's degree,657.1782206127065
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,No formal educational credential,46480.810502345324
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Postsecondary nondegree award,16839.629243318926
Advanced and Traded Industries,0,,2020,00,26900,Indianapolis-Carmel-Greenwood MSA,"Some college, no degree",7342.024940142161
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,Associate's degree,162.55771959305912
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,Bachelor's degree,2003.8547358080375
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,Doctoral or professional degree,25.239286904178716
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,High school diploma or equivalent,9964.898965455805
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,Master's degree,0.110195056353288
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,No formal educational credential,786.5675888478207
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,Postsecondary nondegree award,761.7828921922356
Advanced and Traded Industries,0,,2020,00,29020,Kokomo MSA,"Some college, no degree",135.76016953259045
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,Associate's degree,714.3504741165457
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,Bachelor's degree,4645.065801865317
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,Doctoral or professional degree,90.9285190973391
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,High school diploma or equivalent,18348.199583899604
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,Master's degree,17.35226824889378
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,No formal educational credential,3079.167583307949
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,Postsecondary nondegree award,1149.9689589731793
Advanced and Traded Industries,0,,2020,00,29200,Lafayette-West Lafayette MSA,"Some college, no degree",357.3125298470332
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,Associate's degree,4265.3659632021345
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,Bachelor's degree,52362.951433249415
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,Doctoral or professional degree,955.4938263195417
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,High school diploma or equivalent,126481.90930988708
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,Master's degree,510.37637531474445
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,No formal educational credential,35471.92036804907
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,Postsecondary nondegree award,12334.087190850913
Advanced and Traded Industries,0,,2020,00,31140,Louisville/Jefferson County MSA,"Some college, no degree",5819.644829541175
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,Associate's degree,201.9974262986747
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,Bachelor's degree,1721.9580775390498
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,Doctoral or professional degree,31.810239287980476
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,High school diploma or equivalent,7816.045320650826
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,Master's degree,16.052330689194903
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,No formal educational credential,1578.2770189824873
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,Postsecondary nondegree award,538.9548483972424
Advanced and Traded Industries,0,,2020,00,33140,Michigan City-La Porte MSA,"Some college, no degree",177.14915773623227
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,Associate's degree,242.70347229318386
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,Bachelor's degree,2282.80715471254
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,Doctoral or professional degree,58.26517133546335
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,High school diploma or equivalent,4889.285427943058
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,Master's degree,12.445072310019484
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,No formal educational credential,722.5948686322989
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,Postsecondary nondegree award,662.8316352057328
Advanced and Traded Industries,0,,2020,00,34620,Muncie MSA,"Some college, no degree",228.87553295790997
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,Associate's degree,916.587037356707
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,Bachelor's degree,7891.988728281018
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,Doctoral or professional degree,172.4014011838256
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,High school diploma or equivalent,20607.4156089622
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,Master's degree,58.337863643044514
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,No formal educational credential,3525.2806772121107
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,Postsecondary nondegree award,2009.4540628423501
Advanced and Traded Industries,0,,2020,00,43780,South Bend-Mishawaka MSA,"Some college, no degree",875.1577330134313
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,Associate's degree,358.5935132075321
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,Bachelor's degree,2409.3545677375264
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,Doctoral or professional degree,48.564049120585025
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,High school diploma or equivalent,9681.55646993311
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,Master's degree,12.431526055714215
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,No formal educational credential,1480.0301585360792
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,Postsecondary nondegree award,935.9530093646817
Advanced and Traded Industries,0,,2020,00,45460,Terre Haute MSA,"Some college, no degree",214.37040448837686
Advanced and Traded Industries,0,,2020,18,00000,Indiana,Associate's degree,19602.84341523229
