display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
1,2,"Telecommunications, Internet Services and Data Hosting",,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,1,1,59.265950986040004,100.4543294505
2,2,"Telecommunications, Internet Services and Data Hosting",,,00,000,34620,Muncie MSA,2024,517112,Wireless Telecommunications Carriers (except Satellite),2,2,6.91338883655,25.6136319727
2,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,0,000,00000,United States,2023,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2,2,15166.0086742,36491.4537583
2,2,"Telecommunications, Internet Services and Data Hosting",,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2,2,4504.24207595,6718.1408329
2,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,40.4575232637,103.809924619
2,2,"Telecommunications, Internet Services and Data Hosting",,,00,000,29020,Kokomo MSA,2021,517111,Wired Telecommunications Carriers,2,2,12.0122015699,40.7254544552
2,2,"Telecommunications, Internet Services and Data Hosting",,,0,000,00000,United States,2020,519290,Web Search Portals and All Other Information Services,2,2,53401.8155692,85076.3126598
2,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,18020,Columbus MSA,2020,333242,Semiconductor Machinery Manufacturing,2,2,0.0,0.0
2,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2024,541512,Computer Systems Design Services,2,2,11.0905692522,20.5782061164
2,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,33140,Michigan City-La Porte MSA,2021,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2,2,0.0,0.0
2,4,"Manufacturing: Computer, Peripheral and Communications Equipment",,,00,000,29020,Kokomo MSA,2023,334112,Computer Storage Device Manufacturing,2,2,0.0,0.0
1,1,IT/Tech Services,,,18,000,00000,Indiana,2024,000000,,1,1,14534.4661873469,27218.844627303897
1,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,1,1,73.924235633704,148.37903922617699
