sector,sector_name,subsector,subsector_name,naics_code,naics_title,naics_version,group_by,group_by_title,level
1,Manufacturing,13.0,x-All Other Manufacturing,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",2022,3271,Clay Product and Refractory Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327120,Clay Building Material and Refractories Manufacturing,2022,3271,Clay Product and Refractory Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327211,Flat Glass Manufacturing,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327213,Glass Container Manufacturing,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327310,Cement Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327320,Ready-Mix Concrete Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327331,Concrete Block and Brick Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327332,Concrete Pipe Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327390,Other Concrete Product Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327410,Lime Manufacturing,2022,3274,Lime and Gypsum Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327420,Gypsum Product Manufacturing,2022,3274,Lime and Gypsum Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327910,Abrasive Product Manufacturing,2022,3279,Other Nonmetallic Mineral Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327991,Cut Stone and Stone Product Manufacturing,2022,3279,Other Nonmetallic Mineral Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327992,Ground or Treated Mineral and Earth Manufacturing,2022,3279,Other Nonmetallic Mineral Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327993,Mineral Wool Manufacturing,2022,3279,Other Nonmetallic Mineral Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,2022,3279,Other Nonmetallic Mineral Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,332913,Plumbing Fixture Fitting and Trim Manufacturing,2022,3329,Other Fabricated Metal Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,332992,Small Arms Ammunition Manufacturing,2022,3329,Other Fabricated Metal Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,332993,Ammunition (except Small Arms) Manufacturing,2022,3329,Other Fabricated Metal Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",2022,3329,Other Fabricated Metal Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,333922,Conveyor and Conveying Equipment Manufacturing,2022,3339,Other General Purpose Machinery Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",2022,3339,Other General Purpose Machinery Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",2022,3339,Other General Purpose Machinery Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,335312,Motor and Generator Manufacturing,2022,3353,Electrical Equipment Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,335313,Switchgear and Switchboard Apparatus Manufacturing,2022,3353,Electrical Equipment Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,335921,Fiber Optic Cable Manufacturing,2022,3359,Other Electrical Equipment and Component Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,335929,Other Communication and Energy Wire Manufacturing,2022,3359,Other Electrical Equipment and Component Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,335991,Carbon and Graphite Product Manufacturing,2022,3359,Other Electrical Equipment and Component Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,336510,Railroad Rolling Stock Manufacturing,2022,3365,Railroad Rolling Stock Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,336611,Ship Building and Repairing,2022,3366,Ship and Boat Building,2
1,Manufacturing,13.0,x-All Other Manufacturing,336612,Boat Building,2022,3366,Ship and Boat Building,2
1,Manufacturing,13.0,x-All Other Manufacturing,336991,"Motorcycle, Bicycle, and Parts Manufacturing",2022,3369,Other Transportation Equipment Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",2022,3369,Other Transportation Equipment Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,336999,All Other Transportation Equipment Manufacturing,2022,3369,Other Transportation Equipment Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,339940,Office Supplies (except Paper) Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,339950,Sign Manufacturing,2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,339991,"Gasket, Packing, and Sealing Device Manufacturing",2022,3399,Other Miscellaneous Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311111,Dog and Cat Food Manufacturing,2022,3111,Animal Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311119,Other Animal Food Manufacturing,2022,3111,Animal Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311211,Flour Milling,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311212,Rice Milling,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311213,Malt Manufacturing,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311221,Wet Corn Milling,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311224,Soybean and Other Oilseed Processing,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311225,Fats and Oils Refining and Blending,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311230,Breakfast Cereal Manufacturing,2022,3112,Grain and Oilseed Milling,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311313,Beet Sugar Manufacturing,2022,3113,Sugar and Confectionery Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311314,Cane Sugar Manufacturing,2022,3113,Sugar and Confectionery Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311340,Nonchocolate Confectionery Manufacturing,2022,3113,Sugar and Confectionery Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,2022,3113,Sugar and Confectionery Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311352,Confectionery Manufacturing from Purchased Chocolate,2022,3113,Sugar and Confectionery Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",2022,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311412,Frozen Specialty Food Manufacturing,2022,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311421,Fruit and Vegetable Canning,2022,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311422,Specialty Canning,2022,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311423,Dried and Dehydrated Food Manufacturing,2022,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311511,Fluid Milk Manufacturing,2022,3115,Dairy Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311512,Creamery Butter Manufacturing,2022,3115,Dairy Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311513,Cheese Manufacturing,2022,3115,Dairy Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",2022,3115,Dairy Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311520,Ice Cream and Frozen Dessert Manufacturing,2022,3115,Dairy Product Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311611,Animal (except Poultry) Slaughtering,2022,3116,Animal Slaughtering and Processing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311612,Meat Processed from Carcasses,2022,3116,Animal Slaughtering and Processing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311613,Rendering and Meat Byproduct Processing,2022,3116,Animal Slaughtering and Processing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311615,Poultry Processing,2022,3116,Animal Slaughtering and Processing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311710,Seafood Product Preparation and Packaging,2022,3117,Seafood Product Preparation and Packaging,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311811,Retail Bakeries,2022,3118,Bakeries and Tortilla Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311812,Commercial Bakeries,2022,3118,Bakeries and Tortilla Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",2022,3118,Bakeries and Tortilla Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311821,Cookie and Cracker Manufacturing,2022,3118,Bakeries and Tortilla Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",2022,3118,Bakeries and Tortilla Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311830,Tortilla Manufacturing,2022,3118,Bakeries and Tortilla Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311911,Roasted Nuts and Peanut Butter Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311919,Other Snack Food Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311920,Coffee and Tea Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311930,Flavoring Syrup and Concentrate Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311942,Spice and Extract Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311991,Perishable Prepared Food Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,311999,All Other Miscellaneous Food Manufacturing,2022,3119,Other Food Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,312111,Soft Drink Manufacturing,2022,3121,Beverage Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,312112,Bottled Water Manufacturing,2022,3121,Beverage Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,312113,Ice Manufacturing,2022,3121,Beverage Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,312120,Breweries,2022,3121,Beverage Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,312130,Wineries,2022,3121,Beverage Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,312140,Distilleries,2022,3121,Beverage Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,325199,All Other Basic Organic Chemical Manufacturing,2022,3251,Basic Chemical Manufacturing,2
1,Manufacturing,1.0,Agbiosciences Manufacturing,325311,Nitrogenous Fertilizer Manufacturing,2022,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2
1,Manufacturing,1.0,Agbiosciences Manufacturing,325312,Phosphatic Fertilizer Manufacturing,2022,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2
1,Manufacturing,1.0,Agbiosciences Manufacturing,325314,Fertilizer (Mixing Only) Manufacturing,2022,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2
1,Manufacturing,1.0,Agbiosciences Manufacturing,325315,Compost Manufacturing,2022,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2
1,Manufacturing,1.0,Agbiosciences Manufacturing,325320,Pesticide and Other Agricultural Chemical Manufacturing,2022,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2
