year,statefips,metrofips,geo_area,code,category,data
2019,18,00000,Indiana,600,No SAT data,51211
2019,18,00000,Indiana,601,SAT - < 800,1169
2019,18,00000,Indiana,602,SAT - 1000-1199,11212
2019,18,00000,Indiana,603,SAT - 1200-1600,4735
2019,18,00000,Indiana,604,SAT - 800-999,7921
2019,18,00000,Indiana,700,College Enrollments,44541
2019,18,00000,Indiana,800,Indiana Public College Enrollments,32631
2019,18,00000,Indiana,900,Area of Study - Arts and Humanities,4814
2019,18,00000,Indiana,901,Area of Study - Business and Communication,5131
2019,18,00000,Indiana,902,Area of Study - Education,2006
2019,18,00000,Indiana,903,Area of Study - Health,5522
2019,18,00000,Indiana,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",7607
2019,18,00000,Indiana,905,Area of Study - Social and Behavioral Sciences and Human Services,3339
2019,18,00000,Indiana,906,Area of Study - Trades,2126
2019,18,00000,Indiana,907,Area of Study - Undecided,2086
2019,18,00000,Indiana,908,Degree Level - Associate,8112
2019,18,00000,Indiana,909,Degree Level - Award of at least 1 but less than 2 academic years,1075
2019,18,00000,Indiana,910,Degree Level - Award of less than 1 academic year,236
2019,18,00000,Indiana,911,Degree Level - Bachelor's,22956
2019,18,00000,Indiana,912,Degree Level - Unclassified undergraduate,252
2020,18,00000,Indiana,100,Total High School Graduates,76326
2020,18,00000,Indiana,101,Diploma Type - Core 40,41216
2020,18,00000,Indiana,102,Diploma Type - General,7309
2020,18,00000,Indiana,103,Diploma Type - Honors,27801
2020,18,00000,Indiana,200,No ACT data,0
2020,18,00000,Indiana,201,ACT - < 15,62773
2020,18,00000,Indiana,202,ACT - 15-19,3695
2020,18,00000,Indiana,203,ACT - 20-25,5601
2020,18,00000,Indiana,204,ACT - 26-36,4257
2020,18,00000,Indiana,300,Gender - Female,38795
2020,18,00000,Indiana,301,Gender - Male,37531
2020,18,00000,Indiana,302,Race/Ethnicity - Asian,2040
2020,18,00000,Indiana,303,Race/Ethnicity - Black,8623
2020,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,17212
2020,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,8606
2020,18,00000,Indiana,305,Race/Ethnicity - Other,3398
2020,18,00000,Indiana,306,Race/Ethnicity - White,53659
2020,18,00000,Indiana,400,Waiver Status - Graduated with Waiver,139
2020,18,00000,Indiana,401,Waiver Status - Graduated without Waiver,76187
2020,18,00000,Indiana,500,Socioeconomic Status - Free or Reduced Lunch,27695
2020,18,00000,Indiana,501,Socioeconomic Status - Non Free or Reduced Lunch,48631
