display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,age_14_18,age_19_21,age_22_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
0,0,Healthcare Total,,,0,000,00000,United States,2020,000000,,0,0,107830.16790034212,405699.04246039403,767139.1827754009,3706657.77259973,3680395.302206981,3349663.46671194,2836350.4873547293,970814.5573141701
0,0,Healthcare Total,,,0,000,00000,United States,2021,000000,,0,0,115523.12084197298,441999.941278936,798032.5220483281,3715023.6827930496,3745423.38676923,3389948.6850917405,2846583.75522458,1022834.3167457699
0,0,Healthcare Total,,,0,000,00000,United States,2022,000000,,0,0,120933.97458947316,460608.3824276041,823782.9958411551,3725518.3358809003,3808863.9087677407,3433417.4053510795,2849244.5682076407,1093019.8065416904
0,0,Healthcare Total,,,0,000,00000,United States,2023,000000,,0,0,137626.59067047862,502547.5930532249,869661.0340560598,3863511.81076511,3982134.73470598,3556082.9006900503,2909184.46412819,1186059.9662871105
0,0,Healthcare Total,,,0,000,00000,United States,2024,000000,,0,0,146601.11763544922,533883.56193313,912681.4707024399,4007855.2830652,4148522.8511507604,3685143.6262290804,2990245.09373927,1257295.4144029403
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,107.078124882234,397.59926399208706,583.7814534790059,1974.71162116783,1840.6036878468467,1693.9450390023196,1358.1329823120825,450.51653775909995
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,91.87958300304999,421.8602063738749,608.0639897487702,1910.0071138678402,1784.3470737245843,1622.3981026791503,1314.139539124732,457.40796447012104
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,94.17587771479401,419.10373266571395,632.963833307268,1865.57521283419,1754.5519244890038,1632.4031697816997,1270.0969991913262,477.98853200977703
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,101.01816819794298,459.571318757911,700.6406263155931,2002.0356283237802,1930.651236396789,1757.6093297778311,1341.0942587950015,524.6388167674439
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2024,000000,,0,0,92.929466890547,510.7694386611319,715.839778968834,2118.3938915713097,1971.0841047601602,1822.86738643934,1374.0906383919191,534.50213180645
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,2808.051289350623,10266.979345934467,21895.547239480904,109169.55997487201,103092.317482967,95541.98022027098,83607.5047265189,29974.093089583
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,3145.00251627111,11398.6226939962,23052.5957667055,108980.553736351,103114.439187939,95770.720463133,82776.2749504405,31114.7025368515
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,3192.3708365942693,11739.975999904289,23650.229844324207,110057.454878595,103371.06617191096,95999.22515144703,81565.80456662779,33165.262769414796
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,3628.82978204659,13123.539302584097,25034.4081653675,115292.30589120497,108119.907419486,99208.696987677,82557.89586754968,36482.509102425094
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,3763.1856667933803,14056.955575713819,26446.054803418592,120677.64007260698,113885.21503027799,104386.88185284601,86349.934288115,39942.3020865875
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,1026.532246701747,3760.792291163179,6578.899786218891,31809.126904850727,30079.008192153186,25500.909048284237,22438.536548548833,6717.9745148291
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,1070.0802523497239,4072.570735201892,6776.19432017006,31346.41845764138,30897.674197207205,25880.923531233515,22578.23661734804,7000.738410941086
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,1204.877464546414,4179.177977652891,7027.30237680804,30440.572895929712,31382.137040878886,26143.69472292822,22318.95160399452,7466.33082843109
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,1452.5669227650449,4594.62249302739,7601.424317548218,31640.580246754405,32594.04054428218,26647.211387874195,22275.001416649735,8075.219277192851
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,1666.420958228012,4998.71286483576,8016.18858254244,32718.847177817905,33603.19768988059,27224.110490638985,22166.035375024796,8407.578455266806
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,42.593119840170004,112.35705589521001,151.80923980705,688.92322516685,679.1637762494299,698.0884131195901,568.702801642529,148.65139053953402
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,46.31985498871,131.61530415223098,180.279876461354,713.21206982602,700.2308702857571,704.8286469521191,570.4448635424869,159.900532620652
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,38.340329236968,118.356464161944,198.78618370073602,738.0934221461347,685.621952990158,699.5334318418281,567.588447667049,177.80053752754398
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,47.861159886469,135.46091700417398,214.450625818848,790.654996107083,716.8630611722921,697.5174561736261,581.1720660835898,197.25589826643102
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2024,000000,,0,0,51.4732599056,176.710069755716,257.374407707663,849.4344868049641,769.83093304797,715.009570765229,583.6106878146041,210.225806532435
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,144.47826853066002,425.527248501351,505.004041559985,2122.6587804269802,2013.0674174362048,1965.9536444752084,1718.6148019412497,579.28953663568
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,172.891040356183,418.538737370137,500.42883386564307,1997.3122620576908,1980.56993608864,1936.97327417801,1687.17476451706,597.4223994291959
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,174.965949299154,390.53335744028396,523.0242340951891,1935.74383727855,1915.045960744359,1922.9011173180972,1649.9763149261403,620.620701566875
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,176.906902384808,421.65611868642594,590.1703965735079,1998.958765240478,1959.315035355368,1915.55107054465,1612.5741362192502,646.540691098156
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,2024,000000,,0,0,163.28665865058798,431.999797390519,600.8761373758329,2017.4465666983601,2041.8244660646271,1940.19263022774,1609.9617129189241,668.298552014748
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2020,000000,,0,0,136.90855486843702,766.756044523349,1185.0757654728204,5050.904898732421,4560.132904479696,4071.0863056292087,3573.5372288785106,1089.30165021955
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2021,000000,,0,0,142.295214444914,838.1515010749341,1190.9800344209598,5017.704719924296,4575.398941643395,4097.86977290856,3456.9936540670797,1130.54071011067
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2022,000000,,0,0,176.10026247048202,886.0293568272369,1274.6941445799102,4857.101017194626,4600.528610157581,4034.9828408285102,3341.66213812789,1151.3867329414898
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2023,000000,,0,0,187.195443844409,942.105623306085,1369.792224401411,4820.9783819267805,4717.934809013611,4014.000132704298,3281.9707660904705,1189.1354502914533
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,2024,000000,,0,0,195.179155431168,998.4351166224562,1380.2817659762657,4865.46076756603,4796.274508902308,4032.9238518546,3266.4959855561497,1226.7658307822119
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,309.249114618395,1080.2691396664031,1857.39166910553,7783.36596259886,7490.00929710546,6699.641611542159,5670.60343656661,1631.674150563356
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,316.15190347142004,1080.453696760635,1904.8696904656642,7703.508492982881,7545.073555245519,6763.685887999359,5550.510450285769,1691.6750766720593
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,359.70971224593,1184.40798488361,2013.2678397256818,7816.569748020739,7620.843309243971,6919.4766490888605,5475.63987737324,1807.3761147163832
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,438.199663691971,1354.3336053400399,2098.463339881316,8150.85158900728,7920.21734992474,7199.69868769412,5561.53999333142,1973.23329982945
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,2024,000000,,0,0,460.52312774685595,1418.5041608805398,2142.9892841585406,8337.18097245128,8105.24847394016,7276.145493894201,5645.305557350641,2077.7903074700134
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,867.3854137940541,3105.3883435134303,6194.14891895407,29082.940873652693,29018.8045917742,25517.9427050439,20451.5432750499,6141.5519289922995
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,976.8008975197171,3469.9486440952714,6638.298154517399,29529.727641176807,30060.864494180703,26248.8630758799,20815.546390933603,6575.213768077662
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,1017.0902994895511,3730.38042081816,6898.880816150989,30073.796861337603,30787.946138461695,26835.879909699994,21200.230177736,7218.022283785331
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,1180.6200997622338,4125.259676538491,7322.979284345859,31067.3530097836,32076.427877061695,27961.478628605106,21650.271920140098,8016.44181984038
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,1221.519263775942,4404.957430384609,7690.192700568033,31983.676677109295,33003.987923374196,28843.115198122206,22005.475809217507,8466.521956446719
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2020,000000,,0,0,42.440499364901996,138.27949904228802,227.509421618495,949.6532312877189,981.8457420024729,931.400804218168,719.294933375168,199.73532699433798
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,46.607718603876,155.33832330079503,236.31346593839402,910.86582176322,930.418269353602,898.9986200419771,661.1565513789931,196.995290254582
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,45.462606101418,186.21790743775603,259.406263338751,987.929721005479,969.2752290134737,946.1420294085682,666.293091725857,215.39967224211398
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,54.400467162379,194.068487216892,258.99976383544697,982.5934170166231,984.2422227104328,935.42109219207,656.7711553652559,230.418778122913
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,2024,000000,,0,0,67.000981145967,192.90735813758496,268.605199919337,1010.660598432934,997.58085381782,970.9866487966799,674.455160834333,251.80509340372996
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,99.403788095968,341.061160424347,560.77517619634,2599.7785383135133,2514.273405714899,2352.7530431715,1921.3767847284,507.648682131157
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2021,000000,,0,0,92.168867080015,382.833603188743,609.9730612560131,2633.2009731019143,2554.629213714035,2320.48406381524,1817.70495614159,513.896580650758
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,113.928385080748,420.2037473292709,658.1942938496541,2526.418291361532,2515.2539302526197,2264.87836939102,1833.7955156300868,553.5464419463971
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,125.853342363314,476.69621162400097,687.7707760816198,2494.483598350759,2529.539579179195,2275.8435861739604,1811.9335102269702,583.0274388852739
