year,NAICS,occ
2023,621112,55-9999
2024,621511,17-3022
2024,621112,51-8011
2021,621511,43-4181
2025,622110,11-9032
2020,622310,23-2099
2028,621410,27-1013
2025,621111,21-2099
2021,621399,43-3061
2024,621320,39-3019
2026,621330,17-2011
2025,621320,41-4012
2026,623210,29-1131
2026,621111,49-9092
2019,623210,25-3041
2024,621320,19-1011
2025,621610,29-1124
2026,621399,49-9011
2022,622110,51-5111
2023,621498,43-4011
2025,622110,51-5113
2025,622210,53-7062
2019,621498,17-2071
2024,622210,43-4051
2024,621320,51-6061
2028,621610,35-2021
2023,621498,51-4023
2024,622310,47-4011
2028,622110,45-3031
2023,621511,43-5111
2019,621210,17-2161
2021,621410,37-1011
2020,622110,51-8011
2021,621112,19-3041
2021,622310,49-9096
2023,621512,47-2043
2020,621498,41-2011
2027,621910,13-2053
2020,621493,47-3019
2022,621999,47-5012
2023,621991,15-2031
2021,623210,27-2022
2022,623990,25-4012
2026,621111,49-3011
2021,623110,53-4022
2019,622110,17-3022
2028,621210,19-2012
2027,623210,17-2081
2020,621999,15-1221
2028,621420,19-4051
2024,621493,33-9099
2028,621111,53-2012
2021,621999,35-2019
2021,622310,11-3021
2028,623210,43-4041
2019,622210,21-1018
2023,621420,53-3053
2021,621493,23-1023
2026,621330,51-2061
2026,621112,27-1021
2022,621999,39-3031
2027,621111,27-1012
2022,622210,53-7051
2023,621910,51-2098
2025,621999,53-7081
2019,621340,35-9099
2023,621511,51-3011
2025,621491,43-4121
2022,621111,47-2043
2022,621491,43-6014
2028,621498,43-4181
2026,621493,51-3022
2020,621493,37-2021
2026,621511,15-1231
2026,621498,39-3031
2019,621410,19-1042
2028,621491,43-5111
2022,623210,51-3091
2026,622310,41-9041
2019,621493,51-9124
2023,621420,27-1027
2022,623110,51-4192
2020,621512,29-1131
2019,623110,11-9021
2023,623210,49-9096
2028,622310,39-5011
2022,622110,27-3043
2028,622210,33-1099
2027,621310,29-2018
2024,621391,39-9041
2028,621330,29-1071
2020,621111,49-3091
2027,621340,31-9011
2023,621512,11-3012
2027,621111,27-1023
2023,621320,11-9111
2027,621330,49-3021
2027,623990,41-2011
2019,621991,19-3033
2022,621511,49-9081
2025,621320,53-3053
2027,621399,53-7021
2026,621320,43-3051
2021,621511,47-4098
2022,622310,29-1218
2026,621512,39-2011
2021,621410,51-9193
2028,621512,27-2031
2026,621512,19-3092
2026,622210,17-3027
2027,621340,27-1022
2020,622210,33-9011
2023,621310,51-8091
2024,621399,35-2015
2025,623210,27-2091
2019,622210,29-2056
2023,621399,31-1132
2026,621493,19-2032
2022,623220,43-4081
2023,621511,29-2053
2023,621210,27-3011
2022,621320,17-3024
2021,622110,39-1013
2024,621999,17-3011
2020,621511,43-3031
2024,622210,19-3094
2020,621111,29-1122
2027,623110,51-4121
2019,621112,43-3041
