year,NAICS,occ
2028,522110,39-3011
2023,524128,17-3013
2021,524298,23-2093
2019,525920,51-9022
2019,522210,33-9093
2025,524130,51-9197
2023,523999,51-4052
2025,524127,51-6061
2025,523150,29-2035
2028,525120,51-4122
2023,523999,17-2021
2023,524210,53-3011
2021,522210,33-3041
2020,523210,29-1031
2026,524128,47-5044
2026,524128,53-2012
2021,523999,47-2031
2021,523150,11-3111
2019,522110,43-1011
2023,524210,25-3099
2022,525990,51-4192
2028,522110,19-1022
2026,525190,37-3011
2028,524298,11-9031
2025,524128,53-5011
2021,523991,13-2041
2022,522110,51-9071
2024,522210,11-3121
2025,524130,39-3091
2020,524292,27-2012
2021,525920,43-2011
2028,524130,51-6062
2022,524114,13-2051
2025,525910,47-4031
2026,525910,29-1292
2022,521110,33-3041
2028,522180,29-2043
2023,522180,17-3012
2026,522220,27-2031
2020,522210,49-9098
2025,525120,27-2041
2021,523999,39-5011
2026,524292,39-3093
2026,522299,31-9011
2028,522320,29-1011
2028,522320,41-2012
2025,523210,51-3093
2028,522299,51-8012
2022,525110,17-3023
2023,524114,51-3011
2021,524210,51-9198
2019,522180,33-9011
2023,525920,51-9198
2026,523150,45-4011
2028,522390,29-9099
2027,523940,53-6099
2020,525190,29-1128
2028,521110,39-2021
2023,522390,33-9091
2028,523150,43-4011
2026,524298,23-2011
2028,524114,11-9033
2019,524127,39-6011
2022,523910,17-1022
2026,523160,51-4193
2024,523160,49-3051
2025,524114,25-9045
2023,523940,13-1151
2020,524292,27-4014
2028,522320,19-4044
2025,525110,35-9011
2022,522130,29-1215
2020,522180,27-1029
2022,523910,13-2053
2024,524298,43-2099
2023,524292,21-1018
2025,525190,19-1031
2020,523999,27-1013
2020,524210,49-2022
2021,523999,13-2011
2024,524113,51-5111
2027,523910,27-2023
2023,524128,47-2081
2028,522299,25-2021
2026,524113,31-9011
2027,523991,33-9011
2023,522292,17-2072
2024,523910,45-4011
2024,525110,53-5022
2028,524292,43-4071
2019,522320,11-3121
2020,524292,19-3011
2021,524210,27-4015
2021,525910,37-1012
2028,525110,17-2131
2022,524126,17-2121
2020,522310,25-3021
2020,525120,53-3053
2024,525920,11-9013
2019,524126,43-4031
2028,523940,11-1031
2026,525190,19-3093
2019,522210,51-9162
2020,523999,29-9093
2026,524127,41-3041
2023,524298,51-4031
2021,524210,27-1019
2019,522291,29-1242
2020,522310,43-5041
2020,524114,29-1299
2019,522180,19-4021
2019,522310,51-8092
2024,524210,47-5041
2027,525120,49-9098
2019,524114,49-3093
2024,524113,55-9999
2022,524210,53-6031
2021,525120,53-3051
2027,524127,47-4021
2019,522210,41-2031
2026,522291,43-5061
2022,525910,49-9064
2021,523150,29-2034
2022,522320,19-4021
2020,523160,51-4052
2024,525910,51-7031
2024,523160,51-3022
2019,525190,29-1214
2025,524128,29-1213
2028,525910,25-2031
2026,524291,27-3091
2024,525920,19-3051
2024,522220,45-4022
2028,525990,25-9099
2026,523150,19-2042
2022,522292,11-9032
2025,524210,33-3052
2028,524291,35-2019
2020,522292,51-3099
2028,524128,11-9151
2025,525990,15-1241
2025,522390,17-2171
2025,523160,29-2035
2021,522292,29-1243
2025,522180,31-9093
2019,521110,43-5032
2027,525120,51-8021
2019,523991,51-6031
2020,524210,47-4051
2027,524298,11-9051
2024,522310,29-1212
2021,523940,49-2098
2021,524128,27-4032
2026,524291,25-1099
2024,521110,53-3011
2023,524128,49-2092
2028,525990,11-3021
2021,522180,19-4099
2024,524114,51-6064
2019,524130,51-9194
2022,522292,11-2011
2020,522310,19-3041
2019,521110,49-9092
2023,523991,27-1025
2021,523150,19-3091
2028,522210,39-5094
2022,524127,29-1029
2028,522291,39-5093
2022,522210,39-4012
2020,524291,47-2121
2020,523150,35-2013
2028,522310,51-2031
2024,523910,15-1211
2024,524127,43-4111
2025,522180,49-1011
2019,524210,19-3011
2019,524210,43-5011
2021,524127,49-9061
2020,522130,49-9094
2027,521110,29-2032
2024,524130,51-9198
2022,525120,17-2051
2025,525110,41-4012
2021,524128,43-9021
2021,522299,31-9092
2019,524298,47-2073
2019,524210,41-2012
2023,523910,43-3099
2019,522292,47-2071
2020,523910,47-5044
2028,524126,29-2057
2022,522180,53-1041
2024,522292,19-3033
2027,521110,43-4061
2020,522320,39-9041
2024,523999,39-1014
2019,522390,19-4042
2026,524298,13-1161
2022,523991,31-9093
2022,522310,29-1221
2024,522291,39-3099
2022,523940,47-5012
2023,522210,11-9151
2025,523910,49-9063
2020,522299,13-2053
2027,522390,15-1232
2023,522110,19-4043
2022,525110,19-1041
2020,524128,13-2031
2022,523999,35-2015
2028,525110,47-4011
2028,525120,19-2012
2019,522291,33-3052
2025,524292,11-3051
2021,524113,47-2041
2021,524210,45-2092
2027,525910,21-1023
2026,523999,19-2031
2022,524127,29-1217
2026,524113,13-1028
2023,525990,31-9096
2027,522320,19-1023
2024,524130,49-9098
2027,524113,13-1032
2027,524126,39-3012
2020,525910,11-1011
2020,522291,11-2022
2023,524113,49-2094
2028,522299,29-1242
2024,524210,53-2021
2023,524127,17-2061
2023,522220,47-4051
2022,525990,15-1242
2020,524291,33-3011
2028,522130,41-3021
2020,524298,47-2131
2019,525910,13-1011
2020,522292,19-4042
2026,524128,51-1011
2023,524113,29-1214
2020,524298,51-7099
2020,524127,53-4099
2021,523160,27-2021
2025,525120,21-1092
2020,525920,11-9081
2028,523160,19-1029
2020,524292,29-1181
2023,523160,11-9179
2024,522130,47-2132
2023,522291,43-9031
2020,524126,51-2098
2021,521110,47-2161
2025,523940,39-9099
2020,524291,51-6064
2019,524291,31-9097
2026,522299,21-1029
2025,522320,49-2021
2025,522310,29-1212
2026,524114,21-1018
2021,523999,27-4012
2024,522292,35-2019
2025,522220,13-1031
2023,522110,43-3071
2022,522110,39-5094
2023,525190,27-4014
2024,522220,29-1211
2026,522180,29-1128
2022,525120,19-1029
2024,524127,49-9012
2026,522390,29-2034
2027,523991,53-1047
2022,524291,23-1012
2019,523160,51-4032
2022,524292,25-9045
2024,524128,49-2092
2024,524298,41-9099
2023,524210,29-1023
2019,522291,19-1022
2024,522110,25-2012
2022,522390,43-9031
2027,522110,17-3024
2028,522180,11-9021
2027,522110,13-2072
2022,525110,51-7031
2020,524210,21-1029
2024,523991,27-1025
2026,522110,41-9022
2022,522291,13-1161
2021,524128,29-1222
2019,524127,51-4072
