year,statefips,metrofips,geo_area,cicp_initiative,occ,occ_title,jobs
2019,0,00000,United States,Advanced and Traded Industries,17-3028,Calibration Technologists and Technicians,15665.376049902208
2019,0,00000,United States,Advanced and Traded Industries,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",99631.20202249935
2019,0,00000,United States,Advanced and Traded Industries,17-3031,Surveying and Mapping Technicians,75724.03763901006
2019,0,00000,United States,Advanced and Traded Industries,19-1011,Animal Scientists,1994.642672785114
2019,0,00000,United States,Advanced and Traded Industries,19-1012,Food Scientists and Technologists,25848.519800732418
2019,0,00000,United States,Advanced and Traded Industries,19-1013,Soil and Plant Scientists,15021.5778900336
2019,0,00000,United States,Advanced and Traded Industries,19-1021,Biochemists and Biophysicists,57918.8747758569
2019,0,00000,United States,Advanced and Traded Industries,19-1022,Microbiologists,21543.990123057058
2019,0,00000,United States,Advanced and Traded Industries,19-1023,Zoologists and Wildlife Biologists,5979.880067779545
2019,0,00000,United States,Advanced and Traded Industries,19-1029,"Biological Scientists, All Other",34218.110645409164
2019,0,00000,United States,Advanced and Traded Industries,19-1031,Conservation Scientists,1907.5262866374042
2019,0,00000,United States,Advanced and Traded Industries,19-1032,Foresters,3588.276932617291
2019,0,00000,United States,Advanced and Traded Industries,19-1041,Epidemiologists,1742.9521119198287
2019,0,00000,United States,Advanced and Traded Industries,19-1042,"Medical Scientists, Except Epidemiologists",145636.93443792974
2019,0,00000,United States,Advanced and Traded Industries,19-1099,"Life Scientists, All Other",4412.91894407185
2019,0,00000,United States,Advanced and Traded Industries,19-2011,Astronomers,1783.5339865084002
2019,0,00000,United States,Advanced and Traded Industries,19-2012,Physicists,15862.693536996481
2019,0,00000,United States,Advanced and Traded Industries,19-2021,Atmospheric and Space Scientists,8266.670256961961
2019,0,00000,United States,Advanced and Traded Industries,19-2031,Chemists,132456.65940690204
2019,0,00000,United States,Advanced and Traded Industries,19-2032,Materials Scientists,11784.019249982784
2019,0,00000,United States,Advanced and Traded Industries,19-2041,"Environmental Scientists and Specialists, Including Health",80828.16241193654
2019,0,00000,United States,Advanced and Traded Industries,19-2042,"Geoscientists, Except Hydrologists and Geographers",33414.083150742576
2019,0,00000,United States,Advanced and Traded Industries,19-2043,Hydrologists,5248.805796880568
2019,0,00000,United States,Advanced and Traded Industries,19-2099,"Physical Scientists, All Other",10939.989397989702
2019,0,00000,United States,Advanced and Traded Industries,19-4012,Agricultural Technicians,11911.2542791536
2019,0,00000,United States,Advanced and Traded Industries,19-4013,Food Science Technicians,19641.49519159788
2019,0,00000,United States,Advanced and Traded Industries,19-4021,Biological Technicians,79396.58184224484
2019,0,00000,United States,Advanced and Traded Industries,19-4031,Chemical Technicians,114943.67561118881
2019,0,00000,United States,Advanced and Traded Industries,19-4042,"Environmental Science and Protection Technicians, Including Health",34229.73547844865
2019,0,00000,United States,Advanced and Traded Industries,19-4043,"Geological Technicians, Except Hydrologic Technicians",14499.236859831857
2019,0,00000,United States,Advanced and Traded Industries,19-4044,Hydrologic Technicians,1396.4176461197299
2019,0,00000,United States,Advanced and Traded Industries,19-4051,Nuclear Technicians,4706.82149333241
2019,0,00000,United States,Advanced and Traded Industries,19-4071,Forest and Conservation Technicians,1334.0430375740002
2019,0,00000,United States,Advanced and Traded Industries,19-4092,Forensic Science Technicians,2322.4182299448403
2019,0,00000,United States,Advanced and Traded Industries,19-4099,"Life, Physical, and Social Science Technicians, All Other",44584.93635322937
2019,0,00000,United States,Advanced and Traded Industries,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",546750.0630803531
2019,0,00000,United States,Advanced and Traded Industries,41-9031,Sales Engineers,110259.61017354915
2019,0,00000,United States,AgriNovus,11-3021,Computer and Information Systems Managers,7932.6439607677285
2019,0,00000,United States,AgriNovus,11-9041,Architectural and Engineering Managers,5343.2971788450495
2019,0,00000,United States,AgriNovus,11-9121,Natural Sciences Managers,1295.0427202312715
2019,0,00000,United States,AgriNovus,15-1211,Computer Systems Analysts,7367.439505413553
2019,0,00000,United States,AgriNovus,15-1212,Information Security Analysts,537.8044709564249
2019,0,00000,United States,AgriNovus,15-1221,Computer and Information Research Scientists,73.9069500295422
2019,0,00000,United States,AgriNovus,15-1231,Computer Network Support Specialists,1990.0777074051211
2019,0,00000,United States,AgriNovus,15-1232,Computer User Support Specialists,12826.259309852507
2019,0,00000,United States,AgriNovus,15-1241,Computer Network Architects,476.2812410573549
2019,0,00000,United States,AgriNovus,15-1242,Database Administrators,1143.312638159813
2019,0,00000,United States,AgriNovus,15-1243,Database Architects,294.74092874973445
2019,0,00000,United States,AgriNovus,15-1244,Network and Computer Systems Administrators,9788.811611046798
2019,0,00000,United States,AgriNovus,15-1251,Computer Programmers,2122.0341724609275
