statefips,countyfips,metrofips,cnty_name,year,code,data
18,000,00000,State Total,2021,200,65036
18,000,00000,State Total,2021,201,544
18,000,00000,State Total,2021,202,1799
18,000,00000,State Total,2021,203,2978
18,000,00000,State Total,2021,204,2658
18,000,00000,State Total,2021,300,37009
18,000,00000,State Total,2021,301,36006
18,000,00000,State Total,2021,302,2098
18,000,00000,State Total,2021,303,7653
18,000,00000,State Total,2021,304,16790
18,000,00000,State Total,2021,304,8395
18,000,00000,State Total,2021,305,3239
18,000,00000,State Total,2021,306,51630
18,000,00000,State Total,2021,400,6642
18,000,00000,State Total,2021,401,66373
18,000,00000,State Total,2021,500,24993
18,000,00000,State Total,2021,501,48022
18,000,00000,State Total,2021,600,48296
18,000,00000,State Total,2021,601,988
18,000,00000,State Total,2021,602,10678
18,000,00000,State Total,2021,603,6905
18,000,00000,State Total,2021,604,6148
18,000,00000,State Total,2021,700,38590
18,000,00000,State Total,2021,800,27385
18,000,00000,State Total,2021,900,3473
18,000,00000,State Total,2021,901,4702
18,000,00000,State Total,2021,902,1691
18,000,00000,State Total,2021,903,4125
18,000,00000,State Total,2021,904,6935
18,000,00000,State Total,2021,905,3117
18,000,00000,State Total,2021,906,1680
18,000,00000,State Total,2021,907,1662
18,000,00000,State Total,2021,908,5299
18,000,00000,State Total,2021,909,829
18,000,00000,State Total,2021,910,669
18,000,00000,State Total,2021,911,20448
18,000,00000,State Total,2021,912,140
18,000,26900,Metro Total,2017,100,23434
18,000,26900,Metro Total,2017,101,12031
18,000,26900,Metro Total,2017,102,2462
18,000,26900,Metro Total,2017,103,8941
18,000,26900,Metro Total,2017,200,0
18,000,26900,Metro Total,2017,201,0
18,000,26900,Metro Total,2017,202,0
18,000,26900,Metro Total,2017,203,0
18,000,26900,Metro Total,2017,204,0
18,000,26900,Metro Total,2017,300,12052
18,000,26900,Metro Total,2017,301,11382
18,000,26900,Metro Total,2017,302,819
18,000,26900,Metro Total,2017,303,3998
18,000,26900,Metro Total,2017,304,1906
18,000,26900,Metro Total,2017,304,1906
18,000,26900,Metro Total,2017,305,998
18,000,26900,Metro Total,2017,306,15713
18,000,26900,Metro Total,2017,400,2019
18,000,26900,Metro Total,2017,401,21415
18,000,26900,Metro Total,2017,500,7668
18,000,26900,Metro Total,2017,501,15766
18,000,26900,Metro Total,2017,600,8538
18,000,26900,Metro Total,2017,601,522
18,000,26900,Metro Total,2017,602,6286
18,000,26900,Metro Total,2017,603,4387
18,000,26900,Metro Total,2017,604,3701
18,000,26900,Metro Total,2017,700,15218
18,000,26900,Metro Total,2017,800,10785
18,000,26900,Metro Total,2017,900,1804
18,000,26900,Metro Total,2017,901,2029
18,000,26900,Metro Total,2017,902,633
18,000,26900,Metro Total,2017,903,1572
18,000,26900,Metro Total,2017,904,2458
18,000,26900,Metro Total,2017,905,1066
18,000,26900,Metro Total,2017,906,524
18,000,26900,Metro Total,2017,907,699
18,000,26900,Metro Total,2017,908,2783
18,000,26900,Metro Total,2017,909,137
18,000,26900,Metro Total,2017,910,39
18,000,26900,Metro Total,2017,911,7782
18,000,26900,Metro Total,2017,912,44
18,000,26900,Metro Total,2018,100,24289
18,000,26900,Metro Total,2018,101,12803
18,000,26900,Metro Total,2018,102,2056
18,000,26900,Metro Total,2018,103,9430
18,000,26900,Metro Total,2018,200,0
18,000,26900,Metro Total,2018,201,17876
18,000,26900,Metro Total,2018,202,1755
18,000,26900,Metro Total,2018,203,2571
18,000,26900,Metro Total,2018,204,2087
18,000,26900,Metro Total,2018,300,12413
18,000,26900,Metro Total,2018,301,11876
18,000,26900,Metro Total,2018,302,926
18,000,26900,Metro Total,2018,303,4027
18,000,26900,Metro Total,2018,304,2095
18,000,26900,Metro Total,2018,304,2095
18,000,26900,Metro Total,2018,305,1092
18,000,26900,Metro Total,2018,306,16149
18,000,26900,Metro Total,2018,400,2135
18,000,26900,Metro Total,2018,401,22154
18,000,26900,Metro Total,2018,500,8661
18,000,26900,Metro Total,2018,501,15628
18,000,26900,Metro Total,2018,600,0
18,000,26900,Metro Total,2018,601,9851
18,000,26900,Metro Total,2018,602,6491
18,000,26900,Metro Total,2018,603,4543
18,000,26900,Metro Total,2018,604,3404
18,000,26900,Metro Total,2018,700,15381
18,000,26900,Metro Total,2018,800,10683
18,000,26900,Metro Total,2018,900,1584
18,000,26900,Metro Total,2018,901,1936
18,000,26900,Metro Total,2018,902,599
18,000,26900,Metro Total,2018,903,1529
18,000,26900,Metro Total,2018,904,2590
18,000,26900,Metro Total,2018,905,1107
18,000,26900,Metro Total,2018,906,573
18,000,26900,Metro Total,2018,907,765
18,000,26900,Metro Total,2018,908,2713
18,000,26900,Metro Total,2018,909,137
18,000,26900,Metro Total,2018,910,61
18,000,26900,Metro Total,2018,911,7740
18,000,26900,Metro Total,2018,912,32
18,000,26900,Metro Total,2019,100,25353
18,000,26900,Metro Total,2019,101,13482
18,000,26900,Metro Total,2019,102,2147
18,000,26900,Metro Total,2019,103,9724
18,000,26900,Metro Total,2019,200,18960
18,000,26900,Metro Total,2019,201,511
18,000,26900,Metro Total,2019,202,1504
18,000,26900,Metro Total,2019,203,2354
18,000,26900,Metro Total,2019,204,2024
18,000,26900,Metro Total,2019,300,12945
