cicp_initiative,geo_area,total_jobs,stem_jobs,nonstem_jobs,stem_pct
Advanced and Traded Industries,Bloomington MSA,34868.05656007613,6390.152733984171,28477.90382609196,18.326667340848832
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,2820550.90551658,348026.31625711214,2472524.589259468,12.338948237963873
Advanced and Traded Industries,Cincinnati MSA,747917.2657408265,104897.74683153139,643019.5189092951,14.025314247509469
Advanced and Traded Industries,Columbus MSA,49985.716128323395,9484.129269043782,40501.58685927962,18.973678889977517
Advanced and Traded Industries,Elkhart-Goshen MSA,154004.30562324505,7843.825730952147,146160.4798922929,5.093250931659808
Advanced and Traded Industries,Evansville MSA,80928.9406861243,7737.373154490681,73191.56753163363,9.560699904005162
Advanced and Traded Industries,Fort Wayne MSA,152523.51522606626,15117.599812186745,137405.9154138795,9.911651845802167
Advanced and Traded Industries,Indiana,2214998.7704629987,228974.72962185423,1986024.0408411445,10.33746531489008
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,708888.1694094432,91893.62603355615,616994.5433758871,12.963063851116377
Advanced and Traded Industries,Kokomo MSA,24266.100024572286,1530.8141800590531,22735.285844513233,6.308447498810783
Advanced and Traded Industries,Lafayette-West Lafayette MSA,64662.90490792785,7226.700447677265,57436.204460250585,11.175960093298023
Advanced and Traded Industries,Louisville/Jefferson County MSA,504145.5806390652,44702.020639017675,459443.5600000475,8.866887334875075
Advanced and Traded Industries,Michigan City-La Porte MSA,26881.24107300659,1967.5151822150892,24913.7258907915,7.319286995981798
Advanced and Traded Industries,Muncie MSA,19067.770792728723,2137.5532375190373,16930.217555209685,11.210294379740336
Advanced and Traded Industries,South Bend-Mishawaka MSA,71346.05103521583,7008.0812543228385,64337.96978089299,9.822661734794133
Advanced and Traded Industries,Terre Haute MSA,33110.227068995264,2131.547261816704,30978.679807178563,6.437730727049908
Advanced and Traded Industries,United States,86216754.68868998,13686178.832921037,72530575.85576893,15.874152167219544
AgriNovus,Bloomington MSA,3971.4701636928553,145.62972176768454,3825.840441925171,3.6668970372490812
AgriNovus,Chicago-Naperville-Elgin MSA,390933.92120106827,8365.56197709322,382568.35922397504,2.139891557988026
AgriNovus,Cincinnati MSA,100996.80610286316,2756.03674090881,98240.76936195436,2.7288355416921237
AgriNovus,Columbus MSA,2793.5543980723955,23.773522829115358,2769.78087524328,0.8510134202333604
AgriNovus,Elkhart-Goshen MSA,8314.131195008498,105.95531210106647,8208.175882907432,1.2744002904919058
AgriNovus,Evansville MSA,13396.927522193364,269.96491648415684,13126.962605709208,2.015125602769237
AgriNovus,Fort Wayne MSA,16036.97425582838,312.8820122322895,15724.09224359609,1.9510040188446247
AgriNovus,Indiana,315238.4299410712,6701.151015959592,308537.27892511163,2.125740512415401
AgriNovus,Indianapolis-Carmel-Greenwood MSA,76913.83812111607,2140.9422978530515,74772.89582326302,2.783559305000114
AgriNovus,Kokomo MSA,1961.8665440977088,6.4596364592232005,1955.4069076384856,0.32925972863225933
AgriNovus,Lafayette-West Lafayette MSA,15950.511229402455,614.0455210986713,15336.465708303784,3.8496917889802016
AgriNovus,Louisville/Jefferson County MSA,62667.834031207705,1190.6315494421578,61477.20248176555,1.8999085700795721
AgriNovus,Michigan City-La Porte MSA,7266.85233604992,38.99348759394511,7227.858848455975,0.5365939170182864
AgriNovus,Muncie MSA,1629.363816941065,11.55142884969876,1617.812388091366,0.7089533184421133
AgriNovus,South Bend-Mishawaka MSA,7749.229555116039,34.82391129307138,7714.405643822967,0.4493854652954583
AgriNovus,Terre Haute MSA,5483.220650831984,67.40373385331343,5415.816916978671,1.229272687450323
AgriNovus,United States,15870194.005433375,334836.88651367126,15535357.118919704,2.109847468777227
BioCrossroads,Bloomington MSA,17524.495524503585,3820.531706523113,13703.963817980472,21.80109379571619
BioCrossroads,Chicago-Naperville-Elgin MSA,153834.6063743595,37772.77237900784,116061.83399535164,24.554145045287836
BioCrossroads,Cincinnati MSA,29143.331165734682,9576.979551847202,19566.35161388748,32.86165022585802
BioCrossroads,Columbus MSA,881.9530412058208,348.4586165010818,533.494424704739,39.50988320474108
BioCrossroads,Elkhart-Goshen MSA,943.1088389996662,276.2573799359757,666.8514590636906,29.292205577141605
BioCrossroads,Evansville MSA,3365.574726959457,817.4286945075874,2548.14603245187,24.28793774684874
BioCrossroads,Fort Wayne MSA,4228.207597673199,764.7937500283543,3463.4138476448447,18.08789498531774
BioCrossroads,Indiana,139999.34190571285,29636.15792935127,110363.18397636157,21.16878374279124
BioCrossroads,Indianapolis-Carmel-Greenwood MSA,63287.95550221452,14454.566518121313,48833.38898409321,22.839363988643196
BioCrossroads,Kokomo MSA,181.15279071011213,36.855006490271634,144.29778421984048,20.34470810292317
BioCrossroads,Lafayette-West Lafayette MSA,4969.546337561644,1327.9164303109021,3641.6299072507413,26.72107955356056
BioCrossroads,Louisville/Jefferson County MSA,12501.560514300574,2682.1169628513176,9819.443551449258,21.454257328780958
BioCrossroads,Michigan City-La Porte MSA,544.541430488672,65.80690949485688,478.73452099381507,12.084830613494681
BioCrossroads,Muncie MSA,215.92708106614518,61.118222890426004,154.80885817571917,28.305028988792557
