cicp_initiative,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage,Counties,Pct_of_Total_Estabs,Pct_of_Total_Employment
Total,58009,307981.5833333333,13909782097,45161.10498706768,92,46.057896909835804,45.36629706144824
Other,37534,219833.66666666666,8211212690,37348.92402285971,92,29.801187791787086,32.38193439415309
Advanced & Traded Industries,19254,83930.08333333333,5484065867,65337.30753275792,92,15.287261409470576,12.363067465534405
Conexus,5122,43130.833333333336,2299407725,53309.66114728442,92,4.0667577095309175,6.353257153659289
TechPoint,3281,8635.333333333334,816746498,94576.07500193005,87,2.6050433512243147,1.2720016988828373
AgriNovus,1754,12115.083333333334,509703033,42069.85870230635,92,1.3926382316511576,1.78457576415971
BioX,994,3250.9166666666665,331498342,101968.69959754942,75,0.7892145965001429,0.47886646216241763
