cicp_initiative,Cohorts_Analyzed,Year_1,Year_3,Year_5
Advanced & Traded Industries,6,98.49835205437807,82.25139021801932,76.84277088991573
AgriNovus,6,100.78516763834767,89.24671167305165,87.14148219183683
BioX,6,104.78731508794368,95.29697781979912,91.08449569845315
Conexus,6,98.69984607291482,83.40149453794315,79.98054150302599
Other,6,98.05025465326568,81.60336791280983,77.05878364031753
TechPoint,6,98.83350646594926,80.27388353450334,73.06151509033032
