cicp_initiative,Cohorts_Analyzed,Year_1,Year_3,Year_5
Advanced & Traded Industries,6,98.45283707789744,81.96094233276764,76.51666797738865
AgriNovus,6,100.56505973835702,88.902194498760025,87.31440725636682
BioX,6,104.4466938423659,95.00145791309774,91.07829133896796
Conexus,6,98.49186091357231,82.73575605704207,79.33722767944143
Other,6,98.0093598482215,81.17468092383702,76.73204203367575
TechPoint,6,98.93557458134198,80.20813109046271,72.919928696825
