cohort_year,cicp_initiative,new_est_type,new_est_type_desc,New_Establishments,Initial_Employment,Initial_Wages
2019,AgriNovus,2,Qualified - 21-50 Employees at start,7,91,2163139
2019,AgriNovus,3,Qualified - 51-100 Employees at start,2,26,713002
2019,AgriNovus,4,Qualified - 101+ Employees at start,1,30,355975
2019,BioX,1,Qualified New - 1-20 or fewer Employees at start,116.94,113.66775,10944291.527999999
2019,BioX,3,Qualified - 51-100 Employees at start,0.784,13.082,546403.068
2019,Conexus,1,Qualified New - 1-20 or fewer Employees at start,645,892.5833333333334,38434604
2019,Conexus,2,Qualified - 21-50 Employees at start,30,368.8333333333333,16141778
2019,Conexus,3,Qualified - 51-100 Employees at start,8,245.25,9311897
2019,Conexus,4,Qualified - 101+ Employees at start,6,365.6666666666667,12703972
2019,Other,1,Qualified New - 1-20 or fewer Employees at start,5099,8058.833333333333,245309527
2019,Other,2,Qualified - 21-50 Employees at start,202,2780.4166666666665,65158975
2019,Other,3,Qualified - 51-100 Employees at start,45,1216.6666666666667,26412781
2019,Other,4,Qualified - 101+ Employees at start,13,532,14393392
2019,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,384,359.75,27051618
2019,TechPoint,2,Qualified - 21-50 Employees at start,1,14.75,1192492
2019,TechPoint,3,Qualified - 51-100 Employees at start,1,38.916666666666664,3323900
2019,Total,1,Qualified New - 1-20 or fewer Employees at start,7667,10960.666666666666,420187494
2019,Total,2,Qualified - 21-50 Employees at start,242,3336.75,93370402
2019,Total,3,Qualified - 51-100 Employees at start,58,1613.5833333333333,42489733
2019,Total,4,Qualified - 101+ Employees at start,20,927.6666666666666,27453339
2018,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,2218,2639.3333333333335,155757636
2018,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,41,763.1666666666666,41671513
2018,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,8,249.08333333333334,13147966
2018,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,1,44.666666666666664,896693
2018,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,181.905380341,301.64155429308335,11633031.565493723
2018,AgriNovus,2,Qualified - 21-50 Employees at start,11,136.33333333333334,2827847
2018,AgriNovus,3,Qualified - 51-100 Employees at start,1,10,641478
2018,BioX,1,Qualified New - 1-20 or fewer Employees at start,78.68,92.92516666666667,19552314.587
2018,Conexus,1,Qualified New - 1-20 or fewer Employees at start,701,994.6666666666666,41624622
2018,Conexus,2,Qualified - 21-50 Employees at start,23,395.6666666666667,22589163
2018,Conexus,3,Qualified - 51-100 Employees at start,3,91.5,1528724
2018,Other,1,Qualified New - 1-20 or fewer Employees at start,4959,8334.833333333334,243556747
2018,Other,2,Qualified - 21-50 Employees at start,222,3185.5,69910802
2018,Other,3,Qualified - 51-100 Employees at start,45,1445.25,29963532
2018,Other,4,Qualified - 101+ Employees at start,8,576.6666666666667,13922434
2018,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,275,316.9166666666667,25994586
2018,TechPoint,2,Qualified - 21-50 Employees at start,5,100.16666666666667,6147619
2018,TechPoint,3,Qualified - 51-100 Employees at start,2,93.16666666666667,9213504
2018,TechPoint,4,Qualified - 101+ Employees at start,1,44.666666666666664,896693
2018,Total,1,Qualified New - 1-20 or fewer Employees at start,7276,11118,404425670
2018,Total,2,Qualified - 21-50 Employees at start,269,4012.4166666666665,112933986
2018,Total,3,Qualified - 51-100 Employees at start,53,1694.3333333333333,43111498
2018,Total,4,Qualified - 101+ Employees at start,9,621.3333333333334,14819127
2017,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,2019,2749.6666666666665,135504667
2017,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,33,507.1666666666667,28498162
2017,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,4,65.16666666666666,1977660
2017,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,150.647000627,275.079521516,7763644.302858216
2017,AgriNovus,2,Qualified - 21-50 Employees at start,7,64.58333333333333,1792450
2017,AgriNovus,3,Qualified - 51-100 Employees at start,2,15.583333333333334,374569
2017,BioX,1,Qualified New - 1-20 or fewer Employees at start,55.541,70.64958333333334,6254652.104
2017,Conexus,1,Qualified New - 1-20 or fewer Employees at start,573,1063.5,39311792
2017,Conexus,2,Qualified - 21-50 Employees at start,22,324.3333333333333,14825575
2017,Conexus,3,Qualified - 51-100 Employees at start,4,65.16666666666666,1977660
2017,Other,1,Qualified New - 1-20 or fewer Employees at start,4667,7712.5,205436555
2017,Other,2,Qualified - 21-50 Employees at start,179,2306.8333333333335,51366461
2017,Other,3,Qualified - 51-100 Employees at start,40,1156.5,26642543
2017,Other,4,Qualified - 101+ Employees at start,10,956.4166666666666,22468352
2017,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,286,334.75,23014767
2017,TechPoint,2,Qualified - 21-50 Employees at start,2,20.666666666666664,1407297
2017,Total,1,Qualified New - 1-20 or fewer Employees at start,6772,10602.083333333334,346053379
2017,Total,2,Qualified - 21-50 Employees at start,217,2852.75,81211179
2017,Total,3,Qualified - 51-100 Employees at start,46,1237.25,28994772
2017,Total,4,Qualified - 101+ Employees at start,10,956.4166666666666,22468352
