cicp_initiative,Diff_Year_1,Diff_Year_3,Diff_Year_5
Advanced & Traded Industries,-0.045514976480632185,-0.2904478852516803,-0.3261029125270767
AgriNovus,-0.2201078999906514,-0.34451717429162443,0.17292506452999135
BioX,-0.34062124557777906,-0.2955199067013865,-0.00620435948519571
Conexus,-0.20798515934251327,-0.6657384809010836,-0.6433138235845632
Other,-0.0408948050441893,-0.42868698897281377,-0.3267416066417752
TechPoint,0.10206811539272564,-0.0657524440406263,-0.14158639350532098
