msa,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
21780,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,673,2059.4166666666665,132206267,64194.76016671388
21780,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,12,360.8333333333333,19213874,53248.61154734412
21780,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,5,385.41666666666663,20336213,52764.22832432433
21780,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,2,152.16666666666669,7757981,50983.44578313253
21780,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,48,182.16666666666666,8325348,45701.81884720952
21780,AgriNovus,2,Qualified - 21-50 Employees at start,2,77.25,5560193,71976.60841423948
21780,BioX,1,Qualified New - 1-20 or fewer Employees at start,29,52.583333333333336,7114957,135260.51980982567
21780,Conexus,1,Qualified New - 1-20 or fewer Employees at start,133,821.4166666666666,44409794,54064.88059247236
21780,Conexus,2,Qualified - 21-50 Employees at start,7,291.75,14038273,48117.47386461011
21780,Conexus,3,Qualified - 51-100 Employees at start,4,308.91666666666663,15837166,51266.790396547076
21780,Conexus,4,Qualified - 101+ Employees at start,1,54.25,1499120,27633.548387096773
21780,Other,1,Qualified New - 1-20 or fewer Employees at start,1454,7264.333333333333,259040959,35655.96622768779
21780,Other,2,Qualified - 21-50 Employees at start,55,1339,35968170,26861.964152352502
21780,Other,3,Qualified - 51-100 Employees at start,16,657.75,14357183,21827.720258456862
21780,Other,4,Qualified - 101+ Employees at start,2,150.83333333333334,3452505,22889.53591160221
21780,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,112,196.91666666666666,14731147,74809.04104951334
21780,Total,1,Qualified New - 1-20 or fewer Employees at start,2166,9415.916666666666,395685608,42020.227982759694
21780,Total,2,Qualified - 21-50 Employees at start,67,1699.8333333333333,55182044,32463.20854985783
21780,Total,3,Qualified - 51-100 Employees at start,21,1043.1666666666667,34693396,33257.76897267934
21780,Total,4,Qualified - 101+ Employees at start,4,303,11210486,36998.303630363036
23060,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,1271,4137.166666666667,265655606,64208.59936349353
23060,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,14,416.5833333333333,21658718,51991.32146429286
23060,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,12,802.5,33011770,41136.16199376947
23060,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,1,70.41666666666667,2559310,36345.230769230766
23060,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,79,386.5,14158183,36631.78007761967
23060,AgriNovus,2,Qualified - 21-50 Employees at start,1,10.416666666666666,373123,35819.808000000005
23060,AgriNovus,3,Qualified - 51-100 Employees at start,1,5.5,38331,6969.272727272727
23060,BioX,1,Qualified New - 1-20 or fewer Employees at start,56,186.91666666666666,22255812,119057.38207757469
23060,Conexus,1,Qualified New - 1-20 or fewer Employees at start,305,1963.0833333333333,100625464,51252.81045973596
23060,Conexus,2,Qualified - 21-50 Employees at start,8,278.5,13804934,49568.88330341113
23060,Conexus,3,Qualified - 51-100 Employees at start,12,802.5,33011770,41136.16199376947
23060,Conexus,4,Qualified - 101+ Employees at start,1,70.41666666666667,2559310,36345.230769230766
23060,Other,1,Qualified New - 1-20 or fewer Employees at start,2372,9833.333333333334,365792833,37197.33691525424
23060,Other,2,Qualified - 21-50 Employees at start,100,2640.3333333333335,77132633,29213.217901780077
23060,Other,3,Qualified - 51-100 Employees at start,23,1729.3333333333333,51516473,29789.787779491136
23060,Other,4,Qualified - 101+ Employees at start,3,187.83333333333334,5958899,31724.395740905056
23060,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,198,379.5833333333333,33441381,88100.23534577388
23060,TechPoint,2,Qualified - 21-50 Employees at start,2,37.666666666666664,2139660,56805.13274336283
23060,Total,1,Qualified New - 1-20 or fewer Employees at start,3698,14102,638105142,45246.929017160684
23060,Total,2,Qualified - 21-50 Employees at start,116,3093.0833333333335,100186595,32390.525635153703
23060,Total,3,Qualified - 51-100 Employees at start,35,2531.8333333333335,84528243,33386.17984332828
23060,Total,4,Qualified - 101+ Employees at start,4,258.25,8518209,32984.35237173281
23844,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,1982,5840.416666666667,383441775,65646.83307412427
23844,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,23,1215.1666666666667,72962367,60043.094500068575
23844,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,8,384.5,20971581,54542.4733420026
23844,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,9,763.0833333333334,33374852,43736.83782898329
23844,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,125,862.9166666666666,39454034,45721.71974891357
23844,AgriNovus,2,Qualified - 21-50 Employees at start,4,151.25,9377509,62000.05950413223
23844,AgriNovus,3,Qualified - 51-100 Employees at start,2,51.41666666666667,760144,14783.999999999998
23844,BioX,1,Qualified New - 1-20 or fewer Employees at start,84,220.41666666666666,18461107,83755.49489603024
23844,BioX,4,Qualified - 101+ Employees at start,1,95,2872965,30241.736842105263
23844,Conexus,1,Qualified New - 1-20 or fewer Employees at start,569,2509.9166666666665,147329763,58687.2416746904
23844,Conexus,2,Qualified - 21-50 Employees at start,18,985.6666666666666,58018780,58862.47548190734
23844,Conexus,3,Qualified - 51-100 Employees at start,7,302.4166666666667,15317472,50650.22430421603
23844,Conexus,4,Qualified - 101+ Employees at start,8,668.0833333333334,30501887,45655.81189971311
