sector,statefips,countyfips,metro,geo_area,year,own,disc,naics,repunits,empl,wages
Total - All Industries,0 ,000,00000,United States,2019,0,0,00,10233822.0,148105091.66,8769108878915.0
Total - All Industries,0 ,000,00000,United States,2020,0,0,00,10487687.0,139103773.25,8905606771748.0
Total - All Industries,0 ,000,00000,United States,2021,0,0,00,10909076.0,143780068.41,9720962278782.0
Total - All Industries,0 ,000,00000,United States,2022,0,0,00,11519312.0,150025655.41,10499737035094.0
Total - All Industries,0 ,000,00000,United States,2023,0,0,00,11866306.0,153140899.25,11081267615470.0
Total - All Industries,18,000,00000,Indiana,2019,0,0,00,168916.0,3077766.75,150173157764.0
Total - All Industries,18,000,00000,Indiana,2020,0,0,00,172647.0,2918791.75,151652077962.0
Total - All Industries,18,000,00000,Indiana,2021,0,0,00,178700.0,3010658.0,165490502583.0
Total - All Industries,18,000,00000,Indiana,2022,0,0,00,186186.0,3113419.41,180739411695.0
Total - All Industries,18,000,00000,Indiana,2023,0,0,00,189259.0,3157809.25,188413486946.0
Total - All Industries,18,000,26900,Indianapolis MSA,2019,0,0,00,49263.0,1022244.96,55135037815.0
Total - All Industries,18,000,26900,Indianapolis MSA,2020,0,0,00,51014.0,977259.88,56555054931.0
Total - All Industries,18,000,26900,Indianapolis MSA,2021,0,0,00,52652.0,1013733.38,61284669450.0
Total - All Industries,18,000,26900,Indianapolis MSA,2022,0,0,00,56165.0,1054199.13,67429241233.0
Total - All Industries,18,000,26900,Indianapolis MSA,2023,0,0,00,58187.0,1079074.79,70811601861.0
