sector_id,sector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics_code,naics_title,repunits,empl,wages
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3111,Animal Food Manufacturing,2400.0,63612.08,4005053057.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3112,Grain and Oilseed Milling,1045.0,61519.55,4543295706.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3113,Sugar and Confectionery Product Manufacturing,2198.0,76589.23,4040917689.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,2369.0,173032.74,8966409023.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3115,Dairy Product Manufacturing,2256.0,152760.99,9213249262.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3116,Animal Slaughtering and Processing,4088.0,529256.83,22763649112.0
1,Manufacturing,0 ,000,00000,United States,2019,0,1,3117,Seafood Product Preparation and Packaging,817.0,35405.66,1764880502.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3118,Bakeries and Tortilla Manufacturing,13650.0,313653.39,12692272740.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3119,Other Food Manufacturing,5895.0,227740.89,12231134635.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3121,Beverage Manufacturing,12772.0,276512.06,14073653558.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3122,Tobacco Manufacturing,284.0,10829.25,927879658.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3131,"Fiber, Yarn, and Thread Mills",386.0,27494.66,1109736072.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3132,Fabric Mills,1075.0,51089.58,2534853065.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3133,Textile and Fabric Finishing and Fabric Coating Mills,1213.0,29492.58,1513346308.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3141,Textile Furnishings Mills,1742.0,49487.33,2234501430.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3149,Other Textile Product Mills,4715.0,62965.65,2595950771.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3152,Cut and Sew Apparel Manufacturing,2997.0,31112.58,1154050360.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3159,Apparel Accessories and Other Apparel Manufacturing,866.0,12342.5,500267461.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3161,Leather and Hide Tanning and Finishing,223.0,3828.75,187144897.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3162,Footwear Manufacturing,295.0,12582.41,564743702.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3211,Sawmills and Wood Preservation,3529.0,91707.91,4519790857.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",624.0,43125.9,2484834035.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3219,Other Wood Product Manufacturing,9697.0,232938.64,10489709651.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3221,"Pulp, Paper, and Paperboard Mills",343.0,37804.16,3355035212.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3222,Converted Paper Product Manufacturing,4565.0,269314.31,17091960412.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3231,Printing and Related Support Activities,28145.0,426073.74,21738973737.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3241,Petroleum and Coal Products Manufacturing,2335.0,113075.9,13769874690.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3251,Basic Chemical Manufacturing,3307.0,151397.98,16017673093.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",1672.0,95177.83,9042083937.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",1322.0,36053.16,3068543341.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3254,Pharmaceutical and Medicine Manufacturing,4808.0,305920.48,36638838608.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3255,"Paint, Coating, and Adhesive Manufacturing",2223.0,65589.16,4969156365.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",3092.0,110791.32,8312872842.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3259,Other Chemical Product and Preparation Manufacturing,3006.0,84102.07,6086406901.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3261,Plastics Product Manufacturing,11189.0,593450.05,32128345855.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3262,Rubber Product Manufacturing,2075.0,137115.15,8106956851.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3271,Clay Product and Refractory Manufacturing,1394.0,38061.58,2137978183.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3272,Glass and Glass Product Manufacturing,1894.0,86342.4,5155224155.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3273,Cement and Concrete Product Manufacturing,9050.0,196303.47,12050645598.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3274,Lime and Gypsum Product Manufacturing,380.0,15972.66,1176077272.0
1,Manufacturing,0 ,000,00000,United States,2019,0,0,3279,Other Nonmetallic Mineral Product Manufacturing,3923.0,79910.57,4620087020.0
