display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,3795.3483439355978,8993.382084136623
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,3629.0391819198494,8484.647013832833
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,3678.707794932713,8675.63081921292
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,8558.529167176082,21322.130764072266
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,8194.144003788968,20154.732653085808
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2021,000000,,0,0,8650.807252400231,20777.1356015712
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,9345.84611788464,21576.31797274533
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,9866.155858129805,22482.21405003114
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,90278.16659002294,150802.34461893054
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,89807.43928512132,148297.81823764349
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,92844.77173513957,152613.88621059872
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,96679.78475425257,157504.42887804448
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,95966.1418584263,158094.32861751734
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,4291.953607025848,8273.169771572759
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,0,0,4138.836404703887,7947.293674539562
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,4248.159340172275,8117.887233314438
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,4486.56408378868,8483.753354036598
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,4687.909694675425,8851.750355544415
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2019,000000,,0,0,3474.3913231391734,6569.940790030374
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2020,000000,,0,0,3103.526717541571,6042.373320559474
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2021,000000,,0,0,3169.9244022726416,6035.31995020486
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2022,000000,,0,0,3180.2773214415147,6081.916529963974
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2023,000000,,0,0,3216.2708583034287,6264.414834393046
