sector_id,sector_name,statefips,countyfips,metrofips,geo_area,year,own,disc,naics,naics_title,repunits,empl,wages
0,Tech Total,00,000,34620,Muncie,2022,0,0,000000,,57.0,386.99,27523071.0
0,Tech Total,00,000,34620,Muncie,2023,0,0,000000,,62.0,321.16,25171589.0
0,Tech Total,00,000,43780,South Bend-Mishawaka,2019,0,0,000000,,161.0,854.39,62065358.0
0,Tech Total,00,000,43780,South Bend-Mishawaka,2020,0,0,000000,,176.0,884.49,65857927.0
0,Tech Total,00,000,43780,South Bend-Mishawaka,2021,0,0,000000,,185.0,967.49,80460183.0
0,Tech Total,00,000,43780,South Bend-Mishawaka,2022,0,0,000000,,239.0,1069.07,91663488.0
0,Tech Total,00,000,43780,South Bend-Mishawaka,2023,0,0,000000,,298.0,1110.07,109313512.0
0,Tech Total,00,000,45460,Terre Haute,2019,0,0,000000,,44.0,127.08,7921965.0
0,Tech Total,00,000,45460,Terre Haute,2020,0,0,000000,,47.0,129.99,8176106.0
0,Tech Total,00,000,45460,Terre Haute,2021,0,0,000000,,53.0,130.16,8929469.0
0,Tech Total,00,000,45460,Terre Haute,2022,0,0,000000,,74.0,117.73,9557128.0
0,Tech Total,00,000,45460,Terre Haute,2023,0,0,000000,,73.0,121.91,8964599.0
0,Tech Total,18,000,00000,Indiana,2019,0,0,000000,,6886.0,60425.82,5141892062.0
0,Tech Total,18,000,00000,Indiana,2020,0,0,000000,,7557.0,60947.66,5403758388.0
0,Tech Total,18,000,00000,Indiana,2021,0,0,000000,,8560.0,64184.07,6094711800.0
0,Tech Total,18,000,00000,Indiana,2022,0,0,000000,,10204.0,70920.3,6834652503.0
0,Tech Total,18,000,00000,Indiana,2023,0,0,000000,,10572.0,71039.67,7131879423.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,0,541512,  Computer systems design services,135113.0,1036172.58,120835087422.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,0,541513,  Computer facilities management services,4830.0,79775.0,8646723462.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,0,611420,  Computer training,2903.0,18474.08,1436834703.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,423430,  Computer and software merchant wholesalers,14137.0,222497.16,31709026884.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,541511,  Custom computer programming services,127492.0,968971.83,126629054039.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,541519,  Other computer related services,18245.0,115855.83,13842466273.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,811211,  Consumer electronics repair and maintenance,2285.0,13944.16,602809435.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,811212,  Computer and office machine repair,6702.0,39247.66,2340284163.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,811213,  Communication equipment repair,1940.0,14911.91,877014174.0
1,IT/Tech Services,0 ,000,00000,United States,2019,0,1,811219,  Other electronic equipment repair,5627.0,37550.41,2913531601.0
